Category: All categories

Month,PTSD: (Delaware),Anxiety: (Delaware),ADHD: (Delaware),Aggressive: (Delaware),Dementia: (Delaware)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,60,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,56,0,0,0
2006-02,0,52,0,0,0
2006-03,0,45,0,0,0
2006-04,0,45,0,40,0
2006-05,0,0,0,0,0
2006-06,0,60,0,0,0
2006-07,0,0,0,0,0
2006-08,0,62,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,34,0,45,0
2007-02,0,0,30,0,0
2007-03,0,36,0,0,0
2007-04,0,0,0,0,0
2007-05,0,31,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,59,0,0,0
2007-10,0,32,33,0,0
2007-11,0,45,36,0,30
2007-12,0,0,0,0,0
2008-01,0,41,32,0,0
2008-02,0,0,0,0,0
2008-03,0,28,0,0,0
2008-04,0,33,0,0,0
2008-05,0,28,25,0,0
2008-06,0,38,0,0,0
2008-07,0,44,0,0,0
2008-08,0,36,0,0,0
2008-09,0,40,0,0,0
2008-10,0,32,0,0,0
2008-11,0,36,0,0,0
2008-12,0,31,30,0,0
2009-01,0,28,0,0,0
2009-02,0,63,0,0,0
2009-03,0,33,39,0,0
2009-04,0,52,0,0,0
2009-05,0,66,29,0,0
2009-06,0,46,0,0,0
2009-07,0,38,27,0,0
2009-08,0,36,0,0,0
2009-09,0,36,0,0,0
2009-10,0,41,0,0,0
2009-11,0,48,0,0,0
2009-12,0,44,0,0,0
2010-01,0,56,0,0,0
2010-02,0,50,25,0,0
2010-03,0,37,32,0,0
2010-04,0,38,23,21,0
2010-05,0,39,23,0,0
2010-06,0,27,0,0,0
2010-07,0,39,0,0,0
2010-08,0,26,0,0,0
2010-09,0,42,37,0,0
2010-10,0,43,37,0,0
2010-11,0,48,21,0,0
2010-12,0,45,0,0,0
2011-01,0,33,20,10,0
2011-02,0,52,28,9,13
2011-03,9,41,24,9,0
2011-04,14,40,27,13,0
2011-05,9,44,30,12,0
2011-06,0,44,19,14,15
2011-07,0,39,11,0,0
2011-08,0,37,29,11,19
2011-09,0,46,23,0,10
2011-10,0,49,32,12,11
2011-11,7,43,35,8,12
2011-12,0,41,38,12,14
2012-01,0,52,30,11,9
2012-02,7,48,22,14,12
2012-03,7,46,23,0,14
2012-04,9,48,22,8,13
2012-05,7,48,23,11,10
2012-06,8,42,21,20,12
2012-07,10,49,17,13,9
2012-08,0,52,21,10,15
2012-09,11,59,36,10,15
2012-10,10,55,22,8,19
2012-11,8,56,28,10,15
2012-12,8,41,24,10,13
2013-01,0,54,23,6,8
2013-02,11,43,20,11,11
2013-03,7,49,32,13,14
2013-04,10,54,29,13,7
2013-05,9,46,23,12,12
2013-06,8,45,22,10,15
2013-07,0,53,16,14,12
2013-08,9,60,20,11,15
2013-09,11,60,16,16,11
2013-10,8,57,30,12,12
2013-11,10,41,32,12,12
2013-12,8,54,16,11,11
2014-01,7,59,19,12,11
2014-02,11,52,26,15,13
2014-03,18,59,34,12,16
2014-04,18,59,28,14,11
2014-05,13,58,29,10,14
2014-06,13,47,18,0,13
2014-07,6,63,17,11,15
2014-08,8,49,21,19,13
2014-09,15,63,23,9,11
2014-10,15,59,24,9,13
2014-11,17,54,18,14,15
2014-12,13,50,21,16,13
2015-01,11,65,21,11,14
2015-02,11,55,24,9,0
2015-03,15,72,25,15,17
2015-04,10,64,25,15,18
2015-05,7,51,24,13,18
2015-06,7,55,21,11,13
2015-07,8,67,17,15,17
2015-08,10,57,14,11,14
2015-09,8,74,17,16,13
2015-10,13,63,24,15,16
2015-11,13,64,25,12,33
2015-12,14,69,24,14,19
2016-01,11,67,19,10,13
2016-02,10,65,21,11,13
2016-03,11,71,24,11,17
2016-04,11,69,22,14,16
2016-05,11,63,24,13,21
2016-06,10,67,17,9,18
2016-07,12,67,16,15,12
2016-08,11,56,19,13,14
2016-09,16,66,20,11,19
2016-10,16,63,23,13,21
2016-11,12,61,22,12,16
2016-12,14,70,24,12,17
2017-01,12,90,19,11,15
2017-02,10,66,25,11,15
2017-03,13,79,21,14,20
2017-04,15,79,21,12,24
2017-05,14,70,29,12,20
2017-06,12,63,21,16,16
2017-07,11,65,16,14,18
2017-08,14,69,15,12,16
2017-09,15,68,19,12,17
2017-10,13,75,28,13,18
2017-11,13,74,23,14,20
2017-12,12,74,21,9,16
2018-01,10,75,23,13,20
2018-02,14,83,25,11,19
2018-03,14,77,23,15,22
2018-04,15,86,22,14,21
2018-05,15,69,25,10,20
2018-06,12,70,18,16,19
2018-07,10,83,15,15,18
2018-08,13,80,19,10,17
2018-09,16,82,22,11,20
2018-10,18,85,28,11,23
2018-11,20,77,27,12,18
2018-12,16,76,25,13,15
2019-01,13,77,24,13,18
2019-02,15,88,31,13,19
2019-03,17,80,24,13,20
2019-04,18,85,27,14,18
2019-05,15,78,23,14,24
2019-06,15,76,21,16,23
2019-07,14,79,21,12,25
2019-08,11,80,21,13,22
2019-09,13,87,26,13,22
2019-10,13,87,25,10,25
2019-11,13,83,27,11,22
2019-12,16,82,23,13,24
2020-01,18,85,24,12,27
2020-02,20,92,28,15,23
2020-03,18,88,25,11,24
2020-04,19,81,24,13,17
2020-05,12,73,21,14,16
2020-06,13,80,22,14,21
2020-07,17,88,21,13,25
2020-08,13,78,26,14,22
2020-09,10,94,29,11,30
2020-10,17,88,28,15,18
2020-11,13,79,24,14,22
2020-12,16,82,31,12,21
2021-01,16,82,29,15,23
2021-02,14,91,31,14,27
2021-03,13,89,37,13,23
2021-04,13,91,32,14,24
2021-05,14,81,33,13,23
2021-06,15,90,31,14,25
2021-07,15,86,30,14,24
2021-08,12,86,33,9,26
2021-09,15,88,38,11,22
2021-10,16,84,34,14,29
2021-11,17,90,36,9,24
2021-12,14,78,37,14,23
2022-01,16,88,34,13,29
2022-02,16,100,47,14,26
2022-03,16,88,49,14,29
2022-04,15,94,50,15,28
2022-05,18,88,42,15,26
2022-06,17,78,36,15,25
2022-07,18,82,32,17,28
2022-08,11,81,36,14,24
2022-09,14,82,40,14,25
2022-10,16,81,44,14,26
2022-11,14,84,47,16,28
2022-12,13,79,45,16,25
2023-01,19,98,56,12,29
2023-02,18,95,51,13,45
2023-03,16,97,50,16,32
2023-04,18,83,54,15,29
2023-05,14,86,52,16,30
2023-06,14,79,40,15,28
2023-07,12,83,40,18,32
2023-08,10,83,48,14,27
2023-09,12,77,52,12,29
2023-10,17,89,49,15,26
2023-11,12,89,50,14,29
2023-12,12,81,50,14,31
2024-01,17,83,48,11,31
2024-02,14,92,52,14,42
2024-03,14,90,54,16,32
2024-04,19,93,49,16,31
2024-05,13,80,52,15,25
2024-06,11,87,41,15,29
2024-07,12,84,48,12,29
2024-08,11,85,50,14,34
2024-09,12,81,53,15,27
2024-10,15,88,59,15,35
2024-11,12,80,57,16,32
2024-12,13,80,59,16,28
2025-01,14,92,55,14,34
2025-02,18,87,57,16,29
2025-03,15,89,63,16,35
