Category: All categories

Month,PTSD: (District of Columbia),Anxiety: (District of Columbia),ADHD: (District of Columbia),Aggressive: (District of Columbia),Dementia: (District of Columbia)
2004-01,0,40,31,0,0
2004-02,0,21,0,0,0
2004-03,0,31,24,0,0
2004-04,0,31,18,0,0
2004-05,0,15,21,0,0
2004-06,0,40,0,0,0
2004-07,12,17,20,0,0
2004-08,0,42,19,0,0
2004-09,0,33,18,0,12
2004-10,0,37,18,0,0
2004-11,0,41,24,0,0
2004-12,0,28,0,11,0
2005-01,0,33,23,11,0
2005-02,13,37,14,0,0
2005-03,0,35,16,0,0
2005-04,0,28,19,13,12
2005-05,0,27,15,0,0
2005-06,0,25,11,9,13
2005-07,0,32,13,0,10
2005-08,0,23,10,0,0
2005-09,0,34,17,0,8
2005-10,7,33,17,8,0
2005-11,0,37,25,0,0
2005-12,0,27,11,11,8
2006-01,7,31,18,0,6
2006-02,0,32,22,0,0
2006-03,7,29,20,7,7
2006-04,0,42,19,7,7
2006-05,0,30,16,11,0
2006-06,0,27,10,7,7
2006-07,7,30,12,9,12
2006-08,0,35,16,10,8
2006-09,5,35,20,0,5
2006-10,6,29,12,8,5
2006-11,5,26,20,8,9
2006-12,0,27,15,6,8
2007-01,6,29,13,7,7
2007-02,11,29,13,7,8
2007-03,4,33,19,6,5
2007-04,7,28,17,9,6
2007-05,7,29,19,11,7
2007-06,4,28,13,5,5
2007-07,7,30,11,11,8
2007-08,5,29,17,8,8
2007-09,5,32,21,6,8
2007-10,6,29,15,7,9
2007-11,6,32,25,8,7
2007-12,6,26,15,8,6
2008-01,6,32,17,10,8
2008-02,3,31,19,9,6
2008-03,9,32,18,9,9
2008-04,3,37,19,8,7
2008-05,7,25,18,8,6
2008-06,5,29,15,11,7
2008-07,5,32,14,9,13
2008-08,7,30,18,9,8
2008-09,7,30,17,7,7
2008-10,8,37,20,10,8
2008-11,8,32,20,7,9
2008-12,7,33,20,8,9
2009-01,6,34,14,9,9
2009-02,7,35,20,9,9
2009-03,7,40,21,11,10
2009-04,8,35,21,10,8
2009-05,7,32,18,10,8
2009-06,7,33,15,9,6
2009-07,5,35,14,11,8
2009-08,7,38,14,9,10
2009-09,5,37,20,11,9
2009-10,8,37,20,12,10
2009-11,10,38,21,12,10
2009-12,9,36,17,9,13
2010-01,8,37,18,12,10
2010-02,9,40,21,11,7
2010-03,8,44,24,12,7
2010-04,7,36,26,12,12
2010-05,7,39,28,11,8
2010-06,7,36,19,13,8
2010-07,10,36,16,10,10
2010-08,9,42,16,9,9
2010-09,8,36,21,9,9
2010-10,9,38,26,11,11
2010-11,9,36,23,12,11
2010-12,8,36,18,9,10
2011-01,8,38,16,10,9
2011-02,8,37,20,9,11
2011-03,8,43,21,10,8
2011-04,10,37,24,13,8
2011-05,9,40,21,11,8
2011-06,8,43,19,10,8
2011-07,10,37,18,12,8
2011-08,9,44,22,13,15
2011-09,8,47,23,11,9
2011-10,9,45,28,12,8
2011-11,9,48,25,9,11
2011-12,6,46,23,10,9
2012-01,9,51,24,11,9
2012-02,9,53,20,10,9
2012-03,9,46,23,13,10
2012-04,9,47,20,11,10
2012-05,8,45,16,11,9
2012-06,8,48,17,11,7
2012-07,11,46,15,11,8
2012-08,9,50,17,13,8
2012-09,10,50,21,9,10
2012-10,10,52,21,11,9
2012-11,10,48,21,11,11
2012-12,10,44,23,9,9
2013-01,8,52,20,11,10
2013-02,11,49,23,10,10
2013-03,10,44,21,12,10
2013-04,9,51,23,11,11
2013-05,10,45,22,12,9
2013-06,11,52,18,12,10
2013-07,13,47,18,11,12
2013-08,13,47,21,9,10
2013-09,13,46,19,10,12
2013-10,14,43,25,9,11
2013-11,15,49,24,12,9
2013-12,10,43,19,13,9
2014-01,11,48,16,9,8
2014-02,11,44,23,10,11
2014-03,10,51,24,11,10
2014-04,12,47,19,10,10
2014-05,13,45,20,14,9
2014-06,14,47,20,11,12
2014-07,12,46,15,11,10
2014-08,9,56,18,13,11
2014-09,10,56,22,12,13
2014-10,11,64,24,10,13
2014-11,14,59,24,11,18
2014-12,10,59,20,12,13
2015-01,11,59,20,11,13
2015-02,12,59,21,12,12
2015-03,12,64,22,12,14
2015-04,12,66,21,12,14
2015-05,12,57,19,12,13
2015-06,12,62,17,15,11
2015-07,12,59,17,13,12
2015-08,10,63,18,13,13
2015-09,11,69,20,13,11
2015-10,11,64,24,13,13
2015-11,12,68,23,12,25
2015-12,13,64,22,11,13
2016-01,12,67,19,10,11
2016-02,12,69,23,13,14
2016-03,13,72,23,11,14
2016-04,13,69,22,12,15
2016-05,11,68,21,11,14
2016-06,13,66,22,13,14
2016-07,12,61,16,12,12
2016-08,11,65,20,12,15
2016-09,14,66,26,11,15
2016-10,17,66,24,13,14
2016-11,12,69,22,11,13
2016-12,15,70,20,10,14
2017-01,13,74,19,13,13
2017-02,14,73,23,14,17
2017-03,14,68,22,12,16
2017-04,13,65,26,13,18
2017-05,12,67,22,13,17
2017-06,12,69,18,12,17
2017-07,14,72,20,12,16
2017-08,11,71,18,13,13
2017-09,12,78,21,11,17
2017-10,15,76,25,11,14
2017-11,16,71,25,11,17
2017-12,12,63,21,12,21
2018-01,14,64,21,12,17
2018-02,14,71,27,11,15
2018-03,15,71,23,10,16
2018-04,10,71,25,12,17
2018-05,14,71,21,10,16
2018-06,13,69,20,12,15
2018-07,16,66,23,11,20
2018-08,12,70,21,10,14
2018-09,16,65,23,10,15
2018-10,19,68,25,10,16
2018-11,20,74,25,12,17
2018-12,14,73,24,12,17
2019-01,14,70,22,11,16
2019-02,17,76,25,13,18
2019-03,18,77,27,11,16
2019-04,19,74,25,12,18
2019-05,19,61,21,13,21
2019-06,20,62,23,13,20
2019-07,15,63,19,11,16
2019-08,13,77,21,10,19
2019-09,18,75,29,11,21
2019-10,17,76,29,10,17
2019-11,17,67,25,9,18
2019-12,15,63,27,13,21
2020-01,16,69,31,10,23
2020-02,22,78,27,12,18
2020-03,17,78,21,12,42
2020-04,15,83,24,10,18
2020-05,14,75,21,13,24
