Category: All categories

Month,PTSD: (Florida),Anxiety: (Florida),ADHD: (Florida),Aggressive: (Florida),Dementia: (Florida)
2004-01,0,34,22,10,12
2004-02,6,37,21,9,0
2004-03,0,40,17,9,10
2004-04,0,38,22,8,10
2004-05,0,34,19,9,7
2004-06,9,36,21,11,6
2004-07,0,40,16,5,9
2004-08,0,38,22,9,7
2004-09,0,35,22,5,6
2004-10,4,34,19,8,7
2004-11,0,30,27,7,6
2004-12,5,33,16,7,10
2005-01,0,34,18,6,8
2005-02,4,31,20,9,10
2005-03,6,35,22,7,7
2005-04,4,43,15,11,11
2005-05,4,33,17,12,12
2005-06,5,32,13,11,10
2005-07,3,37,13,8,7
2005-08,4,34,18,9,6
2005-09,7,36,22,9,8
2005-10,4,33,22,7,7
2005-11,6,37,18,8,10
2005-12,4,33,18,10,5
2006-01,3,33,16,10,8
2006-02,3,33,21,9,6
2006-03,3,29,20,9,7
2006-04,4,36,19,9,8
2006-05,5,33,14,7,7
2006-06,3,34,14,7,8
2006-07,4,32,14,8,8
2006-08,3,28,16,9,7
2006-09,2,30,21,9,8
2006-10,5,32,18,9,6
2006-11,4,31,18,9,7
2006-12,4,27,16,9,6
2007-01,3,31,18,8,6
2007-02,3,34,20,7,8
2007-03,3,32,17,8,6
2007-04,4,33,17,9,7
2007-05,5,32,13,9,8
2007-06,4,31,13,8,8
2007-07,6,32,15,11,7
2007-08,5,35,18,7,8
2007-09,4,34,24,9,8
2007-10,4,31,25,8,10
2007-11,6,32,19,8,8
2007-12,5,29,17,11,8
2008-01,5,32,17,9,9
2008-02,5,34,22,10,10
2008-03,5,35,19,10,8
2008-04,6,36,18,10,9
2008-05,4,32,17,8,9
2008-06,4,34,14,7,8
2008-07,4,36,13,11,13
2008-08,2,33,20,9,8
2008-09,5,38,21,11,9
2008-10,6,32,22,8,8
2008-11,5,35,19,10,8
2008-12,5,32,16,10,8
2009-01,6,34,17,9,9
2009-02,5,35,19,11,8
2009-03,6,36,19,12,9
2009-04,7,36,20,11,10
2009-05,5,33,16,11,9
2009-06,5,36,15,11,9
2009-07,4,39,18,12,10
2009-08,5,37,15,11,9
2009-09,4,39,21,11,10
2009-10,6,43,22,11,10
2009-11,7,44,21,11,11
2009-12,6,36,19,11,9
2010-01,5,36,18,9,10
2010-02,6,39,21,10,9
2010-03,6,39,25,12,11
2010-04,8,40,25,11,9
2010-05,6,37,21,12,10
2010-06,7,37,17,12,10
2010-07,6,41,17,9,9
2010-08,6,38,20,10,9
2010-09,7,39,22,11,11
2010-10,7,39,24,10,10
2010-11,8,40,21,10,11
2010-12,6,32,16,10,9
2011-01,6,41,19,10,11
2011-02,8,43,23,11,12
2011-03,8,45,22,11,11
2011-04,9,47,24,12,10
2011-05,7,42,21,11,11
2011-06,8,45,18,12,9
2011-07,6,46,17,10,11
2011-08,6,44,24,11,15
2011-09,7,47,28,11,11
2011-10,8,45,30,10,11
2011-11,9,46,28,12,11
2011-12,7,40,23,10,11
2012-01,7,48,23,11,12
2012-02,8,50,23,10,12
2012-03,9,49,21,11,11
2012-04,9,52,21,12,13
2012-05,7,51,20,11,11
2012-06,8,43,18,11,11
2012-07,8,49,18,11,12
2012-08,8,48,20,12,11
2012-09,8,51,23,12,11
2012-10,9,50,26,12,12
2012-11,8,49,22,11,11
2012-12,8,43,21,10,10
2013-01,7,48,21,11,11
2013-02,9,49,23,12,12
2013-03,8,45,20,11,11
2013-04,8,44,22,11,11
2013-05,8,46,21,11,10
2013-06,8,43,17,12,11
2013-07,9,56,18,13,13
2013-08,8,54,19,12,11
2013-09,9,52,24,12,13
2013-10,8,51,26,13,12
