Category: All categories

Month,PTSD: (Georgia),Anxiety: (Georgia),ADHD: (Georgia),Aggressive: (Georgia),Dementia: (Georgia)
2004-01,0,30,22,8,12
2004-02,0,27,25,9,0
2004-03,0,31,27,10,0
2004-04,0,39,27,8,8
2004-05,0,26,21,8,9
2004-06,0,30,20,9,7
2004-07,0,38,18,0,0
2004-08,0,32,16,8,9
2004-09,0,33,21,6,6
2004-10,0,37,24,0,7
2004-11,0,31,25,8,9
2004-12,0,27,28,9,6
2005-01,0,38,20,7,8
2005-02,0,34,24,8,6
2005-03,0,32,21,6,8
2005-04,0,35,20,8,6
2005-05,0,29,18,5,6
2005-06,0,30,18,11,6
2005-07,4,33,14,9,6
2005-08,0,30,18,7,7
2005-09,4,29,19,8,6
2005-10,5,30,21,5,6
2005-11,4,32,20,5,6
2005-12,5,26,15,10,6
2006-01,3,34,22,7,9
2006-02,3,35,24,6,10
2006-03,3,36,24,6,8
2006-04,0,38,22,8,7
2006-05,0,34,17,7,5
2006-06,4,32,14,8,7
2006-07,4,34,12,5,4
2006-08,4,30,19,7,5
2006-09,3,37,27,6,5
2006-10,3,32,23,6,8
2006-11,5,30,21,6,6
2006-12,2,26,12,7,9
2007-01,4,28,20,8,6
2007-02,3,28,20,9,8
2007-03,5,32,19,8,8
2007-04,3,29,17,8,6
2007-05,2,30,18,9,9
2007-06,5,32,13,7,6
2007-07,4,32,17,9,8
2007-08,4,32,19,7,5
2007-09,6,30,26,9,8
2007-10,5,35,21,7,9
2007-11,4,29,23,8,8
2007-12,3,25,18,7,6
2008-01,4,31,18,7,8
2008-02,4,29,22,9,7
2008-03,5,30,22,10,7
2008-04,5,34,23,8,7
2008-05,4,30,18,9,8
2008-06,5,30,14,8,9
2008-07,5,32,17,9,11
2008-08,4,33,21,7,8
2008-09,3,34,23,9,10
2008-10,5,33,23,9,9
2008-11,5,33,22,8,8
2008-12,5,32,19,8,8
2009-01,5,30,19,8,10
2009-02,6,33,21,9,9
2009-03,6,33,21,11,8
2009-04,7,36,19,11,8
2009-05,5,29,18,8,7
2009-06,3,32,16,8,10
2009-07,4,39,17,10,10
2009-08,5,39,20,9,7
2009-09,4,36,24,9,9
2009-10,6,34,24,9,9
2009-11,7,37,23,11,7
2009-12,4,30,20,11,7
2010-01,6,38,19,10,9
2010-02,6,36,20,10,9
2010-03,5,38,27,10,9
2010-04,7,35,26,9,8
2010-05,6,35,24,9,9
2010-06,5,34,17,9,9
2010-07,7,34,18,8,10
2010-08,6,35,21,9,9
2010-09,8,36,24,9,9
2010-10,6,34,24,10,8
2010-11,9,37,20,10,12
2010-12,7,32,20,9,9
2011-01,6,36,18,10,7
2011-02,6,36,23,10,10
2011-03,7,36,25,9,9
2011-04,8,40,23,9,10
2011-05,7,36,22,10,8
2011-06,6,39,19,10,8
2011-07,7,42,17,10,10
2011-08,7,43,23,11,17
2011-09,7,45,29,10,11
2011-10,7,42,32,10,9
2011-11,8,42,28,9,10
2011-12,6,40,21,11,9
2012-01,7,47,24,10,10
2012-02,7,49,23,9,9
2012-03,9,45,22,10,10
2012-04,9,45,23,11,11
2012-05,8,40,18,11,10
2012-06,7,46,18,11,9
2012-07,7,45,18,9,9
2012-08,7,47,21,11,8
2012-09,7,48,22,10,9
2012-10,9,51,24,11,10
2012-11,10,46,23,11,11
2012-12,8,41,18,10,9
2013-01,7,47,20,10,10
2013-02,10,44,22,10,8
2013-03,9,47,23,11,11
2013-04,8,48,24,13,11
2013-05,8,48,20,11,9
2013-06,9,48,17,11,10
2013-07,8,51,17,11,10
2013-08,8,50,21,11,11
2013-09,9,49,23,11,11
2013-10,8,49,24,11,11
2013-11,9,45,23,11,10
2013-12,8,45,19,12,10
2014-01,8,48,20,12,9
2014-02,8,50,24,12,11
2014-03,10,44,26,12,10
2014-04,11,51,22,11,10
2014-05,9,46,19,13,12
2014-06,9,48,18,12,12
2014-07,11,53,20,12,12
2014-08,10,52,21,11,11
2014-09,10,61,25,12,11
2014-10,11,58,25,12,11
2014-11,12,53,21,11,16
2014-12,10,49,18,10,11
2015-01,13,55,22,11,11
2015-02,11,53,21,12,12
2015-03,12,60,24,12,12
2015-04,13,57,24,13,13
2015-05,11,53,21,11,12
2015-06,12,57,17,12,12
2015-07,12,58,17,12,13
2015-08,10,57,23,11,13
2015-09,12,60,26,12,12
2015-10,11,65,22,12,12
2015-11,12,58,22,12,24
2015-12,10,54,19,11,12
2016-01,11,60,20,11,13
2016-02,11,61,21,12,18
2016-03,12,63,22,12,13
2016-04,13,65,21,13,15
2016-05,12,63,22,12,15
2016-06,12,60,17,13,17
2016-07,11,62,17,12,13
2016-08,10,60,23,11,14
2016-09,11,61,26,12,16
2016-10,15,65,23,11,13
2016-11,11,60,22,11,13
2016-12,13,59,18,11,13
2017-01,11,67,21,13,13
2017-02,11,65,24,12,16
2017-03,11,65,24,11,16
2017-04,14,60,23,12,17
2017-05,12,61,24,11,16
2017-06,13,66,19,12,15
2017-07,12,68,19,12,17
2017-08,11,58,23,11,15
2017-09,12,63,21,11,14
2017-10,13,73,25,12,16
2017-11,14,70,23,12,18
2017-12,12,62,19,11,16
2018-01,12,68,21,12,17
2018-02,12,68,25,12,18
2018-03,13,74,25,13,17
2018-04,12,74,23,12,17
2018-05,13,64,22,13,17
2018-06,13,75,18,12,17
2018-07,12,79,21,12,20
2018-08,13,82,24,12,17
2018-09,12,78,26,12,20
2018-10,14,83,26,12,18
2018-11,15,70,24,12,18
2018-12,12,71,21,12,17
2019-01,13,84,23,12,19
2019-02,13,79,25,12,19
2019-03,13,73,25,13,17
2019-04,16,71,24,13,18
2019-05,14,80,22,12,20
2019-06,15,74,21,13,22
2019-07,14,80,21,12,22
2019-08,12,74,25,13,19
2019-09,14,74,28,13,19
2019-10,15,75,29,11,20
2019-11,16,74,27,11,18
2019-12,14,66,23,11,22
2020-01,15,81,25,11,24
2020-02,16,80,29,13,23
2020-03,15,87,22,12,21
2020-04,15,76,21,14,16
2020-05,13,75,20,14,17
2020-06,15,86,22,13,20
2020-07,14,96,22,13,20
2020-08,14,85,26,13,21
2020-09,14,85,30,13,25
2020-10,13,85,28,13,20
2020-11,14,81,25,13,22
2020-12,14,74,25,12,20
2021-01,13,89,27,14,19
