Category: All categories

Month,PTSD: (Hawaii),Anxiety: (Hawaii),ADHD: (Hawaii),Aggressive: (Hawaii),Dementia: (Hawaii)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,75,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,41,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,46,0,0,0
2005-08,0,0,0,0,0
2005-09,0,39,0,0,0
2005-10,0,0,37,0,0
2005-11,0,0,0,0,31
2005-12,0,0,0,0,32
2006-01,0,30,0,0,0
2006-02,0,38,0,0,0
2006-03,0,31,0,0,0
2006-04,0,34,26,0,0
2006-05,0,22,0,0,0
2006-06,0,32,0,0,0
2006-07,0,31,0,0,0
2006-08,0,44,0,0,0
2006-09,0,29,0,0,0
2006-10,0,29,0,0,0
2006-11,0,35,20,0,0
2006-12,0,30,0,0,0
2007-01,0,38,15,0,0
2007-02,0,33,17,0,0
2007-03,0,35,16,0,0
2007-04,0,30,23,0,0
2007-05,0,34,0,0,0
2007-06,0,22,15,0,0
2007-07,0,25,17,0,0
2007-08,0,17,18,0,0
2007-09,0,35,0,0,0
2007-10,0,34,16,0,0
2007-11,15,36,22,12,0
2007-12,0,36,0,0,14
2008-01,13,22,0,0,0
2008-02,0,34,23,0,0
2008-03,0,35,15,0,13
2008-04,0,35,16,0,13
2008-05,0,44,16,0,0
2008-06,0,33,0,0,0
2008-07,0,43,19,0,16
2008-08,0,35,26,0,14
2008-09,0,34,16,12,0
2008-10,11,27,22,0,0
2008-11,0,40,24,0,12
2008-12,0,37,30,0,18
2009-01,11,26,14,0,0
2009-02,0,29,21,0,0
2009-03,14,31,19,0,0
2009-04,12,25,17,13,0
2009-05,0,34,20,0,0
2009-06,0,41,13,0,11
2009-07,13,36,0,11,12
2009-08,0,35,18,12,14
2009-09,11,28,23,0,0
2009-10,11,34,18,0,13
2009-11,0,32,24,11,18
2009-12,0,32,22,12,0
2010-01,0,29,15,18,9
2010-02,11,27,27,0,12
2010-03,0,38,17,0,12
2010-04,19,37,25,0,11
2010-05,0,37,18,0,0
2010-06,12,24,13,0,14
2010-07,10,32,18,12,0
2010-08,10,36,18,0,0
2010-09,12,35,21,10,9
2010-10,11,45,24,0,10
2010-11,20,44,26,9,11
2010-12,9,32,18,0,0
2011-01,10,31,19,6,7
2011-02,13,44,21,11,8
2011-03,9,41,19,5,13
2011-04,14,44,25,10,13
2011-05,12,38,25,11,7
2011-06,12,42,16,9,12
2011-07,10,38,20,10,12
2011-08,10,39,21,9,18
2011-09,9,43,26,11,13
2011-10,13,50,21,11,10
2011-11,13,41,26,12,17
2011-12,10,33,23,8,8
2012-01,12,43,17,11,12
2012-02,13,40,18,10,12
2012-03,19,42,23,9,9
2012-04,13,43,19,12,10
2012-05,16,46,19,10,12
2012-06,10,43,15,11,8
2012-07,12,46,19,9,10
2012-08,10,45,20,9,11
2012-09,16,50,22,11,13
2012-10,17,46,21,11,9
2012-11,16,53,22,10,10
2012-12,13,37,26,9,15
2013-01,13,46,22,10,10
2013-02,16,52,20,12,13
2013-03,14,50,23,11,13
2013-04,13,52,25,12,13
2013-05,14,49,25,9,13
2013-06,13,51,16,12,14
2013-07,13,49,21,12,11
2013-08,12,54,24,11,12
2013-09,16,52,24,11,11
2013-10,10,52,24,13,15
2013-11,15,56,25,15,13
2013-12,12,44,20,12,15
2014-01,11,52,21,11,13
2014-02,13,48,21,13,15
2014-03,19,47,28,12,21
2014-04,14,59,26,14,17
2014-05,14,60,21,10,16
2014-06,14,60,13,9,15
2014-07,14,53,19,14,14
2014-08,11,57,21,12,11
2014-09,11,60,24,14,14
2014-10,12,63,20,11,13
2014-11,15,61,23,15,20
2014-12,15,52,19,13,16
2015-01,12,62,20,12,13
2015-02,18,62,20,16,17
2015-03,15,60,20,13,12
2015-04,13,57,22,13,15
2015-05,16,55,16,10,14
2015-06,14,58,18,13,12
2015-07,17,57,18,12,17
2015-08,15,61,18,12,17
2015-09,13,58,26,12,14
2015-10,14,69,25,9,16
2015-11,15,57,24,7,19
2015-12,15,60,21,10,13
2016-01,14,57,23,13,13
2016-02,16,64,27,15,22
2016-03,18,65,22,15,15
2016-04,18,66,27,14,18
2016-05,17,65,23,11,21
2016-06,16,63,16,15,22
2016-07,15,62,16,13,14
2016-08,14,60,19,9,15
2016-09,16,60,19,12,18
2016-10,17,71,25,9,17
2016-11,16,68,22,11,15
2016-12,19,68,20,11,19
2017-01,15,70,18,11,18
2017-02,16,70,26,13,20
2017-03,17,71,30,13,22
2017-04,18,80,28,13,21
2017-05,14,68,26,12,21
2017-06,16,69,23,14,18
2017-07,15,68,22,14,19
2017-08,13,72,18,14,21
2017-09,16,70,25,12,20
2017-10,15,70,26,13,19
2017-11,17,71,26,10,21
2017-12,14,66,23,9,19
2018-01,15,65,17,12,16
2018-02,15,71,29,12,20
2018-03,15,76,25,12,22
2018-04,17,72,25,13,19
2018-05,16,78,25,16,21
2018-06,14,67,21,10,20
2018-07,18,77,19,14,18
2018-08,13,73,20,11,19
2018-09,15,73,21,13,22
2018-10,16,86,27,14,22
2018-11,17,81,27,12,21
2018-12,16,72,21,10,20
2019-01,14,76,23,12,25
2019-02,15,78,25,14,20
2019-03,14,83,25,14,19
2019-04,18,88,26,11,23
2019-05,16,78,25,14,23
2019-06,17,73,22,14,25
2019-07,14,75,21,10,26
2019-08,13,78,28,14,24
2019-09,17,86,26,13,21
2019-10,17,81,30,13,27
2019-11,18,81,32,14,20
2019-12,19,75,23,12,20
2020-01,16,80,25,14,23
2020-02,20,76,33,12,26
2020-03,19,77,23,12,20
2020-04,20,84,26,16,18
2020-05,19,84,23,12,23
2020-06,21,89,23,17,26
2020-07,19,89,25,17,26
2020-08,17,87,30,15,27
2020-09,18,96,34,16,32
2020-10,21,98,36,14,27
2020-11,17,91,32,15,26
2020-12,16,91,28,14,20
2021-01,16,92,31,13,19
2021-02,18,81,40,16,23
2021-03,18,89,36,14,27
2021-04,17,95,39,20,28
2021-05,16,87,40,15,24
2021-06,19,82,34,14,24
2021-07,11,89,35,12,25
2021-08,15,95,37,11,25
2021-09,14,100,42,13,29
2021-10,18,84,43,13,30
2021-11,19,85,47,13,25
2021-12,18,84,39,11,24
2022-01,21,91,41,16,23
2022-02,20,86,50,16,27
2022-03,22,96,55,14,27
2022-04,23,92,53,18,28
2022-05,20,85,47,16,27
2022-06,17,80,47,16,28
2022-07,19,83,45,16,29
2022-08,18,89,49,15,25
2022-09,17,78,57,14,28
2022-10,18,93,48,17,31
2022-11,18,86,49,15,28
2022-12,15,88,50,17,32
2023-01,16,86,53,16,32
2023-02,17,97,57,18,47
2023-03,22,92,59,17,36
2023-04,21,94,58,16,39
2023-05,18,88,63,19,31
2023-06,19,85,54,15,38
2023-07,17,86,51,16,31
2023-08,16,79,56,14,27
2023-09,18,82,66,19,29
2023-10,20,88,64,18,30
2023-11,18,86,56,17,32
2023-12,17,89,52,15,32
2024-01,13,77,55,15,32
2024-02,18,79,58,19,35
2024-03,18,81,55,15,33
2024-04,21,90,60,19,37
2024-05,16,87,59,17,33
2024-06,17,88,58,21,37
2024-07,19,79,52,14,33
2024-08,15,85,57,16,29
2024-09,18,82,65,18,36
2024-10,22,92,67,14,35
2024-11,17,88,60,17,32
2024-12,20,82,55,15,34
2025-01,19,78,61,16,36
2025-02,20,87,69,18,37
2025-03,16,98,64,18,34
