Category: All categories

Month,PTSD: (Idaho),Anxiety: (Idaho),ADHD: (Idaho),Aggressive: (Idaho),Dementia: (Idaho)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,100,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,49,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,35,0,30,0
2005-10,28,36,0,0,0
2005-11,0,0,0,0,0
2005-12,0,34,0,0,0
2006-01,0,38,34,0,0
2006-02,0,47,0,0,0
2006-03,0,39,0,0,0
2006-04,0,34,23,0,0
2006-05,0,25,22,0,0
2006-06,0,23,0,0,0
2006-07,0,30,0,0,0
2006-08,25,25,21,0,0
2006-09,0,41,0,0,0
2006-10,0,31,0,0,0
2006-11,0,37,0,0,0
2006-12,0,19,31,0,0
2007-01,0,20,0,0,0
2007-02,0,27,0,0,0
2007-03,0,17,15,18,0
2007-04,0,29,18,0,0
2007-05,0,25,0,0,0
2007-06,0,0,0,0,0
2007-07,0,29,0,0,0
2007-08,0,31,0,0,0
2007-09,0,42,25,0,0
2007-10,0,16,27,13,15
2007-11,0,17,27,0,0
2007-12,0,25,0,13,0
2008-01,17,34,14,0,0
2008-02,0,29,14,0,0
2008-03,0,30,14,0,0
2008-04,0,40,16,0,0
2008-05,0,26,0,0,0
2008-06,0,29,0,0,0
2008-07,0,22,0,0,0
2008-08,0,25,12,0,0
2008-09,0,44,0,0,0
2008-10,0,25,27,0,0
2008-11,0,28,26,0,0
2008-12,0,26,27,0,0
2009-01,11,20,19,0,0
2009-02,0,26,19,0,0
2009-03,0,36,12,0,0
2009-04,0,25,24,13,0
2009-05,11,33,15,0,0
2009-06,0,35,13,0,0
2009-07,0,23,14,0,12
2009-08,0,37,14,0,0
2009-09,0,31,0,0,0
2009-10,0,29,22,0,0
2009-11,0,24,24,0,0
2009-12,0,35,12,0,0
2010-01,0,32,14,16,0
2010-02,0,46,20,0,0
2010-03,0,33,17,13,0
2010-04,0,30,23,0,0
2010-05,0,20,28,0,0
2010-06,0,32,0,0,0
2010-07,0,16,0,0,0
2010-08,0,28,15,0,0
2010-09,0,36,19,11,0
2010-10,0,35,19,10,0
2010-11,0,30,23,10,10
2010-12,0,31,19,10,0
2011-01,5,40,17,11,0
2011-02,10,38,18,10,0
2011-03,9,40,27,9,11
2011-04,6,36,23,6,0
2011-05,9,36,17,8,6
2011-06,9,27,15,10,8
2011-07,6,40,21,8,10
2011-08,8,29,16,8,11
2011-09,6,40,26,7,6
2011-10,9,34,32,10,10
2011-11,9,33,28,0,12
2011-12,7,31,23,8,10
2012-01,8,38,21,7,7
2012-02,10,41,19,10,8
2012-03,11,39,18,9,10
2012-04,9,41,15,11,8
2012-05,9,38,15,12,11
2012-06,5,33,13,10,9
2012-07,6,35,13,14,9
2012-08,5,34,13,8,4
2012-09,8,48,20,10,9
2012-10,11,48,28,7,11
2012-11,9,44,15,12,9
2012-12,7,38,17,9,9
2013-01,7,34,19,5,10
2013-02,14,38,24,9,8
2013-03,11,44,20,11,6
2013-04,10,44,21,10,10
2013-05,10,48,18,10,10
2013-06,10,41,15,10,10
2013-07,10,43,20,8,11
2013-08,10,45,14,7,10
2013-09,9,46,20,11,9
2013-10,9,50,24,9,9
2013-11,12,43,20,12,10
2013-12,9,33,20,11,9
2014-01,9,51,17,10,11
2014-02,12,49,20,9,9
2014-03,12,47,22,11,10
2014-04,11,52,21,13,13
2014-05,12,46,21,9,10
2014-06,11,43,16,9,11
2014-07,12,47,13,12,10
2014-08,11,51,18,8,12
2014-09,11,52,17,14,11
2014-10,14,49,18,10,15
2014-11,17,53,23,12,18
2014-12,11,47,21,9,10
2015-01,15,60,18,8,12
2015-02,13,53,23,9,12
2015-03,14,49,20,10,11
2015-04,14,55,18,11,14
2015-05,12,53,18,10,14
2015-06,11,54,20,11,11
2015-07,15,56,16,11,13
2015-08,10,58,12,12,10
2015-09,13,58,18,13,16
2015-10,15,59,18,12,13
2015-11,12,59,18,10,25
2015-12,12,60,17,10,12
2016-01,14,58,16,11,12
2016-02,12,56,20,9,15
2016-03,13,62,20,11,12
2016-04,12,61,22,13,14
2016-05,11,63,17,12,12
2016-06,11,60,14,10,13
2016-07,12,64,14,11,12
2016-08,11,61,13,9,10
2016-09,12,63,22,9,14
2016-10,16,63,22,11,14
2016-11,13,56,19,9,14
2016-12,13,54,19,11,12
2017-01,9,59,19,10,11
2017-02,15,64,22,13,13
2017-03,11,68,22,9,16
2017-04,15,65,24,11,18
2017-05,13,59,23,9,12
2017-06,12,63,19,10,14
2017-07,8,63,16,10,14
2017-08,10,61,14,9,12
2017-09,13,64,18,11,14
2017-10,14,62,22,12,10
2017-11,14,66,23,13,16
2017-12,12,60,20,10,14
2018-01,12,71,18,9,14
2018-02,12,71,25,12,14
2018-03,14,72,23,11,12
2018-04,12,74,23,12,15
2018-05,12,67,18,11,13
2018-06,15,67,14,13,16
2018-07,11,77,19,10,14
2018-08,12,72,17,10,16
2018-09,14,73,20,11,16
2018-10,15,75,27,10,15
2018-11,15,72,23,11,15
2018-12,11,70,23,12,18
2019-01,12,79,22,12,14
2019-02,15,72,20,11,15
2019-03,13,76,21,11,18
2019-04,14,70,25,13,16
2019-05,16,67,19,12,20
2019-06,14,66,20,12,16
2019-07,15,75,20,12,19
2019-08,13,74,21,14,16
2019-09,14,76,22,12,16
2019-10,13,73,28,12,18
2019-11,14,71,27,12,18
2019-12,13,67,21,9,16
2020-01,14,76,26,11,16
2020-02,17,74,26,14,17
2020-03,14,68,20,11,16
2020-04,10,72,21,10,14
2020-05,12,64,23,14,18
2020-06,13,70,22,12,20
2020-07,11,80,22,11,19
2020-08,12,73,26,12,19
2020-09,14,79,34,12,22
2020-10,13,77,31,14,16
2020-11,10,69,28,10,19
2020-12,13,74,29,11,14
2021-01,13,87,30,12,14
2021-02,16,82,40,12,15
2021-03,13,84,38,14,18
2021-04,14,73,36,14,20
2021-05,11,73,37,14,16
2021-06,16,71,35,12,20
2021-07,10,72,34,15,18
2021-08,13,72,38,13,19
2021-09,14,77,38,10,17
2021-10,12,76,47,9,21
2021-11,11,76,43,15,18
2021-12,14,75,38,14,18
2022-01,13,74,42,14,21
2022-02,15,86,46,11,20
2022-03,13,89,51,12,21
2022-04,16,78,49,15,21
2022-05,16,76,46,13,21
2022-06,13,74,41,13,20
2022-07,16,75,42,15,22
2022-08,13,77,46,14,19
2022-09,16,82,50,11,19
2022-10,14,78,53,17,22
2022-11,13,66,49,14,20
2022-12,12,79,48,14,22
2023-01,13,87,56,11,23
2023-02,15,86,65,14,33
2023-03,14,83,60,13,28
2023-04,13,79,59,14,24
2023-05,13,77,56,12,25
2023-06,15,75,56,14,25
2023-07,11,70,51,16,21
2023-08,11,78,54,14,20
2023-09,14,78,58,13,23
2023-10,12,79,57,14,22
2023-11,11,75,53,12,24
2023-12,12,77,46,14,26
2024-01,14,80,54,13,22
2024-02,16,83,65,16,29
2024-03,14,67,54,15,27
2024-04,16,67,60,17,26
2024-05,12,63,53,11,25
2024-06,13,72,60,11,26
2024-07,10,72,54,13,27
2024-08,11,72,57,14,24
2024-09,16,81,59,14,24
2024-10,14,83,64,14,24
2024-11,15,72,57,13,25
2024-12,14,69,53,14,24
2025-01,14,82,60,13,27
2025-02,15,81,64,13,24
2025-03,13,89,64,14,26
