Category: All categories

Month,PTSD: (Illinois),Anxiety: (Illinois),ADHD: (Illinois),Aggressive: (Illinois),Dementia: (Illinois)
2004-01,0,31,20,5,7
2004-02,0,35,22,7,9
2004-03,0,43,19,0,0
2004-04,6,37,25,6,9
2004-05,0,32,18,8,7
2004-06,0,24,15,12,10
2004-07,5,24,13,9,7
2004-08,0,29,13,11,8
2004-09,0,36,18,7,6
2004-10,0,37,21,9,5
2004-11,0,33,20,9,10
2004-12,0,30,18,7,7
2005-01,5,35,18,6,8
2005-02,4,33,23,6,8
2005-03,5,31,19,8,6
2005-04,4,36,20,9,8
2005-05,3,30,18,8,9
2005-06,0,33,11,9,6
2005-07,3,33,17,7,6
2005-08,0,32,12,8,9
2005-09,3,31,21,6,8
2005-10,3,34,20,6,8
2005-11,4,37,21,8,8
2005-12,4,29,15,7,6
2006-01,2,37,18,6,8
2006-02,3,31,22,8,5
2006-03,4,31,18,8,7
2006-04,4,33,19,7,6
2006-05,4,32,17,7,6
2006-06,3,30,13,7,6
2006-07,3,29,12,7,6
2006-08,3,31,14,7,5
2006-09,2,33,17,6,5
2006-10,4,29,21,6,6
2006-11,3,33,18,7,6
2006-12,3,27,15,6,6
2007-01,2,30,13,5,7
2007-02,3,31,17,8,7
2007-03,4,32,16,7,8
2007-04,4,32,18,7,6
2007-05,4,28,16,7,8
2007-06,4,29,12,7,6
2007-07,4,31,13,7,7
2007-08,3,27,12,8,6
2007-09,3,35,20,7,6
2007-10,3,32,20,8,8
2007-11,5,31,21,7,8
2007-12,4,29,15,6,7
2008-01,3,33,16,6,8
2008-02,5,28,19,7,8
2008-03,4,30,17,8,9
2008-04,6,31,20,9,7
2008-05,5,28,18,7,6
2008-06,3,29,13,8,9
2008-07,3,33,11,8,10
2008-08,3,31,15,6,9
2008-09,4,31,19,7,7
2008-10,4,32,22,7,7
2008-11,5,35,19,8,9
2008-12,4,31,17,8,8
2009-01,5,31,16,8,8
2009-02,5,33,21,9,8
2009-03,4,34,18,9,7
2009-04,7,37,20,9,9
2009-05,5,35,17,9,9
2009-06,4,31,12,8,7
2009-07,4,34,14,8,8
2009-08,3,32,15,8,8
2009-09,3,35,19,10,10
2009-10,4,36,19,10,9
2009-11,5,38,20,9,8
2009-12,5,36,17,9,10
2010-01,5,38,17,10,7
2010-02,5,36,20,8,9
2010-03,6,36,25,11,8
2010-04,8,37,24,8,8
2010-05,6,35,21,9,7
2010-06,3,36,16,10,9
2010-07,4,35,14,8,9
2010-08,5,36,16,10,9
2010-09,5,38,22,10,10
2010-10,6,38,21,8,10
2010-11,7,36,22,9,12
2010-12,5,34,18,10,10
2011-01,5,39,18,9,8
2011-02,6,39,22,8,9
2011-03,7,42,22,9,9
2011-04,6,41,22,9,10
2011-05,7,39,21,8,8
2011-06,6,39,15,8,9
2011-07,5,39,16,8,9
2011-08,5,40,21,9,15
2011-09,6,41,24,9,9
2011-10,7,42,26,8,9
2011-11,8,41,24,8,10
2011-12,7,40,21,8,9
2012-01,6,44,21,8,9
2012-02,7,48,20,9,9
2012-03,8,46,20,9,10
2012-04,8,44,20,9,11
2012-05,7,42,17,9,10
2012-06,5,42,15,8,9
2012-07,7,43,15,9,9
2012-08,6,45,17,9,9
2012-09,7,48,20,8,10
2012-10,8,49,21,9,10
2012-11,7,46,22,9,8
2012-12,7,46,19,8,9
2013-01,7,47,19,9,9
2013-02,8,54,21,9,11
2013-03,8,45,20,9,10
2013-04,8,47,22,10,10
2013-05,8,48,20,9,9
2013-06,7,47,16,9,9
2013-07,6,47,16,9,11
2013-08,5,52,16,9,10
2013-09,7,50,21,9,11
2013-10,8,47,21,9,10
2013-11,8,49,21,10,10
2013-12,7,46,17,9,10
2014-01,7,47,17,9,9
2014-02,8,50,23,10,11
2014-03,9,47,24,10,11
2014-04,10,52,22,10,11
2014-05,8,47,20,10,11
2014-06,8,48,17,11,12
2014-07,8,50,16,10,11
2014-08,7,53,16,10,11
2014-09,8,54,18,10,10
2014-10,9,54,23,10,11
2014-11,11,52,21,11,16
2014-12,8,55,18,10,11
2015-01,9,55,19,9,13
2015-02,11,55,21,10,13
2015-03,10,56,21,11,12
2015-04,11,57,20,10,14
2015-05,11,50,18,10,12
2015-06,9,54,14,10,12
2015-07,10,55,15,11,11
2015-08,7,54,16,9,11
2015-09,9,56,19,10,11
2015-10,10,59,22,10,13
2015-11,11,58,22,9,26
2015-12,11,56,20,9,12
2016-01,9,63,19,9,13
2016-02,10,69,21,12,15
2016-03,10,70,22,11,13
2016-04,11,69,21,11,14
2016-05,11,62,19,11,14
2016-06,9,55,15,10,14
2016-07,9,59,15,10,12
2016-08,8,57,18,10,14
2016-09,10,67,22,10,13
2016-10,13,68,23,10,13
2016-11,11,65,20,9,13
2016-12,13,63,18,10,12
2017-01,11,76,20,10,14
2017-02,11,72,24,11,17
2017-03,12,74,23,11,16
2017-04,13,73,23,11,17
2017-05,12,73,24,11,15
2017-06,10,61,17,10,14
2017-07,10,64,16,11,15
2017-08,9,72,19,9,15
2017-09,10,71,21,10,14
2017-10,12,78,22,10,15
2017-11,13,76,24,11,19
2017-12,12,73,20,10,16
2018-01,11,78,21,11,16
2018-02,13,80,23,12,16
2018-03,13,81,25,12,17
2018-04,13,81,23,11,17
2018-05,11,74,20,11,16
2018-06,12,77,17,11,17
2018-07,11,79,18,11,17
2018-08,12,84,19,11,18
2018-09,11,83,23,11,17
2018-10,14,85,25,11,17
2018-11,14,84,23,11,18
2018-12,12,82,21,11,15
2019-01,12,85,21,11,17
2019-02,14,90,25,11,18
2019-03,13,87,24,11,18
2019-04,16,86,25,12,18
2019-05,14,78,23,11,23
2019-06,13,76,21,10,19
2019-07,12,77,18,11,19
2019-08,12,80,21,10,19
2019-09,13,80,27,11,19
2019-10,14,87,31,11,21
2019-11,15,84,27,11,19
2019-12,13,77,23,10,19
2020-01,14,84,25,10,21
2020-02,20,85,31,11,23
2020-03,18,82,22,10,20
2020-04,15,81,22,11,16
2020-05,14,79,21,13,18
2020-06,14,82,23,13,20
2020-07,13,90,22,12,19
2020-08,12,84,25,12,21
2020-09,12,87,27,12,26
2020-10,12,84,32,12,21
2020-11,12,83,26,11,21
2020-12,13,87,28,12,19
2021-01,12,91,29,11,18
2021-02,13,90,37,12,22
2021-03,13,90,34,12,22
2021-04,13,91,36,12,23
2021-05,13,84,32,12,21
2021-06,14,87,33,13,20
2021-07,12,84,33,11,20
2021-08,12,86,36,12,19
2021-09,12,87,37,11,22
2021-10,13,87,41,10,23
2021-11,13,86,38,10,21
2021-12,13,84,37,12,20
2022-01,13,94,44,12,22
2022-02,14,95,46,13,24
2022-03,14,94,43,14,25
2022-04,15,93,45,15,23
2022-05,15,83,40,12,21
2022-06,13,81,39,12,22
2022-07,13,83,43,13,24
2022-08,12,88,42,13,22
2022-09,13,93,49,13,23
2022-10,13,87,51,13,24
2022-11,13,82,44,13,23
2022-12,13,81,42,11,23
2023-01,13,95,48,12,25
2023-02,16,100,58,13,38
2023-03,15,91,55,14,28
2023-04,15,87,52,13,27
2023-05,13,84,53,14,26
2023-06,12,81,44,12,27
2023-07,12,81,43,12,25
2023-08,11,84,49,12,26
2023-09,13,84,50,13,25
2023-10,13,82,52,13,25
2023-11,14,84,50,12,26
2023-12,13,79,45,12,27
2024-01,12,81,48,12,27
2024-02,13,81,55,13,33
2024-03,14,84,47,13,28
2024-04,14,87,50,13,27
2024-05,13,76,49,12,24
2024-06,12,83,43,13,26
2024-07,10,81,45,11,28
2024-08,12,78,49,12,24
2024-09,12,85,51,12,24
2024-10,12,85,53,12,27
2024-11,13,87,50,12,27
2024-12,13,78,49,12,28
2025-01,13,88,55,12,29
2025-02,14,92,57,13,29
2025-03,14,98,62,14,29
