Category: All categories

Month,PTSD: (Indiana),Anxiety: (Indiana),ADHD: (Indiana),Aggressive: (Indiana),Dementia: (Indiana)
2004-01,0,27,22,0,0
2004-02,0,43,24,0,0
2004-03,0,31,38,0,0
2004-04,0,25,21,0,0
2004-05,0,34,20,0,0
2004-06,0,30,24,0,17
2004-07,0,26,38,24,0
2004-08,0,22,17,0,0
2004-09,0,37,32,0,0
2004-10,0,25,20,0,0
2004-11,0,30,30,0,0
2004-12,0,35,23,0,0
2005-01,0,29,28,0,11
2005-02,0,36,31,0,13
2005-03,0,32,26,11,0
2005-04,0,26,23,13,13
2005-05,0,39,20,0,0
2005-06,0,32,22,0,14
2005-07,0,32,15,0,0
2005-08,0,25,20,0,10
2005-09,9,26,29,0,0
2005-10,0,41,26,8,8
2005-11,0,29,23,0,9
2005-12,0,26,23,0,0
2006-01,0,31,25,7,8
2006-02,0,31,20,0,0
2006-03,0,43,23,7,7
2006-04,0,29,26,8,8
2006-05,0,34,22,0,8
2006-06,0,29,10,0,10
2006-07,0,26,15,0,9
2006-08,0,32,13,0,10
2006-09,6,30,23,0,6
2006-10,0,34,28,7,8
2006-11,0,30,28,5,7
2006-12,6,24,19,10,9
2007-01,6,29,17,5,8
2007-02,0,31,19,7,0
2007-03,5,35,22,0,7
2007-04,0,33,20,7,13
2007-05,6,25,21,8,6
2007-06,6,29,19,8,8
2007-07,0,30,12,0,10
2007-08,0,30,19,6,7
2007-09,0,30,18,9,11
2007-10,5,31,26,6,10
2007-11,0,22,23,0,6
2007-12,4,30,14,0,5
2008-01,5,33,17,6,7
2008-02,4,33,21,7,6
2008-03,0,37,21,6,10
2008-04,6,30,20,6,10
2008-05,5,25,15,6,7
2008-06,0,26,18,7,7
2008-07,5,32,12,7,14
2008-08,5,30,17,8,7
2008-09,0,32,19,8,11
2008-10,5,29,24,7,8
2008-11,7,34,26,6,9
2008-12,4,35,20,8,10
2009-01,5,22,20,9,11
2009-02,4,34,25,7,10
2009-03,4,33,21,8,7
2009-04,5,37,29,8,11
2009-05,5,33,21,8,11
2009-06,0,33,14,6,9
2009-07,4,36,17,12,10
2009-08,5,36,17,9,9
2009-09,4,36,23,9,8
2009-10,5,37,27,10,11
2009-11,8,41,29,11,8
2009-12,6,35,25,8,8
2010-01,6,34,17,9,10
2010-02,6,39,27,7,10
2010-03,6,40,27,8,12
2010-04,7,38,29,11,12
2010-05,6,36,22,10,10
2010-06,6,38,18,8,12
2010-07,5,38,17,9,12
2010-08,3,38,20,8,9
2010-09,6,40,26,8,11
2010-10,8,46,25,7,10
2010-11,5,42,28,7,11
2010-12,7,35,20,8,8
2011-01,6,36,22,7,9
2011-02,6,40,25,11,9
2011-03,8,41,26,8,11
2011-04,8,42,24,9,12
2011-05,7,38,21,8,9
2011-06,6,36,19,9,11
2011-07,6,37,21,9,9
2011-08,7,43,23,7,18
2011-09,6,43,24,9,11
2011-10,5,48,30,9,11
2011-11,8,41,28,9,11
2011-12,8,35,24,8,8
2012-01,7,42,24,8,12
2012-02,9,42,24,8,10
2012-03,8,44,24,10,9
2012-04,9,43,24,9,13
2012-05,7,40,19,8,9
2012-06,8,42,19,8,11
2012-07,8,43,17,9,10
2012-08,6,41,20,9,11
2012-09,9,43,24,11,12
2012-10,7,43,24,9,12
2012-11,9,41,25,8,10
2012-12,8,44,19,7,10
2013-01,7,42,20,9,10
2013-02,9,49,22,10,10
2013-03,9,48,23,9,10
2013-04,8,50,24,10,12
2013-05,8,45,22,8,12
2013-06,6,45,17,9,11
2013-07,9,50,19,8,13
2013-08,7,46,18,8,11
2013-09,8,50,23,9,12
2013-10,8,48,23,11,12
2013-11,10,46,23,10,10
2013-12,9,44,18,10,11
2014-01,8,50,18,9,10
2014-02,8,51,25,11,11
2014-03,11,48,23,10,12
2014-04,13,53,24,10,13
2014-05,9,46,21,10,12
2014-06,9,49,18,12,15
2014-07,9,54,17,12,13
2014-08,8,54,21,11,12
2014-09,9,52,21,9,13
2014-10,11,53,26,11,13
2014-11,12,54,22,11,18
2014-12,10,54,20,11,12
2015-01,10,53,20,10,14
2015-02,13,57,21,10,15
2015-03,13,56,21,10,15
2015-04,13,61,22,10,14
2015-05,11,55,22,12,12
2015-06,9,54,16,11,14
2015-07,11,58,17,12,15
2015-08,8,57,20,9,14
2015-09,12,62,24,11,12
