Category: All categories

Month,PTSD: (Iowa),Anxiety: (Iowa),ADHD: (Iowa),Aggressive: (Iowa),Dementia: (Iowa)
2004-01,0,0,0,0,44
2004-02,0,0,52,0,0
2004-03,0,40,0,0,0
2004-04,0,33,29,0,0
2004-05,0,35,35,0,0
2004-06,0,0,0,0,0
2004-07,0,38,0,0,0
2004-08,0,42,0,0,0
2004-09,0,41,0,0,0
2004-10,0,40,41,0,0
2004-11,0,39,30,0,0
2004-12,0,36,26,0,0
2005-01,0,32,20,0,0
2005-02,0,28,32,0,0
2005-03,0,38,31,0,0
2005-04,0,26,30,0,26
2005-05,0,26,25,0,34
2005-06,0,38,0,0,0
2005-07,0,31,0,0,0
2005-08,0,38,0,0,0
2005-09,0,53,31,0,0
2005-10,0,41,46,0,0
2005-11,0,30,33,0,17
2005-12,0,29,17,0,0
2006-01,0,36,18,0,0
2006-02,0,28,33,0,0
2006-03,0,40,25,0,0
2006-04,0,31,31,0,13
2006-05,0,24,32,12,17
2006-06,0,44,16,14,0
2006-07,0,38,18,0,0
2006-08,0,31,0,0,19
2006-09,0,32,13,0,0
2006-10,0,35,35,0,12
2006-11,0,31,36,0,0
2006-12,0,36,24,0,0
2007-01,0,41,24,11,0
2007-02,0,33,16,0,0
2007-03,0,36,25,0,11
2007-04,0,33,30,0,14
2007-05,0,24,24,10,0
2007-06,0,35,14,0,12
2007-07,0,27,24,0,0
2007-08,0,34,21,0,12
2007-09,9,46,38,11,11
2007-10,9,37,27,0,0
2007-11,10,38,17,0,9
2007-12,0,27,19,0,0
2008-01,0,30,20,0,8
2008-02,0,35,15,0,0
2008-03,9,31,23,0,0
2008-04,0,33,25,7,8
2008-05,0,31,25,0,8
2008-06,0,39,15,8,0
2008-07,0,25,18,9,0
2008-08,0,28,20,0,0
2008-09,0,45,23,0,11
2008-10,0,33,32,0,10
2008-11,0,40,32,0,13
2008-12,8,28,16,7,8
2009-01,0,37,24,7,8
2009-02,0,32,18,8,12
2009-03,12,32,30,0,8
2009-04,8,33,32,9,9
2009-05,7,34,24,0,12
2009-06,0,34,23,0,16
2009-07,0,38,14,15,11
2009-08,9,33,22,11,10
2009-09,0,39,24,0,11
2009-10,0,41,29,9,9
2009-11,0,47,28,7,10
2009-12,0,36,26,17,10
2010-01,8,45,22,0,0
2010-02,6,46,27,9,0
2010-03,0,43,31,0,12
2010-04,9,39,40,9,12
2010-05,9,41,27,0,13
2010-06,0,37,18,13,8
2010-07,0,34,19,8,17
2010-08,0,46,19,9,12
2010-09,8,47,25,9,11
2010-10,8,40,32,9,10
2010-11,12,47,28,12,15
2010-12,0,39,27,7,11
2011-01,8,41,23,6,10
2011-02,7,46,25,8,10
2011-03,9,42,24,11,10
2011-04,5,48,31,9,13
2011-05,6,41,20,10,8
2011-06,6,36,19,10,10
2011-07,6,37,18,11,9
2011-08,6,44,27,10,25
2011-09,6,43,31,10,11
2011-10,7,45,31,11,11
2011-11,9,43,30,9,13
2011-12,9,40,31,9,9
2012-01,7,50,25,9,11
2012-02,9,48,27,10,14
2012-03,10,47,28,7,13
2012-04,13,50,26,11,16
2012-05,9,45,17,10,12
2012-06,6,47,17,9,8
2012-07,9,47,19,10,12
2012-08,8,53,20,9,11
2012-09,9,49,25,9,11
2012-10,9,53,31,11,16
2012-11,9,51,26,11,12
2012-12,9,44,24,12,10
2013-01,7,50,23,10,14
2013-02,11,53,23,10,10
2013-03,8,50,25,11,12
2013-04,11,51,29,10,14
2013-05,9,47,24,7,14
2013-06,8,45,17,9,9
2013-07,6,50,17,10,12
2013-08,5,45,17,9,12
2013-09,8,53,26,11,14
2013-10,10,53,25,9,12
2013-11,13,51,20,9,14
2013-12,8,47,21,9,10
2014-01,9,53,21,11,11
2014-02,10,53,25,10,12
2014-03,8,53,26,9,12
2014-04,15,58,29,10,14
2014-05,13,50,25,10,15
2014-06,7,54,16,13,14
2014-07,10,55,20,12,14
2014-08,7,56,20,11,13
2014-09,12,59,25,9,13
2014-10,12,61,28,12,13
2014-11,12,58,28,10,21
2014-12,12,60,23,9,14
2015-01,12,59,21,11,13
2015-02,16,60,26,13,15
2015-03,16,67,24,12,18
2015-04,15,67,27,15,17
2015-05,15,66,22,12,15
2015-06,11,65,16,11,17
2015-07,12,64,22,10,17
2015-08,9,61,20,10,14
2015-09,14,64,26,10,12
2015-10,16,68,29,12,16
2015-11,14,63,23,11,30
2015-12,12,62,21,11,15
2016-01,12,61,23,10,13
2016-02,11,68,27,11,18
2016-03,11,73,24,11,15
2016-04,17,76,27,12,16
2016-05,16,70,22,12,18
2016-06,11,62,19,12,14
2016-07,10,60,18,9,16
2016-08,11,68,19,9,14
2016-09,12,70,25,13,15
2016-10,15,75,28,10,16
2016-11,13,67,24,9,14
2016-12,15,67,23,8,15
2017-01,13,74,22,9,13
2017-02,12,80,27,12,19
2017-03,14,78,29,10,18
2017-04,18,77,30,12,17
2017-05,16,73,33,12,17
2017-06,12,69,19,12,17
2017-07,12,75,21,13,18
2017-08,9,73,21,8,18
2017-09,11,74,24,9,16
2017-10,11,83,27,12,18
2017-11,16,86,28,12,20
2017-12,12,71,23,13,19
2018-01,12,80,21,10,19
2018-02,14,75,25,11,19
2018-03,14,84,25,12,22
2018-04,16,87,27,12,22
2018-05,16,75,23,11,18
2018-06,11,80,17,11,18
2018-07,11,82,19,11,18
2018-08,10,79,19,11,17
2018-09,12,81,27,12,19
2018-10,14,91,29,11,19
2018-11,17,87,28,11,19
2018-12,13,86,25,11,18
2019-01,13,86,24,11,17
2019-02,13,87,24,11,19
2019-03,14,83,27,12,22
2019-04,17,91,29,12,19
2019-05,15,82,24,11,22
2019-06,14,77,20,11,22
2019-07,14,78,22,10,21
2019-08,10,82,20,13,21
2019-09,14,85,27,11,20
2019-10,14,86,32,13,21
2019-11,17,87,30,11,21
2019-12,15,81,25,10,21
2020-01,15,89,26,11,23
2020-02,18,91,30,11,23
2020-03,17,80,23,11,20
2020-04,12,74,21,12,17
2020-05,12,77,21,11,18
2020-06,12,79,22,14,22
2020-07,14,88,26,12,22
2020-08,11,77,25,11,21
2020-09,14,91,33,12,26
2020-10,14,85,33,12,21
2020-11,12,84,26,12,22
2020-12,11,81,28,12,20
2021-01,11,85,30,11,20
2021-02,14,87,37,13,23
2021-03,13,88,35,13,22
2021-04,14,89,37,16,26
2021-05,14,79,38,12,23
2021-06,13,80,37,13,23
2021-07,13,80,36,12,22
2021-08,12,89,39,11,22
2021-09,11,94,41,12,24
2021-10,13,88,45,12,26
2021-11,13,85,45,13,23
2021-12,12,78,38,13,23
2022-01,11,87,46,10,22
2022-02,13,90,44,15,28
2022-03,13,95,49,14,27
2022-04,17,96,48,17,24
2022-05,16,90,41,15,24
2022-06,12,81,43,14,28
2022-07,12,83,40,14,26
2022-08,11,82,45,14,27
2022-09,13,86,48,14,27
2022-10,17,91,51,15,27
2022-11,14,83,51,13,28
2022-12,14,84,53,12,26
2023-01,15,100,53,14,26
2023-02,16,91,61,15,37
