Category: All categories

Month,PTSD: (Kansas),Anxiety: (Kansas),ADHD: (Kansas),Aggressive: (Kansas),Dementia: (Kansas)
2004-01,0,0,0,0,0
2004-02,0,30,0,0,0
2004-03,0,48,0,0,0
2004-04,0,34,0,0,0
2004-05,0,37,0,0,0
2004-06,0,32,0,0,0
2004-07,0,30,0,0,0
2004-08,0,50,0,0,0
2004-09,0,37,0,0,0
2004-10,0,23,0,0,0
2004-11,0,23,33,0,0
2004-12,0,23,25,0,0
2005-01,0,43,20,0,0
2005-02,0,36,25,0,0
2005-03,0,37,26,0,0
2005-04,0,29,24,0,0
2005-05,0,46,22,0,0
2005-06,0,25,26,0,22
2005-07,0,28,26,0,19
2005-08,0,23,0,0,0
2005-09,0,33,20,0,0
2005-10,0,26,18,0,0
2005-11,0,31,25,0,0
2005-12,0,28,18,0,0
2006-01,0,25,0,0,0
2006-02,0,34,26,0,0
2006-03,0,48,19,11,14
2006-04,0,38,18,13,0
2006-05,0,22,16,0,0
2006-06,0,40,16,0,0
2006-07,0,27,16,0,11
2006-08,0,40,21,0,0
2006-09,0,30,25,0,0
2006-10,0,33,25,11,12
2006-11,0,36,30,0,0
2006-12,0,30,14,0,10
2007-01,0,24,16,0,9
2007-02,0,25,22,0,17
2007-03,0,32,10,0,9
2007-04,0,32,23,0,10
2007-05,0,33,17,0,8
2007-06,0,35,13,15,9
2007-07,0,29,9,0,11
2007-08,0,28,21,8,12
2007-09,0,33,29,9,9
2007-10,7,41,27,7,11
2007-11,9,31,20,7,8
2007-12,0,38,25,0,7
2008-01,0,32,14,6,8
2008-02,0,34,20,8,0
2008-03,0,32,18,0,8
2008-04,9,28,32,9,12
2008-05,0,29,22,9,15
2008-06,9,30,12,8,11
2008-07,0,26,15,9,12
2008-08,7,31,21,7,0
2008-09,0,30,27,6,7
2008-10,0,36,30,11,11
2008-11,0,40,18,6,8
2008-12,8,41,29,9,0
2009-01,0,30,19,7,10
2009-02,6,38,28,9,7
2009-03,8,29,20,8,9
2009-04,8,39,20,7,9
2009-05,8,30,16,0,9
2009-06,6,29,13,10,7
2009-07,7,36,24,7,13
2009-08,0,40,17,8,11
2009-09,6,39,25,13,11
2009-10,11,39,24,12,8
2009-11,9,36,22,8,12
2009-12,7,39,22,7,13
2010-01,5,33,23,6,10
2010-02,6,40,24,10,10
2010-03,7,37,27,7,13
2010-04,7,44,28,12,12
2010-05,0,40,27,7,7
2010-06,8,46,15,12,14
2010-07,9,43,21,7,8
