Category: All categories

Month,PTSD: (Kentucky),Anxiety: (Kentucky),ADHD: (Kentucky),Aggressive: (Kentucky),Dementia: (Kentucky)
2004-01,0,42,34,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,36,0,0
2004-06,0,0,0,0,0
2004-07,0,51,0,0,0
2004-08,0,37,46,0,0
2004-09,0,40,30,0,0
2004-10,0,38,0,0,0
2004-11,0,37,0,0,0
2004-12,0,0,0,0,0
2005-01,0,33,27,0,0
2005-02,0,58,37,0,0
2005-03,0,21,26,0,0
2005-04,0,29,24,0,0
2005-05,0,41,29,0,25
2005-06,0,41,0,0,0
2005-07,0,39,0,0,0
2005-08,0,39,0,0,0
2005-09,0,17,22,0,0
2005-10,0,40,21,0,0
2005-11,0,22,30,0,0
2005-12,0,18,35,0,0
2006-01,0,31,31,0,0
2006-02,0,39,30,0,0
2006-03,0,28,29,0,0
2006-04,0,39,15,0,0
2006-05,0,36,0,0,0
2006-06,0,31,16,10,12
2006-07,0,27,12,8,9
2006-08,0,33,20,0,0
2006-09,0,32,26,7,0
2006-10,0,34,30,9,0
2006-11,0,30,23,9,0
2006-12,0,36,14,7,0
2007-01,0,35,15,6,8
2007-02,0,31,21,7,7
2007-03,0,32,22,6,9
2007-04,6,32,20,8,6
2007-05,7,23,13,8,0
2007-06,0,30,13,6,7
2007-07,7,34,16,9,0
2007-08,0,32,17,0,7
2007-09,0,38,29,9,7
2007-10,5,33,26,6,7
2007-11,6,33,24,7,9
2007-12,6,28,16,5,4
2008-01,5,26,20,7,7
2008-02,7,34,21,5,6
2008-03,0,39,20,6,8
2008-04,7,36,23,5,6
2008-05,6,28,19,10,8
2008-06,0,29,18,0,13
2008-07,6,30,22,9,13
2008-08,0,36,22,6,6
2008-09,6,34,22,5,10
2008-10,6,40,19,8,8
2008-11,6,42,25,8,8
2008-12,8,43,20,5,0
2009-01,0,32,18,7,7
2009-02,6,34,20,10,8
2009-03,6,35,23,5,8
2009-04,9,37,21,5,12
2009-05,5,32,21,7,8
2009-06,6,33,18,7,9
2009-07,7,30,20,5,6
2009-08,4,43,23,8,8
2009-09,4,33,24,9,6
2009-10,9,39,27,7,7
2009-11,7,42,22,10,8
2009-12,9,33,21,9,10
2010-01,6,38,25,7,8
2010-02,6,36,22,8,10
2010-03,0,43,23,10,8
2010-04,12,40,28,8,8
2010-05,4,39,23,4,11
2010-06,6,38,21,7,11
2010-07,0,39,16,8,8
2010-08,7,40,26,9,7
2010-09,7,39,33,12,12
2010-10,3,43,25,10,14
2010-11,10,39,25,7,12
2010-12,7,37,22,4,7
2011-01,7,43,19,9,12
2011-02,9,43,26,8,12
2011-03,8,43,29,8,13
2011-04,12,46,30,11,12
2011-05,9,37,22,9,13
2011-06,6,36,21,10,9
2011-07,7,42,22,7,12
2011-08,8,45,28,7,24
2011-09,8,44,32,9,11
2011-10,8,45,32,8,14
2011-11,10,43,29,10,12
2011-12,6,38,23,9,10
2012-01,9,46,24,8,10
2012-02,8,48,25,9,11
2012-03,10,48,25,9,11
2012-04,10,44,26,8,11
2012-05,5,39,16,8,10
2012-06,10,42,18,8,10
2012-07,7,49,19,12,11
2012-08,9,49,23,8,11
2012-09,10,50,26,10,13
2012-10,8,48,22,9,11
2012-11,10,46,23,9,9
2012-12,9,44,20,7,9
2013-01,8,46,20,7,13
2013-02,9,52,23,9,13
2013-03,9,47,24,9,14
2013-04,11,48,26,11,12
2013-05,9,45,19,11,11
2013-06,7,45,16,8,12
2013-07,8,50,18,8,12
2013-08,10,54,22,9,11
2013-09,8,52,24,9,11
2013-10,9,50,22,9,11
2013-11,9,44,23,9,10
2013-12,7,44,18,10,10
2014-01,8,50,19,8,14
2014-02,9,56,24,10,14
2014-03,9,50,23,9,13
2014-04,12,54,22,12,11
2014-05,8,51,21,8,14
2014-06,10,48,17,8,14
2014-07,11,55,17,10,14
2014-08,9,58,21,10,11
2014-09,10,59,23,10,13
2014-10,10,53,23,10,12
2014-11,11,55,21,9,18
2014-12,10,56,17,9,11
2015-01,12,58,18,9,13
2015-02,12,58,21,10,13
2015-03,12,63,20,11,14
2015-04,10,64,23,11,16
2015-05,10,56,17,10,12
2015-06,11,58,18,11,13
2015-07,11,61,20,10,14
2015-08,10,71,22,10,14
2015-09,13,71,24,8,12
2015-10,14,70,21,11,16
2015-11,15,70,25,11,27
