Category: All categories

Month,PTSD: (Louisiana),Anxiety: (Louisiana),ADHD: (Louisiana),Aggressive: (Louisiana),Dementia: (Louisiana)
2004-01,0,0,34,0,0
2004-02,0,40,0,0,0
2004-03,0,0,0,0,0
2004-04,0,30,47,0,0
2004-05,0,42,0,0,0
2004-06,0,0,0,0,0
2004-07,0,48,0,0,0
2004-08,0,43,0,0,0
2004-09,0,51,22,0,0
2004-10,0,40,33,0,0
2004-11,0,0,33,0,0
2004-12,0,44,0,0,0
2005-01,0,49,21,19,0
2005-02,0,28,28,0,20
2005-03,0,26,0,0,0
2005-04,0,41,30,0,0
2005-05,0,23,0,0,0
2005-06,0,38,23,0,0
2005-07,0,29,24,20,0
2005-08,0,34,18,0,0
2005-09,20,25,20,0,0
2005-10,0,29,23,0,0
2005-11,0,32,21,0,0
2005-12,0,35,14,0,0
2006-01,0,46,29,0,0
2006-02,0,31,31,0,0
2006-03,0,51,28,0,0
2006-04,21,33,25,0,0
2006-05,0,45,15,0,0
2006-06,0,35,12,16,0
2006-07,0,42,20,0,0
2006-08,0,29,18,0,12
2006-09,0,37,25,0,0
2006-10,0,41,29,0,0
2006-11,0,29,21,0,0
2006-12,0,29,0,0,0
2007-01,0,36,17,0,0
2007-02,0,31,19,0,18
2007-03,0,30,29,8,7
2007-04,0,34,22,10,0
2007-05,0,27,18,0,0
2007-06,0,34,14,0,0
2007-07,0,27,22,7,0
2007-08,0,33,18,15,0
2007-09,0,30,30,6,0
2007-10,0,34,26,9,7
2007-11,0,33,26,0,6
2007-12,0,30,15,8,6
2008-01,0,33,20,7,7
2008-02,0,37,27,0,7
2008-03,0,30,26,0,11
2008-04,5,34,20,10,8
2008-05,0,28,17,12,8
2008-06,5,29,16,6,8
2008-07,0,33,20,6,8
2008-08,5,35,20,5,6
2008-09,0,37,17,6,8
2008-10,5,44,29,0,8
2008-11,0,32,26,7,12
2008-12,0,32,16,7,0
2009-01,4,27,17,0,7
2009-02,0,35,22,6,7
