Category: All categories

Month,PTSD: (Maine),Anxiety: (Maine),ADHD: (Maine),Aggressive: (Maine),Dementia: (Maine)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,63,58,0,0
2004-04,0,41,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,44,0,0,0
2004-09,0,39,0,0,0
2004-10,0,40,0,0,0
2004-11,0,45,39,0,0
2004-12,0,0,0,0,0
2005-01,0,30,0,0,0
2005-02,0,32,0,0,0
2005-03,0,27,35,0,0
2005-04,0,46,0,0,0
2005-05,0,38,0,0,0
2005-06,0,67,0,0,0
2005-07,0,45,0,0,0
2005-08,0,40,0,0,0
2005-09,0,46,50,0,0
2005-10,0,40,32,0,0
2005-11,0,26,29,0,0
2005-12,0,23,31,0,0
2006-01,18,36,32,0,0
2006-02,0,31,21,0,0
2006-03,0,28,0,0,0
2006-04,0,42,26,0,24
2006-05,0,0,21,0,0
2006-06,0,0,0,0,0
2006-07,0,33,0,0,0
2006-08,0,31,0,0,0
2006-09,0,38,0,0,0
2006-10,0,46,23,0,0
2006-11,0,20,0,14,0
2006-12,0,38,21,0,0
2007-01,0,33,18,15,0
2007-02,0,0,22,0,0
2007-03,0,34,25,0,0
2007-04,0,33,24,0,0
2007-05,0,31,14,0,0
2007-06,0,38,19,0,0
2007-07,0,22,21,0,0
2007-08,0,27,12,0,0
2007-09,0,47,15,12,0
2007-10,0,31,26,0,0
2007-11,0,31,18,10,0
2007-12,11,30,17,0,0
2008-01,0,35,19,11,0
2008-02,0,30,23,11,16
2008-03,0,41,36,0,11
2008-04,13,35,23,0,0
2008-05,0,30,14,0,0
2008-06,0,39,14,0,0
2008-07,0,25,0,0,17
2008-08,0,33,22,10,13
2008-09,0,45,24,0,0
2008-10,8,33,35,9,0
2008-11,0,38,32,9,9
2008-12,9,33,18,0,0
2009-01,0,42,23,8,11
2009-02,0,36,17,9,0
2009-03,10,36,27,0,13
2009-04,8,44,26,0,11
2009-05,11,36,17,12,0
2009-06,9,33,18,9,9
2009-07,0,33,13,11,9
2009-08,0,31,19,0,10
2009-09,0,45,18,0,15
2009-10,0,38,22,0,9
2009-11,0,42,20,0,10
2009-12,8,30,23,8,8
2010-01,0,52,16,14,14
2010-02,0,41,19,8,10
2010-03,8,47,21,10,12
2010-04,0,33,25,9,13
2010-05,14,38,29,0,14
2010-06,0,41,24,0,0
2010-07,11,42,12,0,11
2010-08,10,39,15,14,12
2010-09,8,44,22,8,13
2010-10,10,45,33,0,15
2010-11,12,49,19,9,10
2010-12,12,43,25,11,14
2011-01,6,43,23,11,9
2011-02,10,41,22,5,10
2011-03,10,45,23,10,10
2011-04,16,43,29,11,13
2011-05,11,42,26,13,11
2011-06,9,49,19,12,12
2011-07,7,45,18,14,11
2011-08,7,43,21,6,17
2011-09,9,44,22,7,18
2011-10,10,49,29,8,14
2011-11,12,50,27,7,7
2011-12,7,45,22,11,12
2012-01,10,58,22,10,11
2012-02,10,47,19,10,13
2012-03,10,54,24,6,12
2012-04,14,56,22,8,15
2012-05,12,45,26,8,16
2012-06,13,53,16,8,15
2012-07,13,50,12,12,14
2012-08,8,49,20,8,13
2012-09,9,50,24,8,14
2012-10,12,54,27,11,12
2012-11,13,49,21,6,15
2012-12,12,52,23,9,11
2013-01,10,54,20,12,15
2013-02,10,60,22,11,11
2013-03,13,52,22,9,12
2013-04,18,57,25,14,15
2013-05,13,55,24,11,13
2013-06,7,57,17,10,12
2013-07,8,55,18,9,13
2013-08,11,48,17,7,13
2013-09,12,57,22,10,14
2013-10,17,55,25,11,15
2013-11,17,58,25,12,14
2013-12,14,50,28,9,11
2014-01,12,60,20,8,17
2014-02,16,56,23,9,15
2014-03,15,65,29,11,14
2014-04,17,63,25,11,14
2014-05,13,64,23,10,19
2014-06,15,51,17,13,13
2014-07,9,56,19,11,17
2014-08,8,56,16,10,14
2014-09,17,57,19,10,14
2014-10,15,62,24,8,17
2014-11,15,66,21,9,24
2014-12,12,61,24,8,15
2015-01,12,64,21,6,17
2015-02,14,71,19,12,13
2015-03,16,71,28,11,17
2015-04,20,71,26,11,19
2015-05,19,62,23,9,16
2015-06,13,66,20,11,14
2015-07,10,64,18,11,14
2015-08,10,59,19,13,15
2015-09,14,63,20,9,14
2015-10,20,71,25,10,12
2015-11,19,68,24,8,27
2015-12,14,71,20,11,15
2016-01,17,71,20,11,14
2016-02,17,74,21,12,17
2016-03,20,81,22,10,17
2016-04,16,81,27,12,17
2016-05,18,68,23,11,20
2016-06,17,66,16,13,20
2016-07,11,65,14,9,17
2016-08,14,69,17,9,18
2016-09,10,70,24,9,18
2016-10,18,72,19,11,17
2016-11,17,78,23,11,19
2016-12,17,69,17,10,16
2017-01,16,81,20,11,17
2017-02,16,80,24,10,23
2017-03,18,82,26,10,19
2017-04,20,77,19,13,23
2017-05,18,81,31,13,20
2017-06,15,63,18,9,14
2017-07,14,68,16,10,16
2017-08,11,69,18,13,18
2017-09,15,71,19,10,15
2017-10,17,79,22,11,18
2017-11,21,76,27,10,21
2017-12,12,69,22,10,20
2018-01,12,82,22,11,21
2018-02,14,80,21,13,17
2018-03,18,85,24,11,19
2018-04,18,89,23,12,21
2018-05,15,72,24,14,20
2018-06,14,79,19,10,19
2018-07,12,78,17,11,23
2018-08,13,79,18,10,24
2018-09,12,83,20,9,22
2018-10,16,87,25,11,23
2018-11,16,89,24,10,22
2018-12,16,85,22,13,23
2019-01,16,86,28,10,22
2019-02,14,90,27,13,20
2019-03,21,95,29,10,26
2019-04,20,88,27,11,24
2019-05,18,84,27,11,34
2019-06,20,74,23,10,23
2019-07,15,76,17,13,21
2019-08,14,81,21,14,23
2019-09,15,84,23,12,21
2019-10,17,85,33,15,25
2019-11,16,78,29,13,22
2019-12,15,81,26,11,24
2020-01,18,86,27,11,29
2020-02,21,87,28,11,28
2020-03,14,76,25,11,21
2020-04,14,67,21,11,19
2020-05,14,67,22,15,20
2020-06,15,76,22,11,25
2020-07,16,80,22,11,23
2020-08,13,77,28,11,26
2020-09,12,76,28,11,31
2020-10,14,91,31,11,21
2020-11,12,79,26,10,27
2020-12,13,79,29,11,21
2021-01,11,88,30,11,24
2021-02,17,90,40,12,27
2021-03,16,86,37,14,26
2021-04,14,86,33,13,27
2021-05,14,78,34,16,22
2021-06,14,82,32,13,22
2021-07,12,78,35,11,22
2021-08,12,85,35,11,24
2021-09,12,93,36,10,27
2021-10,14,86,40,13,25
2021-11,16,84,38,10,21
2021-12,12,83,41,13,26
2022-01,13,83,44,12,24
2022-02,16,85,49,13,25
2022-03,18,90,50,14,29
2022-04,17,86,53,13,29
2022-05,17,87,43,13,25
2022-06,13,72,41,13,23
2022-07,13,82,41,15,27
2022-08,13,81,43,10,30
2022-09,15,84,46,13,27
2022-10,15,90,49,13,23
2022-11,19,89,51,13,27
2022-12,13,77,49,12,28
2023-01,15,93,57,12,26
2023-02,19,95,61,15,45
2023-03,19,96,68,14,34
2023-04,19,82,60,13,36
2023-05,12,88,56,11,31
2023-06,13,76,49,11,29
2023-07,13,76,48,12,30
2023-08,13,75,49,11,29
2023-09,14,76,51,12,30
2023-10,16,77,56,12,29
2023-11,19,78,52,13,31
2023-12,11,69,53,11,31
2024-01,13,83,53,13,34
2024-02,16,79,59,12,35
2024-03,17,80,53,11,33
2024-04,16,76,53,12,32
2024-05,16,78,61,13,32
2024-06,13,70,49,13,32
2024-07,13,74,49,13,33
2024-08,13,71,50,13,32
2024-09,12,76,59,11,26
2024-10,17,83,58,12,33
2024-11,14,81,61,12,34
2024-12,12,79,58,12,35
2025-01,13,87,61,12,31
2025-02,17,96,61,16,31
2025-03,16,100,60,13,35
