Category: All categories

Month,PTSD: (Maryland),Anxiety: (Maryland),ADHD: (Maryland),Aggressive: (Maryland),Dementia: (Maryland)
2004-01,0,30,18,0,0
2004-02,0,30,25,0,0
2004-03,0,34,30,0,0
2004-04,0,40,30,0,0
2004-05,0,37,25,11,0
2004-06,0,30,18,11,0
2004-07,11,48,18,0,0
2004-08,0,47,0,0,0
2004-09,0,42,30,12,9
2004-10,0,41,25,0,11
2004-11,0,30,23,14,0
2004-12,10,39,15,0,0
2005-01,0,35,26,0,10
2005-02,0,34,25,10,0
2005-03,0,34,22,9,9
2005-04,0,37,29,8,10
2005-05,0,46,23,12,0
2005-06,0,36,23,8,8
2005-07,0,32,15,0,12
2005-08,0,42,15,8,8
2005-09,0,40,29,11,8
2005-10,7,36,29,12,10
2005-11,7,41,29,9,8
2005-12,0,32,27,6,8
2006-01,0,34,22,8,10
2006-02,6,42,27,6,11
2006-03,0,38,27,7,13
2006-04,6,34,24,9,8
2006-05,5,31,16,7,9
2006-06,5,33,17,9,8
2006-07,6,30,14,6,10
2006-08,0,37,15,9,7
2006-09,5,46,22,5,11
2006-10,4,35,20,8,8
2006-11,7,35,25,10,9
2006-12,6,38,20,6,11
2007-01,6,33,21,9,8
2007-02,6,35,20,7,9
2007-03,4,33,21,7,9
2007-04,6,40,24,9,13
2007-05,4,36,20,7,10
2007-06,6,39,18,10,9
2007-07,6,39,15,7,8
2007-08,6,28,16,9,6
2007-09,4,42,25,12,9
2007-10,6,40,22,9,9
2007-11,5,36,24,6,11
2007-12,6,35,16,7,8
2008-01,6,32,17,6,9
2008-02,3,36,23,9,8
2008-03,5,36,20,6,9
2008-04,7,33,26,8,10
2008-05,8,33,22,11,8
2008-06,6,33,19,10,9
2008-07,8,38,19,9,12
2008-08,4,38,22,10,8
2008-09,7,37,24,7,14
2008-10,4,41,24,8,9
2008-11,9,35,25,10,11
2008-12,7,37,19,7,12
2009-01,5,38,20,7,11
2009-02,8,41,22,9,10
2009-03,8,38,24,9,11
2009-04,9,37,28,8,10
2009-05,9,38,21,9,10
2009-06,8,40,19,9,10
2009-07,5,37,17,9,8
2009-08,7,39,14,10,10
2009-09,5,38,23,10,13
2009-10,8,41,28,11,12
2009-11,12,36,26,12,11
2009-12,10,41,22,9,9
2010-01,8,39,21,9,11
2010-02,6,36,20,11,9
2010-03,7,47,28,14,9
2010-04,13,42,29,11,14
2010-05,9,40,26,12,10
2010-06,7,43,23,11,11
2010-07,10,41,21,10,13
2010-08,10,39,19,11,10
2010-09,9,41,27,10,12
2010-10,9,43,30,10,13
2010-11,10,46,27,10,13
2010-12,9,38,23,11,9
2011-01,5,37,20,11,11
2011-02,8,41,23,12,12
2011-03,9,41,30,11,11
2011-04,8,43,25,10,12
2011-05,8,41,28,11,11
2011-06,8,38,23,11,10
2011-07,7,42,24,10,11
2011-08,6,41,26,10,18
2011-09,9,46,32,12,11
2011-10,11,43,36,11,11
2011-11,10,42,33,11,12
2011-12,8,45,27,11,10
2012-01,8,51,26,10,11
2012-02,10,53,26,9,12
2012-03,11,51,26,12,13
2012-04,9,53,26,10,14
2012-05,9,47,23,12,13
2012-06,7,41,21,12,11
2012-07,9,47,17,11,11
2012-08,8,48,21,13,13
2012-09,9,51,25,10,13
2012-10,10,49,26,11,13
2012-11,9,47,26,12,11
2012-12,9,48,20,10,12
2013-01,9,52,24,11,11
2013-02,11,52,25,12,14
2013-03,11,53,27,10,12
2013-04,12,49,28,12,14
2013-05,10,51,24,11,13
2013-06,9,48,19,11,11
2013-07,9,49,21,11,12
2013-08,9,51,21,11,13
2013-09,10,53,25,12,14
2013-10,10,53,29,12,13
2013-11,12,50,27,13,13
2013-12,9,45,23,11,11
2014-01,9,54,22,10,13
2014-02,11,56,26,11,14
2014-03,11,52,28,12,14
2014-04,14,57,25,13,14
2014-05,11,51,26,12,15
2014-06,10,52,20,11,15
2014-07,12,56,19,12,14
2014-08,10,57,22,13,13
2014-09,13,55,26,11,16
2014-10,13,62,27,13,15
2014-11,13,58,27,12,23
2014-12,12,52,25,11,17
2015-01,11,55,23,11,14
2015-02,13,58,30,12,15
2015-03,14,62,25,13,16
2015-04,16,66,27,13,16
2015-05,14,57,25,14,17
2015-06,12,61,23,14,17
2015-07,12,65,20,13,15
2015-08,11,64,21,10,15
2015-09,12,62,24,13,15
2015-10,15,67,27,14,16
2015-11,16,65,27,12,32
2015-12,14,66,24,10,15
2016-01,12,64,21,11,14
2016-02,13,69,25,13,18
2016-03,12,67,24,13,15
2016-04,14,71,25,13,18
2016-05,13,67,25,12,16
2016-06,13,61,20,13,16
2016-07,12,63,19,11,15
2016-08,11,65,21,11,15
2016-09,13,73,25,12,16
2016-10,16,73,28,13,17
2016-11,14,70,25,12,15
2016-12,15,65,23,12,16
2017-01,12,72,24,11,17
2017-02,13,75,29,14,19
2017-03,14,72,27,12,18
2017-04,14,71,27,12,21
2017-05,15,74,30,13,18
2017-06,12,67,20,11,17
2017-07,12,70,21,13,17
2017-08,11,71,20,11,17
2017-09,13,73,24,11,17
2017-10,14,80,28,12,19
2017-11,14,76,27,11,21
2017-12,13,69,22,11,19
2018-01,13,71,24,12,19
2018-02,14,87,28,12,19
2018-03,14,78,28,11,19
2018-04,15,81,29,13,19
2018-05,14,77,24,13,18
2018-06,13,83,22,12,18
2018-07,13,94,19,12,18
2018-08,12,81,21,11,20
2018-09,14,85,26,13,20
2018-10,15,87,31,13,20
2018-11,16,92,28,12,19
2018-12,13,77,26,12,18
2019-01,15,85,27,12,20
2019-02,15,84,27,13,21
2019-03,16,82,30,14,19
2019-04,18,86,29,11,20
2019-05,15,81,29,14,21
2019-06,17,81,23,12,20
2019-07,13,80,22,13,21
2019-08,13,83,25,12,20
2019-09,14,85,30,12,21
2019-10,15,85,34,12,23
2019-11,16,84,30,11,20
2019-12,14,84,28,11,20
2020-01,15,78,31,12,23
2020-02,18,87,33,12,25
2020-03,15,78,27,12,20
2020-04,16,77,23,13,18
2020-05,14,70,24,14,20
2020-06,15,83,26,15,22
2020-07,14,84,25,13,21
2020-08,14,88,27,14,24
2020-09,15,87,32,14,28
2020-10,15,88,34,13,22
2020-11,14,80,29,12,21
2020-12,13,82,32,13,16
2021-01,15,84,32,12,18
