Category: All categories

Month,PTSD: (Massachusetts),Anxiety: (Massachusetts),ADHD: (Massachusetts),Aggressive: (Massachusetts),Dementia: (Massachusetts)
2004-01,0,41,18,9,10
2004-02,0,31,24,6,7
2004-03,8,35,24,0,0
2004-04,7,36,23,7,8
2004-05,7,32,18,9,0
2004-06,7,36,15,10,9
2004-07,0,33,19,8,7
2004-08,6,37,12,6,6
2004-09,0,39,20,6,7
2004-10,0,35,24,7,8
2004-11,7,40,24,5,12
2004-12,7,32,26,8,0
2005-01,0,36,20,7,8
2005-02,8,36,23,5,6
2005-03,5,44,19,7,10
2005-04,5,38,18,8,7
2005-05,8,37,21,5,5
2005-06,6,35,18,8,7
2005-07,0,37,14,6,6
2005-08,5,40,17,9,7
2005-09,7,36,18,6,10
2005-10,6,37,23,5,6
2005-11,7,37,21,6,7
2005-12,3,36,20,7,7
2006-01,4,36,17,6,6
2006-02,5,32,22,5,12
2006-03,5,36,21,5,6
2006-04,6,36,20,7,7
2006-05,5,37,15,7,8
2006-06,4,33,12,5,7
2006-07,3,37,15,7,7
2006-08,4,30,14,5,6
2006-09,3,32,18,6,8
2006-10,8,37,21,6,7
2006-11,5,35,23,7,9
2006-12,6,31,17,7,8
2007-01,3,37,17,4,5
2007-02,4,37,18,9,7
2007-03,6,38,16,7,6
2007-04,6,36,20,8,7
2007-05,9,35,20,9,7
2007-06,3,33,14,8,6
2007-07,6,33,14,5,6
2007-08,5,31,14,8,8
2007-09,6,39,20,6,5
2007-10,6,35,21,7,8
2007-11,6,36,21,6,8
2007-12,5,31,18,6,8
2008-01,4,36,17,5,7
2008-02,7,39,15,6,8
2008-03,8,35,18,7,10
2008-04,8,36,19,8,9
2008-05,7,33,21,8,10
2008-06,5,33,17,9,8
2008-07,5,37,15,8,11
2008-08,6,37,16,8,9
2008-09,7,35,18,8,8
2008-10,8,38,22,7,9
2008-11,8,38,22,7,9
2008-12,7,35,17,8,9
2009-01,6,37,17,10,8
2009-02,7,35,17,7,9
2009-03,8,36,21,10,8
2009-04,8,36,22,8,10
2009-05,6,37,17,9,8
2009-06,5,36,17,9,8
2009-07,5,39,15,10,9
2009-08,5,40,14,10,8
2009-09,6,44,18,9,10
2009-10,7,40,23,10,10
2009-11,9,38,20,10,10
2009-12,7,39,19,9,9
2010-01,6,41,19,7,8
2010-02,6,41,21,11,9
2010-03,8,42,25,9,8
2010-04,8,43,24,10,8
2010-05,8,37,20,9,9
2010-06,6,39,16,10,8
2010-07,8,37,16,9,10
2010-08,5,37,15,8,11
2010-09,6,38,19,8,9
2010-10,9,40,21,8,9
2010-11,9,39,21,8,11
2010-12,8,36,19,8,9
2011-01,7,42,17,7,10
2011-02,7,43,22,9,10
2011-03,9,46,24,9,11
2011-04,10,46,23,9,10
2011-05,10,43,22,10,9
2011-06,8,39,17,9,9
2011-07,7,45,17,9,10
2011-08,7,44,20,10,15
2011-09,7,43,24,9,9
2011-10,8,45,29,9,11
2011-11,10,47,25,10,10
2011-12,9,43,21,8,10
2012-01,9,54,23,9,11
2012-02,8,53,22,9,10
2012-03,11,52,24,10,11
2012-04,11,52,21,10,12
2012-05,10,50,19,9,11
2012-06,9,47,17,9,9
2012-07,9,51,16,9,10
2012-08,7,51,17,10,10
2012-09,7,53,18,10,11
2012-10,9,55,22,9,10
2012-11,9,50,22,9,10
2012-12,10,49,19,9,8
2013-01,8,59,20,10,11
2013-02,10,54,22,9,10
2013-03,9,55,23,10,11
2013-04,13,57,24,10,11
2013-05,12,54,24,9,10
2013-06,9,51,18,9,11
2013-07,8,56,16,9,12
2013-08,9,55,16,9,10
2013-09,9,56,21,9,11
2013-10,10,54,24,9,11
2013-11,11,57,23,10,12
2013-12,10,53,22,9,12
2014-01,9,58,21,9,11
2014-02,11,57,22,10,12
2014-03,12,60,25,10,12
2014-04,12,66,23,10,12
2014-05,12,58,20,10,14
2014-06,10,52,18,9,14
2014-07,10,56,16,11,12
2014-08,8,56,17,10,13
2014-09,11,61,20,10,12
2014-10,11,60,24,10,13
2014-11,13,59,24,11,20
2014-12,10,58,20,10,12
2015-01,11,58,20,9,12
2015-02,12,60,19,10,13
2015-03,15,74,25,11,14
2015-04,13,64,23,12,14
2015-05,13,57,19,10,13
2015-06,13,61,18,10,14
2015-07,13,65,17,10,14
2015-08,10,66,17,9,14
2015-09,10,69,20,10,13
2015-10,14,64,25,10,14
2015-11,14,65,23,10,27
2015-12,15,67,21,9,14
2016-01,11,64,22,9,14
2016-02,12,64,23,9,18
2016-03,13,68,24,10,16
2016-04,14,69,24,10,15
2016-05,13,66,22,11,17
2016-06,12,66,19,11,16
2016-07,11,62,15,10,14
2016-08,9,63,17,9,15
2016-09,13,67,22,10,14
2016-10,15,70,23,9,16
2016-11,12,72,24,10,15
2016-12,13,62,21,9,14
2017-01,13,73,23,10,14
2017-02,13,71,22,10,18
2017-03,13,73,25,10,17
2017-04,14,73,26,11,18
2017-05,14,69,25,9,17
2017-06,11,64,19,9,16
2017-07,11,74,19,10,16
2017-08,10,72,18,9,16
2017-09,11,69,21,9,15
2017-10,13,69,24,10,15
2017-11,14,79,24,10,20
2017-12,12,74,24,10,18
2018-01,12,74,22,10,17
2018-02,13,77,25,11,16
2018-03,14,77,25,11,18
2018-04,14,76,24,11,19
2018-05,14,75,23,11,18
2018-06,12,72,21,10,17
2018-07,11,76,18,11,19
2018-08,11,80,19,11,18
2018-09,11,82,22,10,20
2018-10,15,71,25,10,18
2018-11,15,78,27,10,18
2018-12,13,81,23,10,18
2019-01,12,80,25,10,19
2019-02,14,82,24,10,19
2019-03,14,81,29,11,20
2019-04,16,82,27,11,21
2019-05,14,74,24,10,35
2019-06,15,72,22,10,22
2019-07,12,74,20,11,22
2019-08,12,72,22,10,20
2019-09,14,76,25,9,22
2019-10,14,86,31,10,20
2019-11,17,79,29,10,22
2019-12,12,73,25,9,21
2020-01,13,83,28,10,23
2020-02,17,75,28,10,23
2020-03,14,79,22,9,19
2020-04,13,79,22,11,18
2020-05,12,68,23,11,17
2020-06,12,77,24,11,21
2020-07,13,85,24,11,21
2020-08,11,79,25,11,23
2020-09,12,82,30,11,30
2020-10,13,82,33,12,23
2020-11,12,73,28,11,21
2020-12,12,72,29,11,19
2021-01,12,77,30,11,19
2021-02,14,84,35,11,20
2021-03,13,86,38,12,21
2021-04,13,82,37,12,24
2021-05,14,77,35,11,22
2021-06,14,75,34,12,23
2021-07,13,79,34,12,22
2021-08,12,91,35,11,22
2021-09,12,86,39,11,22
2021-10,14,82,42,10,22
2021-11,14,79,41,11,22
2021-12,13,74,39,11,22
2022-01,13,79,43,11,22
2022-02,14,84,47,11,23
2022-03,16,99,47,12,26
2022-04,15,90,47,12,25
2022-05,15,80,46,11,24
2022-06,13,70,44,10,23
2022-07,13,75,40,12,25
2022-08,11,83,43,11,27
2022-09,12,78,44,11,25
2022-10,15,82,49,12,25
2022-11,15,75,54,12,24
2022-12,13,72,50,11,24
2023-01,15,81,50,10,25
2023-02,14,86,57,11,40
2023-03,16,95,56,11,30
2023-04,15,86,56,12,27
2023-05,14,75,54,12,28
2023-06,13,73,49,12,28
2023-07,12,74,46,11,27
2023-08,12,75,52,11,29
2023-09,13,83,48,11,26
2023-10,14,81,63,12,27
2023-11,14,76,53,11,28
2023-12,13,69,54,11,28
2024-01,14,79,54,12,29
2024-02,13,86,57,12,37
2024-03,14,82,54,11,29
2024-04,15,77,54,12,28
2024-05,13,75,55,12,27
2024-06,12,74,52,12,28
2024-07,12,76,49,10,30
2024-08,13,79,52,11,31
2024-09,12,74,56,11,27
2024-10,14,85,61,11,28
2024-11,14,74,57,10,28
2024-12,13,77,52,11,31
2025-01,13,79,59,10,31
2025-02,15,81,65,12,29
2025-03,14,100,63,12,31
