Category: All categories

Month,PTSD: (Michigan),Anxiety: (Michigan),ADHD: (Michigan),Aggressive: (Michigan),Dementia: (Michigan)
2004-01,0,32,19,9,0
2004-02,0,26,20,8,0
2004-03,0,37,24,13,9
2004-04,0,39,23,9,0
2004-05,0,31,24,9,0
2004-06,0,33,13,9,8
2004-07,0,33,19,11,11
2004-08,0,38,13,7,8
2004-09,0,35,20,0,10
2004-10,0,38,23,7,15
2004-11,0,39,32,8,9
2004-12,0,31,21,8,6
2005-01,0,35,15,6,6
2005-02,0,30,19,7,8
2005-03,0,33,21,8,8
2005-04,7,41,28,12,12
2005-05,0,39,18,8,5
2005-06,0,32,18,11,8
2005-07,0,30,14,9,6
2005-08,0,36,15,9,6
2005-09,0,34,21,9,0
2005-10,4,30,23,7,8
2005-11,7,33,21,10,9
2005-12,0,28,21,8,9
2006-01,0,32,15,8,8
2006-02,4,37,18,8,7
2006-03,3,37,22,7,12
2006-04,3,37,19,10,9
2006-05,4,28,16,10,6
2006-06,0,25,12,8,9
2006-07,0,29,12,8,9
2006-08,0,22,14,9,8
2006-09,0,34,18,7,7
2006-10,3,30,23,5,8
2006-11,5,32,21,6,10
2006-12,4,25,17,8,7
2007-01,4,27,18,9,11
2007-02,0,30,20,7,7
2007-03,5,32,20,7,7
2007-04,5,31,18,9,8
2007-05,4,33,19,8,7
2007-06,3,25,13,6,7
2007-07,5,29,14,10,8
2007-08,3,34,13,10,6
2007-09,4,35,21,8,9
2007-10,4,33,24,8,8
2007-11,5,33,23,8,7
2007-12,3,29,16,7,6
2008-01,3,33,18,7,7
2008-02,3,31,20,7,7
2008-03,4,33,20,9,9
2008-04,4,30,21,10,11
2008-05,2,35,18,9,9
2008-06,3,34,13,9,6
2008-07,5,36,15,13,11
2008-08,0,30,12,11,7
2008-09,4,34,21,8,8
2008-10,5,36,26,8,10
2008-11,5,34,23,10,8
2008-12,4,29,18,10,7
2009-01,4,35,17,9,8
2009-02,5,37,21,13,10
2009-03,6,37,20,10,9
2009-04,7,33,21,9,10
2009-05,5,31,16,9,9
2009-06,5,33,15,9,8
2009-07,5,34,16,9,9
2009-08,4,37,15,11,8
2009-09,2,39,20,8,9
2009-10,6,39,23,9,9
2009-11,6,36,23,10,10
2009-12,7,35,18,9,10
2010-01,5,40,20,10,9
2010-02,5,40,22,8,11
2010-03,6,40,25,10,11
2010-04,6,39,24,11,11
2010-05,6,40,24,8,11
2010-06,6,39,19,10,8
2010-07,7,37,17,10,11
2010-08,6,41,16,9,10
2010-09,6,40,20,10,10
2010-10,6,38,24,9,13
2010-11,9,41,26,10,18
2010-12,5,35,19,9,11
2011-01,5,40,17,10,11
2011-02,7,39,20,10,11
2011-03,8,40,23,9,13
2011-04,7,43,23,9,10
2011-05,6,40,20,9,11
2011-06,6,38,17,9,13
2011-07,6,39,18,11,9
2011-08,5,40,22,10,15
2011-09,6,42,25,9,11
2011-10,6,42,29,9,12
2011-11,7,45,30,10,11
2011-12,5,38,23,9,10
2012-01,6,46,23,9,12
2012-02,7,49,21,9,11
2012-03,9,44,20,10,10
2012-04,8,43,19,10,13
2012-05,7,41,17,9,11
2012-06,5,41,15,8,9
2012-07,6,42,15,10,10
2012-08,5,43,14,10,11
2012-09,6,48,18,9,11
2012-10,8,49,21,10,13
2012-11,8,48,20,9,11
2012-12,8,45,18,10,10
2013-01,6,44,17,9,9
2013-02,9,50,22,10,13
2013-03,9,51,23,10,12
2013-04,9,53,22,11,14
2013-05,8,50,19,11,11
2013-06,7,48,16,11,11
2013-07,7,45,15,9,11
2013-08,6,48,16,10,11
2013-09,8,53,19,10,13
2013-10,9,53,23,11,13
2013-11,10,50,21,11,12
2013-12,7,47,18,10,12
2014-01,7,52,18,10,12
2014-02,8,53,20,10,12
2014-03,10,53,22,11,12
2014-04,11,54,23,10,12
2014-05,8,52,18,11,13
2014-06,8,50,17,10,13
2014-07,8,52,15,11,12
2014-08,7,54,15,10,11
2014-09,9,56,20,10,12
2014-10,10,56,25,12,14
2014-11,10,54,21,10,19
2014-12,10,55,18,10,13
2015-01,11,60,19,10,15
2015-02,11,58,21,12,15
2015-03,11,63,21,12,14
2015-04,13,61,21,12,15
2015-05,11,56,18,12,15
2015-06,11,57,15,10,14
2015-07,10,58,15,12,13
2015-08,9,61,15,12,13
2015-09,10,64,18,10,13
2015-10,11,63,22,12,13
2015-11,12,61,20,11,25
2015-12,11,63,20,10,14
2016-01,10,62,18,11,13
2016-02,9,66,20,12,17
2016-03,11,68,19,12,15
2016-04,12,69,20,12,17
2016-05,10,63,19,12,15
2016-06,10,59,15,10,14
2016-07,9,59,14,10,15
2016-08,9,59,17,10,15
2016-09,10,67,20,12,14
2016-10,13,66,23,10,14
2016-11,11,66,20,11,16
2016-12,12,66,17,11,14
2017-01,11,80,20,10,15
2017-02,11,66,23,12,18
2017-03,11,71,24,11,17
2017-04,12,72,24,10,19
2017-05,12,69,24,11,16
2017-06,10,59,18,10,16
2017-07,10,65,17,12,18
2017-08,9,68,17,10,16
2017-09,9,71,19,11,16
2017-10,11,75,24,11,17
