Category: All categories

Month,PTSD: (Minnesota),Anxiety: (Minnesota),ADHD: (Minnesota),Aggressive: (Minnesota),Dementia: (Minnesota)
2004-01,0,34,16,0,0
2004-02,0,38,26,0,0
2004-03,0,46,21,0,0
2004-04,0,38,25,10,0
2004-05,0,38,21,10,0
2004-06,0,37,19,11,0
2004-07,0,35,15,0,0
2004-08,0,38,11,0,13
2004-09,0,41,26,0,0
2004-10,0,36,27,0,9
2004-11,0,40,32,0,12
2004-12,0,30,24,0,0
2005-01,0,35,25,0,7
2005-02,0,36,31,7,0
2005-03,0,39,30,7,10
2005-04,0,48,19,9,12
2005-05,0,36,23,0,8
2005-06,0,33,14,9,9
2005-07,0,34,20,11,0
2005-08,0,27,14,9,6
2005-09,0,39,17,8,9
2005-10,6,36,23,0,9
2005-11,7,40,22,6,10
2005-12,0,33,23,6,6
2006-01,0,46,22,6,7
2006-02,0,34,23,11,6
2006-03,4,41,27,7,9
2006-04,0,33,21,12,10
2006-05,5,34,16,5,6
2006-06,0,32,16,8,9
2006-07,0,33,10,11,8
2006-08,0,33,12,8,11
2006-09,5,34,25,6,7
2006-10,0,36,21,7,9
2006-11,4,37,20,6,9
2006-12,5,37,17,5,8
2007-01,5,33,15,7,8
2007-02,4,35,17,7,9
2007-03,6,39,20,10,7
2007-04,5,37,22,8,9
2007-05,3,33,24,8,7
2007-06,3,35,14,6,8
2007-07,5,36,13,9,7
2007-08,5,30,14,4,6
2007-09,3,39,22,7,9
2007-10,5,38,26,7,7
2007-11,5,33,23,7,7
2007-12,6,27,16,6,8
2008-01,4,36,20,8,5
2008-02,4,38,19,8,7
2008-03,6,35,19,8,10
2008-04,6,33,19,8,9
2008-05,6,37,18,11,11
2008-06,4,36,14,9,9
2008-07,5,30,15,9,10
2008-08,5,34,15,6,7
2008-09,4,38,19,11,7
2008-10,7,39,22,9,9
2008-11,6,36,26,7,10
2008-12,6,33,19,10,9
2009-01,5,38,18,7,9
2009-02,7,40,23,7,9
2009-03,4,38,21,9,9
2009-04,7,41,22,9,9
2009-05,4,39,19,9,11
2009-06,6,34,16,11,9
2009-07,5,41,14,10,10
2009-08,3,37,15,9,10
2009-09,6,45,24,8,11
2009-10,7,43,25,9,10
2009-11,7,46,24,7,11
2009-12,7,37,19,9,10
2010-01,7,43,23,11,9
2010-02,8,47,24,9,10
2010-03,5,47,28,13,9
2010-04,8,45,28,11,12
2010-05,7,41,28,10,14
2010-06,7,39,18,8,12
2010-07,7,35,15,11,9
2010-08,7,40,17,10,10
2010-09,7,40,22,8,10
2010-10,8,41,27,8,12
2010-11,10,42,24,7,14
2010-12,7,39,19,9,10
2011-01,7,40,19,10,8
2011-02,8,40,24,7,11
2011-03,8,45,27,9,9
2011-04,6,42,21,8,9
2011-05,6,42,22,9,8
2011-06,7,36,16,10,9
2011-07,6,37,17,8,10
2011-08,5,37,18,9,13
2011-09,7,44,22,9,10
2011-10,7,45,26,7,10
2011-11,8,45,29,9,11
2011-12,8,45,25,8,9
2012-01,9,47,24,10,11
2012-02,8,49,25,10,12
2012-03,9,47,23,10,10
2012-04,8,46,22,9,13
2012-05,8,44,19,9,10
2012-06,6,41,16,9,10
2012-07,8,46,15,9,9
2012-08,7,44,17,10,10
2012-09,7,49,21,9,12
2012-10,11,51,25,9,10
2012-11,9,49,23,10,11
2012-12,9,45,20,7,10
2013-01,8,53,22,9,12
2013-02,11,54,23,9,11
2013-03,8,51,22,9,11
2013-04,10,51,24,10,12
2013-05,9,51,19,9,11
2013-06,8,48,16,10,11
2013-07,8,48,16,10,12
2013-08,6,50,16,10,13
2013-09,8,51,21,10,11
2013-10,10,56,21,10,11
2013-11,9,52,22,9,13
2013-12,8,49,20,8,12
2014-01,9,57,18,9,13
2014-02,9,54,22,10,12
2014-03,10,58,22,9,12
2014-04,11,57,23,10,13
2014-05,10,56,21,11,13
2014-06,9,49,17,11,13
2014-07,9,52,17,10,14
2014-08,7,55,16,10,13
2014-09,10,57,20,11,13
2014-10,11,62,23,11,14
2014-11,11,56,23,11,21
2014-12,8,55,20,10,14
2015-01,11,61,20,10,15
2015-02,12,64,23,10,15
2015-03,11,63,21,11,15
2015-04,12,63,22,11,16
2015-05,13,59,20,11,14
2015-06,9,58,16,11,13
2015-07,11,57,17,10,15
2015-08,8,61,18,10,16
2015-09,10,70,23,10,17
2015-10,12,66,24,12,16
2015-11,13,67,22,9,28
2015-12,11,63,23,9,16
2016-01,11,70,22,10,14
2016-02,13,74,23,11,19
2016-03,12,73,25,11,16
2016-04,14,75,22,10,16
2016-05,13,67,22,11,18
2016-06,11,67,17,11,17
2016-07,12,68,17,11,15
2016-08,9,66,18,10,16
2016-09,11,73,22,11,15
2016-10,15,75,22,12,17
2016-11,14,71,24,11,16
2016-12,15,68,21,10,16
2017-01,12,72,22,11,16
2017-02,14,78,26,10,17
2017-03,12,78,26,11,17
2017-04,15,83,24,11,20
2017-05,14,77,25,12,18
2017-06,11,72,19,11,17
2017-07,12,74,20,12,18
2017-08,12,74,18,10,18
2017-09,12,73,22,11,16
2017-10,15,81,22,11,18
2017-11,15,70,26,11,20
2017-12,14,79,20,12,20
2018-01,13,76,22,10,17
2018-02,14,81,25,11,18
2018-03,15,79,25,11,20
2018-04,14,81,26,12,18
2018-05,14,81,22,11,18
2018-06,13,79,19,11,19
2018-07,12,86,18,11,17
2018-08,11,85,19,12,19
2018-09,12,83,23,10,18
2018-10,16,85,27,12,19
2018-11,17,84,27,12,19
2018-12,13,83,23,12,17
2019-01,13,86,21,12,20
2019-02,16,86,27,12,19
2019-03,16,96,26,11,19
2019-04,17,86,26,12,20
2019-05,15,84,25,12,25
2019-06,16,77,21,12,21
2019-07,13,82,20,11,20
2019-08,12,82,22,12,21
2019-09,14,83,26,11,22
2019-10,17,85,33,11,22
2019-11,16,84,29,11,19
2019-12,14,75,25,11,20
2020-01,15,79,27,11,22
2020-02,18,88,31,12,21
2020-03,15,76,23,11,19
2020-04,14,73,23,11,17
2020-05,14,77,22,13,17
2020-06,14,75,24,12,22
2020-07,14,83,23,11,22
2020-08,13,79,26,12,23
2020-09,14,82,31,12,29
2020-10,14,81,32,12,23
2020-11,13,78,27,10,23
2020-12,15,84,31,12,21
2021-01,13,81,31,11,20
2021-02,14,87,38,12,22
2021-03,14,86,36,13,21
2021-04,13,86,34,12,23
2021-05,15,86,40,14,23
2021-06,16,76,35,13,22
2021-07,14,83,37,13,23
2021-08,13,80,40,12,21
2021-09,13,93,38,12,23
2021-10,14,86,43,11,24
2021-11,14,80,42,11,23
2021-12,14,79,35,11,23
2022-01,13,88,44,12,22
2022-02,15,94,54,13,23
2022-03,16,88,54,14,24
2022-04,16,88,54,13,25
2022-05,17,79,48,12,23
2022-06,14,76,43,15,25
2022-07,14,78,48,13,26
2022-08,15,80,50,14,26
2022-09,15,86,51,14,24
2022-10,16,87,56,13,25
2022-11,15,85,55,11,24
