Category: All categories

Month,PTSD: (Mississippi),Anxiety: (Mississippi),ADHD: (Mississippi),Aggressive: (Mississippi),Dementia: (Mississippi)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,57,0,0
2004-06,0,0,0,0,0
2004-07,0,0,63,0,0
2004-08,0,0,0,0,0
2004-09,0,63,55,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,70,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,56,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,59,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,41,0,0,0
2005-11,0,0,0,0,0
2005-12,0,38,0,0,0
2006-01,0,33,0,0,27
2006-02,0,42,0,0,0
2006-03,0,32,46,0,0
2006-04,0,0,33,0,0
2006-05,0,32,0,0,0
2006-06,0,42,0,0,0
2006-07,0,45,0,0,0
2006-08,0,43,0,0,0
2006-09,0,26,23,0,0
2006-10,0,33,33,0,0
2006-11,0,41,24,0,0
2006-12,0,25,0,0,0
2007-01,0,31,20,0,0
2007-02,0,27,31,0,0
2007-03,0,21,17,0,0
2007-04,0,29,18,0,0
2007-05,0,29,19,0,0
2007-06,0,33,0,0,0
2007-07,0,37,0,13,0
2007-08,0,27,18,12,0
2007-09,0,25,31,0,12
2007-10,0,36,26,11,11
2007-11,0,37,22,0,0
2007-12,0,27,15,0,0
2008-01,0,39,19,0,0
2008-02,0,32,29,0,0
2008-03,0,42,26,11,0
2008-04,0,37,22,10,11
2008-05,0,32,15,0,0
2008-06,0,37,11,0,0
2008-07,0,25,15,0,10
2008-08,0,30,23,0,0
2008-09,0,25,24,0,0
2008-10,0,37,33,0,0
2008-11,0,29,27,0,0
2008-12,0,22,12,0,0
2009-01,0,42,23,0,10
2009-02,0,29,23,9,0
2009-03,0,24,17,0,8
2009-04,0,38,24,0,10
2009-05,0,37,22,0,0
2009-06,0,28,11,0,9
2009-07,0,31,20,0,0
2009-08,0,32,15,11,0
2009-09,0,35,18,9,8
2009-10,0,40,28,8,9
2009-11,0,23,20,11,0
2009-12,0,24,16,10,0
2010-01,0,32,17,9,9
2010-02,11,48,16,10,10
2010-03,0,32,31,11,13
2010-04,11,28,31,7,9
2010-05,0,33,16,0,10
2010-06,0,35,18,0,0
2010-07,0,30,12,0,0
2010-08,0,30,28,7,7
2010-09,7,36,21,11,10
2010-10,13,33,27,11,9
2010-11,8,34,28,10,8
2010-12,0,32,15,8,0
2011-01,5,40,25,8,12
2011-02,8,36,25,9,13
2011-03,10,40,28,7,8
2011-04,7,39,30,7,12
2011-05,4,37,28,7,7
2011-06,5,45,24,4,8
2011-07,6,34,21,7,10
2011-08,6,46,28,8,21
2011-09,6,48,30,6,11
2011-10,5,43,37,11,13
2011-11,9,42,31,10,9
2011-12,3,38,22,6,10
2012-01,7,46,31,7,11
2012-02,7,51,23,6,9
2012-03,6,48,29,9,11
2012-04,9,42,28,9,12
2012-05,6,44,25,6,14
2012-06,7,42,20,7,9
2012-07,9,40,20,10,9
2012-08,7,41,27,9,12
2012-09,6,45,30,12,10
2012-10,10,47,28,6,14
2012-11,8,53,26,8,12
2012-12,6,42,23,9,8
2013-01,5,48,22,7,12
2013-02,10,52,27,9,14
2013-03,9,48,24,9,12
2013-04,12,55,30,9,12
2013-05,9,46,20,8,12
2013-06,6,48,20,6,12
2013-07,6,50,21,6,10
2013-08,8,49,21,10,11
2013-09,12,49,28,10,14
2013-10,7,46,26,7,10
2013-11,10,44,21,9,9
2013-12,8,39,17,9,9
2014-01,6,49,22,9,12
2014-02,10,48,25,10,10
2014-03,10,49,25,10,11
2014-04,11,49,25,11,12
2014-05,8,46,22,12,14
2014-06,6,48,19,9,16
2014-07,8,52,19,9,12
2014-08,9,55,26,12,10
2014-09,11,56,29,10,10
2014-10,13,57,32,11,12
2014-11,14,54,29,10,21
2014-12,8,47,21,9,16
2015-01,9,54,23,10,12
2015-02,11,53,27,12,13
2015-03,9,61,28,10,15
2015-04,11,57,24,13,14
2015-05,10,48,21,4,11
2015-06,12,57,20,12,16
2015-07,8,59,21,10,14
2015-08,9,61,24,11,13
2015-09,14,68,32,11,16
2015-10,15,68,31,13,11
2015-11,11,61,24,10,22
2015-12,10,57,21,12,11
2016-01,9,60,23,12,12
2016-02,11,60,26,13,16
2016-03,9,67,22,10,17
2016-04,11,67,25,13,16
2016-05,10,62,20,13,16
2016-06,12,61,18,11,18
2016-07,9,62,21,10,14
2016-08,9,60,25,9,14
2016-09,12,72,28,11,15
2016-10,12,70,28,11,13
2016-11,12,60,24,12,15
2016-12,11,60,21,10,13
2017-01,10,65,25,11,14
2017-02,10,64,26,11,19
2017-03,10,65,31,13,20
2017-04,13,73,29,12,20
2017-05,11,64,28,10,18
2017-06,10,70,20,11,17
2017-07,13,66,24,11,13
2017-08,11,62,26,11,15
2017-09,10,65,28,12,16
2017-10,11,74,29,11,17
2017-11,11,70,28,12,19
2017-12,9,61,20,10,17
2018-01,9,65,22,9,20
2018-02,10,76,29,13,18
2018-03,13,72,25,13,18
2018-04,12,77,26,10,20
2018-05,10,67,20,12,17
2018-06,12,67,20,13,20
2018-07,12,79,21,11,21
2018-08,11,77,30,11,18
2018-09,12,79,29,13,17
2018-10,12,83,29,11,20
2018-11,14,77,25,10,16
2018-12,10,68,20,10,17
2019-01,11,79,23,13,18
2019-02,11,80,27,9,19
2019-03,12,80,26,10,21
2019-04,14,73,28,13,20
2019-05,12,68,23,10,21
2019-06,14,79,20,10,22
2019-07,11,75,22,11,20
2019-08,13,78,28,10,20
2019-09,14,78,31,11,22
2019-10,12,80,32,10,21
2019-11,15,77,28,12,17
2019-12,13,68,19,10,20
2020-01,13,69,26,10,24
2020-02,16,77,30,11,23
2020-03,14,72,20,10,22
2020-04,12,71,19,13,14
2020-05,13,67,19,10,15
2020-06,13,72,26,12,19
2020-07,13,78,19,11,18
2020-08,10,73,24,11,20
2020-09,14,82,26,11,25
2020-10,13,80,30,14,19
2020-11,15,79,23,12,21
2020-12,13,76,22,12,18
2021-01,13,75,26,10,17
2021-02,12,80,31,12,19
2021-03,13,79,31,12,21
2021-04,16,76,31,13,22
2021-05,11,71,24,10,22
2021-06,13,73,25,11,19
2021-07,11,78,30,13,20
2021-08,11,83,30,10,16
2021-09,12,87,34,9,20
2021-10,15,83,38,13,23
2021-11,12,79,34,12,22
2021-12,12,75,29,10,21
2022-01,14,78,32,13,25
2022-02,15,93,40,14,19
2022-03,15,91,41,16,23
2022-04,18,91,41,16,24
2022-05,17,80,37,14,21
2022-06,16,76,35,14,25
2022-07,13,80,36,12,24
2022-08,13,85,42,13,24
2022-09,15,92,44,13,23
2022-10,15,88,45,14,22
2022-11,15,75,43,14,26
2022-12,13,73,38,12,23
2023-01,15,89,48,14,25
2023-02,16,85,46,17,33
2023-03,16,90,49,14,28
2023-04,17,91,52,16,29
2023-05,14,78,46,14,25
2023-06,15,80,43,12,29
2023-07,14,80,42,13,26
2023-08,12,86,47,13,26
2023-09,15,88,49,15,26
2023-10,14,91,52,14,27
2023-11,15,83,47,12,26
2023-12,12,71,40,13,28
2024-01,13,78,42,14,25
2024-02,16,82,50,15,35
2024-03,17,81,44,13,28
2024-04,14,84,51,16,27
2024-05,13,77,47,13,26
2024-06,14,85,45,15,30
2024-07,14,88,43,14,30
2024-08,15,82,53,16,28
2024-09,15,84,51,14,24
2024-10,14,90,53,15,27
2024-11,13,86,41,12,28
2024-12,14,81,47,13,29
2025-01,12,84,53,14,29
2025-02,13,89,56,15,30
2025-03,15,100,53,16,29
