Category: All categories

Month,PTSD: (Missouri),Anxiety: (Missouri),ADHD: (Missouri),Aggressive: (Missouri),Dementia: (Missouri)
2004-01,0,34,25,12,0
2004-02,0,31,28,14,16
2004-03,0,32,21,18,0
2004-04,0,43,32,0,0
2004-05,11,30,18,0,10
2004-06,0,20,21,0,11
2004-07,0,31,17,0,0
2004-08,0,35,17,13,0
2004-09,0,40,25,0,8
2004-10,0,34,20,0,0
2004-11,0,34,22,12,0
2004-12,0,25,19,0,11
2005-01,8,31,22,0,10
2005-02,0,31,23,9,0
2005-03,0,32,22,8,7
2005-04,0,30,19,7,0
2005-05,0,31,19,7,10
2005-06,10,26,19,10,0
2005-07,0,37,17,0,11
2005-08,0,41,15,6,8
2005-09,6,36,26,8,11
2005-10,0,30,21,10,10
2005-11,0,26,26,10,10
2005-12,6,31,19,5,12
2006-01,6,30,21,6,10
2006-02,0,34,24,5,11
2006-03,7,32,20,5,9
2006-04,5,30,22,5,7
2006-05,9,29,18,8,8
2006-06,4,34,14,6,7
2006-07,5,29,15,8,5
2006-08,0,33,14,6,7
2006-09,5,28,21,9,7
2006-10,7,30,23,6,8
2006-11,5,28,21,4,7
2006-12,6,28,18,6,7
2007-01,5,33,13,8,6
2007-02,5,30,18,6,9
2007-03,10,29,23,7,6
2007-04,5,34,20,6,8
2007-05,6,32,18,5,8
2007-06,7,31,13,9,8
2007-07,6,29,10,6,8
2007-08,6,30,15,6,8
2007-09,6,34,22,6,7
2007-10,8,33,25,8,9
2007-11,7,29,18,8,9
2007-12,6,27,18,6,7
2008-01,6,31,15,6,7
2008-02,5,35,17,7,11
2008-03,7,30,18,8,8
2008-04,6,33,23,7,8
2008-05,7,27,17,6,6
2008-06,6,29,16,8,10
2008-07,5,29,16,6,12
2008-08,6,31,18,8,9
2008-09,7,31,24,7,6
2008-10,8,30,24,8,6
2008-11,9,32,23,8,9
2008-12,8,30,18,8,8
2009-01,6,30,18,9,9
2009-02,7,32,21,8,11
2009-03,8,35,18,9,9
2009-04,9,35,21,10,10
2009-05,7,34,21,9,7
2009-06,8,39,14,8,9
2009-07,6,33,12,10,9
2009-08,7,35,15,7,10
2009-09,6,37,23,7,10
2009-10,10,37,21,9,10
2009-11,10,40,21,11,10
2009-12,6,32,20,8,11
2010-01,7,39,16,8,9
2010-02,10,40,22,9,10
2010-03,11,40,26,11,10
2010-04,10,40,23,8,11
2010-05,11,37,25,11,10
2010-06,10,36,16,8,10
2010-07,12,41,19,11,11
2010-08,9,40,22,7,8
2010-09,9,36,24,10,11
2010-10,10,38,24,8,13
2010-11,11,37,23,11,14
2010-12,8,34,22,8,12
2011-01,7,35,17,8,10
2011-02,6,35,20,8,10
2011-03,6,40,23,9,12
2011-04,8,39,25,9,10
2011-05,7,37,21,9,9
2011-06,5,36,17,10,9
2011-07,7,38,18,8,8
2011-08,6,38,21,9,16
2011-09,8,41,28,9,11
2011-10,8,39,31,8,11
2011-11,9,39,30,9,11
2011-12,6,38,25,8,10
2012-01,8,45,23,8,10
2012-02,8,48,22,9,9
2012-03,9,43,19,12,9
2012-04,8,41,21,10,11
2012-05,6,42,19,11,10
2012-06,7,45,16,9,9
2012-07,7,41,15,10,11
2012-08,7,46,18,10,8
2012-09,8,50,20,9,10
2012-10,9,49,23,10,11
2012-11,9,41,20,9,10
2012-12,8,41,19,9,8
2013-01,7,46,20,10,9
2013-02,10,44,22,10,11
2013-03,10,48,20,10,11
2013-04,9,48,22,11,11
2013-05,10,47,20,9,9
2013-06,8,45,14,9,11
2013-07,8,48,17,8,10
2013-08,8,47,18,9,10
2013-09,10,48,23,9,9
2013-10,10,50,24,10,11
2013-11,10,50,22,10,10
2013-12,7,43,18,10,10
2014-01,8,51,18,10,10
2014-02,9,49,25,9,11
2014-03,11,51,23,10,11
2014-04,13,51,25,10,10
2014-05,11,50,20,11,12
2014-06,9,47,16,11,14
2014-07,11,52,17,11,11
2014-08,8,55,18,10,11
2014-09,10,56,24,11,13
2014-10,13,55,23,10,10
