Category: All categories

Month,PTSD: (Montana),Anxiety: (Montana),ADHD: (Montana),Aggressive: (Montana),Dementia: (Montana)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,100,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,64,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,62,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,67,0,0
2005-10,0,45,0,0,0
2005-11,0,0,0,0,0
2005-12,0,41,43,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,48,0,0,0
2006-04,0,36,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,36,40,0,0
2006-10,0,46,0,0,0
2006-11,0,53,0,0,0
2006-12,0,46,0,0,0
2007-01,0,29,0,0,0
2007-02,0,40,0,0,0
2007-03,0,28,0,0,0
2007-04,0,28,0,0,0
2007-05,0,26,0,0,0
2007-06,0,0,0,0,0
2007-07,0,44,34,0,0
2007-08,0,43,0,0,0
2007-09,0,0,0,0,0
2007-10,0,33,0,0,0
2007-11,0,33,0,0,0
2007-12,0,46,0,0,0
2008-01,0,30,22,0,0
2008-02,0,25,22,0,0
2008-03,0,22,25,0,0
2008-04,0,26,22,0,0
2008-05,0,34,0,0,0
2008-06,0,27,0,0,0
2008-07,0,25,0,0,0
2008-08,0,24,0,0,0
2008-09,0,19,20,0,0
2008-10,0,21,22,0,0
2008-11,0,30,0,0,0
2008-12,0,26,20,0,0
2009-01,0,29,23,22,0
2009-02,0,34,0,0,0
2009-03,0,26,28,0,0
2009-04,0,35,24,0,0
2009-05,0,30,0,0,0
2009-06,0,35,0,0,0
2009-07,0,27,0,0,0
2009-08,0,0,0,23,0
2009-09,0,47,0,0,0
2009-10,0,40,26,0,0
2009-11,0,38,32,0,0
2009-12,0,38,20,0,0
2010-01,0,39,0,22,0
2010-02,0,48,0,0,0
2010-03,0,34,0,0,0
2010-04,0,43,27,0,17
2010-05,0,29,0,0,0
2010-06,0,26,0,0,0
2010-07,0,52,0,0,0
2010-08,0,32,0,0,0
2010-09,23,29,0,0,0
2010-10,22,35,21,0,0
2010-11,0,35,26,0,22
2010-12,0,24,26,0,0
2011-01,10,42,9,9,8
2011-02,12,37,19,0,13
2011-03,10,46,19,8,10
2011-04,16,37,26,14,9
2011-05,18,39,21,0,0
2011-06,0,38,15,0,12
2011-07,11,33,14,0,11
2011-08,11,36,21,13,13
2011-09,11,43,27,9,8
2011-10,17,51,22,14,13
2011-11,16,39,30,8,12
2011-12,8,38,17,8,0
2012-01,11,48,24,14,13
2012-02,10,38,20,14,14
2012-03,17,41,18,9,13
2012-04,7,39,22,8,15
2012-05,17,37,17,15,10
2012-06,9,41,14,20,14
2012-07,7,45,13,14,9
2012-08,0,44,14,14,9
2012-09,7,47,20,0,9
2012-10,15,42,16,8,14
2012-11,9,47,20,12,14
2012-12,0,42,24,11,12
2013-01,11,44,19,12,13
2013-02,13,49,18,11,11
2013-03,14,48,22,13,12
2013-04,15,45,31,15,14
2013-05,9,45,15,8,16
2013-06,12,50,14,10,9
2013-07,10,45,13,9,12
2013-08,13,46,12,14,12
2013-09,14,45,18,15,12
2013-10,15,56,26,12,13
2013-11,10,50,28,10,14
2013-12,9,50,14,7,8
2014-01,9,56,17,13,11
2014-02,13,51,23,0,8
2014-03,14,40,22,13,10
2014-04,13,65,21,9,15
2014-05,18,48,19,10,11
2014-06,12,48,15,11,18
2014-07,12,49,17,13,16
2014-08,10,50,21,10,11
2014-09,15,51,22,9,14
2014-10,15,60,22,12,10
2014-11,15,50,13,10,18
2014-12,17,48,23,9,12
2015-01,16,57,19,11,13
2015-02,13,76,17,9,12
2015-03,19,61,19,11,14
2015-04,16,58,22,11,17
2015-05,11,48,11,11,11
2015-06,16,62,13,10,14
2015-07,15,51,14,10,10
2015-08,10,59,16,18,16
2015-09,22,63,21,8,11
2015-10,17,71,24,19,14
2015-11,18,66,15,13,24
2015-12,10,62,18,9,14
2016-01,13,67,19,11,15
2016-02,16,60,25,12,18
2016-03,11,67,16,12,13
2016-04,14,69,25,17,12
2016-05,13,63,14,11,16
2016-06,15,69,11,13,11
2016-07,14,64,9,9,13
2016-08,16,60,15,10,15
2016-09,15,64,22,11,17
2016-10,20,77,20,11,14
2016-11,18,63,21,9,10
2016-12,15,67,18,10,14
2017-01,17,67,14,8,16
2017-02,15,67,19,13,15
2017-03,19,68,23,15,20
2017-04,17,77,22,12,16
2017-05,15,67,21,11,14
2017-06,15,63,13,11,14
2017-07,9,68,11,11,16
2017-08,13,70,15,10,17
2017-09,16,75,17,10,16
2017-10,14,73,18,11,21
2017-11,19,74,21,8,17
2017-12,15,71,17,11,15
2018-01,15,76,16,14,18
2018-02,16,75,20,13,16
2018-03,15,73,21,11,17
2018-04,14,77,19,11,21
2018-05,18,75,17,13,12
2018-06,13,73,18,12,15
2018-07,13,66,13,13,17
2018-08,12,69,15,11,18
2018-09,13,81,23,15,22
2018-10,17,81,21,13,25
2018-11,16,78,18,11,18
2018-12,15,77,22,11,16
2019-01,17,76,19,12,18
2019-02,12,74,19,12,17
2019-03,15,80,21,17,18
2019-04,16,79,19,12,21
2019-05,14,72,21,9,22
2019-06,18,79,19,12,20
2019-07,17,76,17,13,19
2019-08,13,70,20,13,19
2019-09,14,78,23,12,20
2019-10,16,76,24,11,24
2019-11,19,74,30,10,23
2019-12,17,70,23,7,22
2020-01,18,91,29,13,20
2020-02,20,81,24,11,19
2020-03,11,70,20,9,16
2020-04,16,69,20,14,14
2020-05,13,70,21,11,15
2020-06,15,67,21,12,25
2020-07,13,81,18,11,20
2020-08,13,75,25,12,23
2020-09,15,74,27,13,23
2020-10,13,81,28,11,18
2020-11,13,67,21,14,20
2020-12,15,83,27,9,21
2021-01,13,77,30,12,20
2021-02,14,81,40,11,21
2021-03,18,84,32,10,24
2021-04,18,82,41,15,31
2021-05,15,80,29,16,19
2021-06,16,75,31,16,22
2021-07,11,76,33,12,18
2021-08,14,78,35,14,18
2021-09,19,83,38,14,21
2021-10,14,82,52,12,20
2021-11,16,87,43,10,21
2021-12,15,80,38,9,20
2022-01,16,84,40,13,25
2022-02,15,88,42,15,23
2022-03,16,88,45,11,26
2022-04,18,79,57,16,26
2022-05,19,79,44,17,25
2022-06,13,77,41,13,22
2022-07,16,73,39,12,20
2022-08,13,75,44,17,25
2022-09,15,76,41,14,21
2022-10,17,74,49,11,26
2022-11,16,75,50,12,24
2022-12,14,76,48,13,24
2023-01,16,90,62,15,31
2023-02,16,93,61,16,40
2023-03,15,85,54,15,27
2023-04,18,81,64,14,25
2023-05,15,78,60,15,28
2023-06,13,68,52,12,27
2023-07,13,74,44,12,24
2023-08,14,74,52,10,25
2023-09,13,78,47,18,28
2023-10,16,81,58,13,27
2023-11,14,79,58,15,30
2023-12,11,75,51,13,29
2024-01,14,83,56,16,26
2024-02,15,76,59,16,32
2024-03,16,75,56,10,31
2024-04,18,78,58,11,30
2024-05,18,71,51,14,28
2024-06,14,72,51,18,25
2024-07,14,72,45,14,33
2024-08,16,68,54,16,31
2024-09,13,73,54,16,25
2024-10,14,78,68,17,27
2024-11,15,76,61,11,30
2024-12,13,75,56,12,24
2025-01,14,76,59,14,31
2025-02,20,80,58,14,31
2025-03,17,100,59,15,33
