Category: All categories

Month,PTSD: (Alabama),Anxiety: (Alabama),ADHD: (Alabama),Aggressive: (Alabama),Dementia: (Alabama)
2004-01,0,0,0,0,0
2004-02,0,35,0,0,0
2004-03,0,0,41,0,0
2004-04,0,27,25,0,0
2004-05,0,0,0,0,0
2004-06,0,28,26,0,0
2004-07,0,32,0,0,0
2004-08,0,34,25,0,0
2004-09,0,42,22,0,0
2004-10,0,45,39,0,0
2004-11,0,32,31,0,0
2004-12,0,26,37,0,0
2005-01,0,31,0,0,0
2005-02,0,32,22,0,0
2005-03,0,22,19,0,0
2005-04,0,30,41,0,0
2005-05,0,21,29,0,0
2005-06,0,38,22,0,0
2005-07,0,38,24,0,0
2005-08,0,34,19,0,0
2005-09,0,32,35,0,13
2005-10,0,33,21,0,0
2005-11,0,29,22,0,13
2005-12,0,29,17,0,25
2006-01,0,24,15,0,0
2006-02,0,26,29,0,12
2006-03,0,35,20,0,0
2006-04,0,29,23,0,0
2006-05,0,30,20,0,0
2006-06,0,28,16,0,0
2006-07,0,28,12,0,0
2006-08,0,33,9,0,0
2006-09,0,25,25,0,0
2006-10,0,25,19,0,0
2006-11,0,29,20,0,0
2006-12,0,16,0,0,15
2007-01,0,35,16,0,12
2007-02,0,25,18,8,9
2007-03,0,33,17,0,9
2007-04,0,25,22,0,13
2007-05,0,32,13,0,14
2007-06,0,37,12,9,7
2007-07,0,33,17,0,7
2007-08,0,31,25,7,6
2007-09,0,29,26,9,8
2007-10,0,35,22,0,9
2007-11,0,29,22,8,13
2007-12,0,27,11,0,8
2008-01,0,32,18,7,7
2008-02,0,27,23,0,7
2008-03,5,36,18,6,10
2008-04,5,36,27,0,11
2008-05,0,25,13,9,0
2008-06,6,26,17,7,7
2008-07,0,31,15,8,9
2008-08,0,30,27,7,7
2008-09,0,36,21,7,10
2008-10,0,31,28,6,6
2008-11,5,29,23,6,7
2008-12,0,24,17,8,9
2009-01,5,26,21,7,7
2009-02,0,27,24,8,10
2009-03,0,34,19,7,9
2009-04,7,30,24,6,9
2009-05,6,25,13,10,9
2009-06,7,35,13,9,12
2009-07,0,29,19,0,11
2009-08,6,41,23,5,9
2009-09,7,37,23,6,9
2009-10,5,44,25,6,10
2009-11,6,31,26,11,10
2009-12,8,30,17,8,11
2010-01,0,33,17,10,9
2010-02,0,37,22,8,11
2010-03,7,34,23,10,11
2010-04,6,35,33,9,15
2010-05,7,33,24,6,9
2010-06,7,42,17,6,9
2010-07,7,33,17,10,10
2010-08,5,35,24,7,10
2010-09,10,41,23,7,9
2010-10,10,41,28,11,11
2010-11,8,39,26,10,12
2010-12,0,31,16,7,10
2011-01,4,39,19,9,10
2011-02,7,37,24,9,12
2011-03,7,36,25,6,13
2011-04,9,37,20,7,14
2011-05,10,32,25,7,9
2011-06,7,41,17,5,12
2011-07,6,42,21,5,12
