Category: All categories

Month,PTSD: (Nebraska),Anxiety: (Nebraska),ADHD: (Nebraska),Aggressive: (Nebraska),Dementia: (Nebraska)
2004-01,0,41,40,0,0
2004-02,0,0,42,0,0
2004-03,0,0,0,0,0
2004-04,0,51,0,0,0
2004-05,0,47,0,0,0
2004-06,0,39,0,0,0
2004-07,0,38,0,0,0
2004-08,0,0,0,0,0
2004-09,0,49,0,0,0
2004-10,0,51,0,0,0
2004-11,0,45,37,0,0
2004-12,0,0,0,0,0
2005-01,0,35,0,0,0
2005-02,0,40,0,0,0
2005-03,0,29,32,0,0
2005-04,0,40,0,0,0
2005-05,0,32,0,28,0
2005-06,0,33,0,0,0
2005-07,0,37,0,0,0
2005-08,0,32,0,0,0
2005-09,0,38,22,0,0
2005-10,0,47,32,0,0
2005-11,0,51,0,0,0
2005-12,0,40,0,22,0
2006-01,0,38,19,0,0
2006-02,0,27,26,0,0
2006-03,0,31,26,0,0
2006-04,0,46,22,0,0
2006-05,0,21,18,0,0
2006-06,0,43,24,0,0
2006-07,0,29,0,0,0
2006-08,16,44,17,0,0
2006-09,0,39,20,0,0
2006-10,0,26,34,0,0
2006-11,0,38,22,0,18
2006-12,0,26,26,0,0
2007-01,0,38,16,0,0
2007-02,0,35,17,0,0
2007-03,0,27,22,19,0
2007-04,0,39,18,0,0
2007-05,0,28,29,0,0
2007-06,0,27,20,0,0
2007-07,0,29,15,0,0
2007-08,0,29,23,0,0
2007-09,0,42,25,0,0
2007-10,0,42,25,0,14
2007-11,0,34,23,0,0
2007-12,0,22,22,0,0
2008-01,0,37,27,0,0
2008-02,0,46,21,10,0
2008-03,0,38,19,0,10
2008-04,0,32,28,0,16
2008-05,0,27,22,0,0
2008-06,0,32,13,0,11
2008-07,0,31,20,0,12
2008-08,0,37,25,0,10
2008-09,0,40,26,0,0
2008-10,0,29,26,0,15
2008-11,0,32,23,0,11
2008-12,0,26,23,0,0
2009-01,0,33,14,0,15
2009-02,0,36,29,13,0
2009-03,0,32,23,0,11
2009-04,10,38,23,8,12
2009-05,0,34,19,0,16
2009-06,0,34,20,0,13
2009-07,0,37,14,11,17
2009-08,0,33,17,0,9
2009-09,0,43,20,0,10
2009-10,0,36,29,0,14
2009-11,0,38,22,10,12
2009-12,9,27,26,8,10
2010-01,0,38,24,8,12
2010-02,0,35,27,0,11
2010-03,0,35,37,9,10
2010-04,14,44,28,9,16
2010-05,0,39,28,11,10
2010-06,9,40,15,11,0
2010-07,0,36,23,11,13
2010-08,0,41,17,0,13
2010-09,10,42,26,9,15
2010-10,9,50,23,12,15
2010-11,0,40,19,0,19
2010-12,0,33,25,9,12
2011-01,7,37,19,6,12
2011-02,9,38,23,8,12
2011-03,11,41,26,11,11
2011-04,8,40,26,10,14
2011-05,0,44,21,9,14
2011-06,8,39,19,10,8
2011-07,8,38,18,8,11
2011-08,6,36,23,7,19
2011-09,9,45,29,9,11
2011-10,6,43,31,11,11
2011-11,11,41,28,8,12
2011-12,8,38,19,8,11
2012-01,8,54,27,8,10
2012-02,6,48,21,9,10
2012-03,10,52,23,9,11
2012-04,12,53,21,12,9
2012-05,10,45,18,11,12
2012-06,10,45,18,7,12
2012-07,11,43,17,10,12
2012-08,7,48,19,11,18
2012-09,11,55,29,10,12
2012-10,11,55,26,14,11
2012-11,12,49,21,10,12
2012-12,9,48,23,10,15
2013-01,12,59,24,11,11
2013-02,11,50,24,13,10
2013-03,10,51,25,10,14
2013-04,10,46,29,11,15
2013-05,7,46,22,11,10
2013-06,8,52,16,9,12
2013-07,9,46,16,11,13
2013-08,8,54,24,8,8
2013-09,10,54,22,12,14
2013-10,7,56,26,10,14
2013-11,10,49,21,11,11
2013-12,9,45,20,8,13
2014-01,9,55,21,8,13
2014-02,12,52,22,8,13
2014-03,11,55,27,12,12
2014-04,14,55,26,13,14
2014-05,13,47,21,8,14
2014-06,9,49,18,11,12
2014-07,9,56,22,13,17
2014-08,8,64,22,10,14
2014-09,8,53,28,12,11
2014-10,13,58,25,10,15
2014-11,12,54,25,10,22
2014-12,10,57,20,10,15
2015-01,14,58,22,11,14
2015-02,12,64,27,11,14
2015-03,11,64,20,11,17
2015-04,12,61,24,13,16
2015-05,10,59,20,11,14
2015-06,11,58,16,9,14
2015-07,11,65,20,12,13
2015-08,7,64,21,11,15
2015-09,11,66,25,9,14
2015-10,12,62,26,10,13
2015-11,17,64,21,9,26
2015-12,11,66,17,10,16
2016-01,10,67,21,10,11
2016-02,12,70,23,12,15
2016-03,15,69,21,9,14
2016-04,15,67,24,13,19
2016-05,13,65,18,11,16
2016-06,10,65,16,12,17
2016-07,10,62,16,11,17
2016-08,9,66,17,12,15
2016-09,13,71,23,12,14
2016-10,14,72,25,12,14
2016-11,12,63,22,10,14
2016-12,14,65,20,10,16
2017-01,12,76,18,11,15
2017-02,16,74,25,11,18
2017-03,14,74,23,13,20
2017-04,13,78,31,12,18
2017-05,13,75,27,11,18
2017-06,11,64,19,11,16
2017-07,14,72,18,10,16
2017-08,10,76,23,11,15
2017-09,11,75,22,10,15
2017-10,13,71,27,11,17
2017-11,14,77,26,12,21
2017-12,15,67,20,11,19
2018-01,12,80,21,9,20
2018-02,15,83,24,13,19
2018-03,17,83,24,12,21
2018-04,15,85,22,10,21
2018-05,15,69,20,12,17
2018-06,10,85,19,10,15
2018-07,13,88,21,11,19
2018-08,12,82,21,13,18
2018-09,13,81,23,11,15
2018-10,14,83,28,11,19
2018-11,16,83,25,11,22
2018-12,15,76,22,12,16
2019-01,13,85,21,13,17
2019-02,15,87,23,15,19
2019-03,15,84,24,13,14
2019-04,17,88,28,11,21
2019-05,14,78,24,11,23
2019-06,13,81,24,10,22
2019-07,11,85,19,12,19
2019-08,12,85,26,12,22
2019-09,14,86,27,12,19
2019-10,14,82,34,12,24
2019-11,16,86,28,12,22
2019-12,14,80,23,10,19
2020-01,13,89,27,12,22
2020-02,18,93,30,12,22
2020-03,16,80,22,10,18
2020-04,15,77,22,14,18
2020-05,14,80,19,11,18
2020-06,13,84,24,12,21
2020-07,13,92,23,14,22
2020-08,10,83,31,11,22
2020-09,16,91,32,12,29
2020-10,12,91,36,12,19
2020-11,13,87,28,13,24
2020-12,13,83,24,13,23
2021-01,11,89,32,14,22
2021-02,14,82,38,10,20
2021-03,14,87,37,14,21
2021-04,14,89,41,12,24
2021-05,14,76,38,13,22
2021-06,12,84,35,12,20
2021-07,12,80,36,12,19
2021-08,13,83,43,12,21
2021-09,13,86,43,9,24
2021-10,13,87,47,11,23
2021-11,14,90,44,10,22
2021-12,12,84,41,12,20
2022-01,13,79,45,11,21
2022-02,13,88,52,12,24
