Category: All categories

Month,PTSD: (Nevada),Anxiety: (Nevada),ADHD: (Nevada),Aggressive: (Nevada),Dementia: (Nevada)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,51,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,48,0,0
2004-12,0,0,37,0,0
2005-01,0,0,0,0,0
2005-02,0,38,0,0,0
2005-03,0,27,33,0,0
2005-04,0,41,0,0,0
2005-05,0,0,0,0,0
2005-06,0,43,0,0,0
2005-07,0,36,27,0,0
2005-08,0,25,24,0,0
2005-09,0,30,28,0,0
2005-10,0,33,0,0,0
2005-11,0,0,0,0,0
2005-12,0,40,0,0,0
2006-01,0,23,28,0,0
2006-02,0,32,0,0,0
2006-03,0,25,0,0,0
2006-04,0,34,28,0,20
2006-05,0,25,19,0,0
2006-06,0,23,0,0,0
2006-07,0,20,0,20,0
2006-08,0,28,15,0,0
2006-09,0,41,23,0,0
2006-10,0,25,22,0,0
2006-11,13,26,0,13,0
2006-12,0,19,16,0,0
2007-01,0,26,0,0,0
2007-02,0,29,0,0,0
2007-03,0,27,0,15,0
2007-04,11,24,13,0,0
2007-05,10,30,15,0,0
2007-06,0,26,10,11,0
2007-07,0,29,13,0,0
2007-08,14,38,14,0,0
2007-09,0,29,14,0,0
2007-10,0,34,12,0,0
2007-11,0,27,14,0,10
2007-12,0,29,13,9,12
2008-01,0,39,15,0,0
2008-02,0,31,30,0,10
2008-03,0,27,16,10,10
2008-04,0,30,18,0,0
2008-05,0,31,17,8,0
2008-06,0,40,14,9,0
2008-07,0,31,9,0,13
2008-08,0,30,11,0,0
2008-09,0,35,26,10,7
2008-10,0,33,13,10,9
2008-11,0,33,18,11,0
2008-12,0,32,10,8,0
2009-01,0,34,12,8,9
2009-02,0,39,18,0,9
2009-03,6,36,15,11,0
2009-04,7,34,15,7,0
2009-05,0,43,11,0,0
2009-06,7,34,11,6,0
2009-07,6,27,11,11,7
2009-08,0,40,15,10,8
2009-09,0,31,13,13,8
2009-10,8,34,18,9,10
2009-11,8,43,17,7,9
2009-12,7,38,20,10,10
2010-01,8,34,18,9,7
2010-02,8,39,22,8,12
2010-03,7,44,24,13,6
2010-04,8,44,18,13,9
2010-05,6,31,16,7,9
2010-06,10,32,18,9,10
2010-07,8,34,14,9,12
2010-08,0,38,16,8,7
2010-09,7,51,25,10,0
2010-10,7,39,21,6,11
2010-11,9,41,14,7,12
2010-12,0,35,20,8,6
2011-01,5,41,16,8,11
2011-02,6,40,18,11,8
2011-03,8,40,22,10,8
2011-04,7,37,18,11,8
2011-05,6,40,17,10,9
2011-06,9,38,15,10,10
2011-07,7,45,16,12,9
2011-08,8,45,25,10,15
2011-09,6,41,20,11,8
2011-10,8,43,31,11,10
2011-11,10,41,23,10,10
2011-12,8,44,18,11,8
2012-01,9,50,23,10,10
2012-02,12,46,17,9,13
2012-03,9,48,20,9,12
2012-04,8,46,19,8,9
2012-05,9,45,20,10,10
2012-06,8,48,18,12,8
2012-07,8,44,19,9,10
2012-08,7,46,16,11,11
2012-09,10,54,19,11,12
2012-10,11,52,20,9,12
2012-11,10,49,23,10,10
2012-12,9,47,20,12,9
2013-01,7,52,18,9,9
2013-02,9,45,18,9,9
2013-03,12,51,24,16,9
2013-04,10,55,20,9,11
2013-05,13,52,19,13,11
2013-06,8,53,16,10,10
2013-07,8,54,15,10,10
2013-08,10,59,15,8,10
2013-09,10,53,17,11,9
2013-10,9,51,24,11,9
2013-11,11,56,18,11,13
2013-12,10,55,17,14,10
2014-01,8,55,19,12,11
2014-02,8,55,20,13,10
2014-03,10,54,22,12,11
2014-04,12,58,21,12,11
2014-05,11,54,21,9,13
2014-06,11,51,18,13,14
2014-07,11,58,17,11,10
2014-08,12,60,14,12,10
2014-09,12,61,21,11,14
2014-10,13,59,21,10,12
2014-11,15,58,21,14,20
2014-12,14,54,20,13,12
2015-01,11,61,17,11,17
2015-02,13,59,19,16,11
2015-03,14,64,19,12,10
2015-04,13,62,17,15,12
2015-05,13,59,17,13,12
2015-06,13,66,16,11,15
2015-07,13,66,18,11,12
2015-08,11,68,15,12,12
2015-09,12,67,17,11,10
2015-10,13,64,20,12,13
2015-11,18,62,19,11,25
2015-12,14,62,18,12,13
2016-01,11,64,17,12,13
2016-02,12,66,17,13,14
2016-03,12,70,18,12,14
2016-04,14,62,18,11,15
2016-05,13,67,19,14,15
2016-06,13,61,16,15,15
2016-07,13,72,12,11,14
2016-08,13,63,16,12,14
2016-09,13,75,21,14,15
2016-10,16,71,19,12,14
2016-11,13,64,16,10,13
2016-12,19,65,18,12,13
2017-01,14,70,17,11,13
2017-02,13,74,20,12,18
2017-03,14,77,24,15,16
2017-04,17,76,22,11,15
2017-05,15,76,29,13,14
2017-06,14,68,16,12,13
2017-07,14,75,17,12,15
2017-08,12,75,20,12,14
2017-09,12,78,20,12,15
2017-10,15,73,20,11,14
2017-11,15,77,23,13,19
2017-12,12,69,18,12,18
2018-01,12,84,19,12,15
2018-02,15,82,24,12,15
2018-03,13,84,24,13,17
2018-04,16,87,22,15,15
2018-05,13,79,21,14,15
2018-06,16,81,17,13,17
2018-07,12,91,17,14,17
2018-08,13,88,20,16,15
2018-09,15,86,22,14,16
2018-10,17,88,22,11,16
2018-11,17,77,20,12,15
2018-12,14,83,19,13,15
2019-01,13,81,21,13,17
2019-02,13,91,24,13,18
2019-03,17,93,22,15,17
2019-04,20,85,23,14,19
2019-05,17,86,22,14,24
2019-06,18,80,26,12,22
2019-07,15,89,20,12,20
2019-08,15,89,23,13,19
2019-09,16,90,29,13,19
2019-10,19,84,26,13,20
2019-11,17,76,22,14,17
2019-12,15,79,22,13,20
2020-01,17,83,23,13,19
2020-02,18,87,26,15,22
2020-03,18,86,25,12,18
2020-04,18,93,24,15,17
2020-05,16,89,22,16,17
2020-06,17,92,23,15,26
2020-07,15,97,26,13,20
2020-08,15,96,28,13,20
2020-09,15,98,28,12,24
2020-10,18,95,30,14,23
2020-11,15,90,30,13,22
2020-12,15,92,30,14,20
2021-01,13,90,31,13,19
2021-02,18,96,32,13,24
2021-03,17,89,34,15,22
2021-04,18,98,37,15,26
2021-05,15,92,37,15,24
2021-06,16,89,35,13,21
2021-07,16,94,37,15,19
2021-08,13,95,37,13,20
2021-09,17,91,43,14,21
2021-10,16,91,41,13,25
2021-11,13,86,43,15,19
2021-12,14,84,40,14,18
2022-01,15,92,44,14,22
2022-02,16,96,44,17,22
2022-03,15,97,49,15,21
2022-04,16,98,48,17,23
2022-05,19,94,44,15,22
2022-06,16,89,42,16,24
2022-07,17,89,40,14,26
2022-08,13,91,50,15,25
2022-09,18,87,49,15,24
2022-10,17,85,49,14,26
2022-11,16,82,47,14,24
2022-12,14,87,49,15,24
2023-01,17,87,53,16,21
2023-02,17,99,58,15,38
2023-03,15,93,54,17,28
2023-04,16,88,57,16,29
2023-05,16,87,59,17,27
2023-06,15,82,49,15,27
2023-07,14,86,46,13,27
2023-08,13,84,55,15,25
2023-09,16,84,54,15,24
2023-10,16,85,55,16,25
2023-11,18,84,53,16,27
2023-12,15,77,48,17,25
2024-01,16,83,51,17,28
2024-02,16,88,49,14,34
2024-03,16,85,45,14,27
2024-04,18,82,60,18,27
2024-05,16,84,51,16,24
2024-06,14,93,55,15,27
2024-07,16,93,53,16,29
2024-08,16,90,54,14,25
2024-09,16,94,57,15,28
2024-10,14,89,55,17,27
2024-11,15,81,56,16,27
2024-12,16,83,53,15,27
2025-01,16,88,55,16,30
2025-02,18,86,63,17,30
2025-03,16,100,59,17,32
