Category: All categories

Month,PTSD: (New Jersey),Anxiety: (New Jersey),ADHD: (New Jersey),Aggressive: (New Jersey),Dementia: (New Jersey)
2004-01,0,31,19,7,0
2004-02,0,31,20,10,0
2004-03,0,33,24,11,0
2004-04,0,38,19,10,0
2004-05,0,32,17,11,9
2004-06,0,37,9,13,0
2004-07,0,29,15,8,0
2004-08,0,30,17,6,0
2004-09,0,39,19,6,0
2004-10,6,29,20,8,6
2004-11,0,36,22,7,7
2004-12,0,30,22,5,7
2005-01,5,35,21,7,7
2005-02,0,39,18,7,6
2005-03,4,33,18,7,6
2005-04,0,35,22,10,8
2005-05,0,31,17,8,9
2005-06,0,39,16,10,11
2005-07,4,30,12,10,4
2005-08,0,33,18,8,5
2005-09,4,39,17,0,6
2005-10,0,32,15,12,6
2005-11,0,33,17,9,8
2005-12,0,30,11,0,5
2006-01,5,36,15,7,6
2006-02,0,35,20,9,7
2006-03,3,34,20,9,7
2006-04,5,32,17,8,7
2006-05,0,37,15,6,5
2006-06,0,32,13,6,7
2006-07,3,29,9,6,4
2006-08,0,33,13,5,4
2006-09,0,32,17,7,5
2006-10,3,32,17,8,5
2006-11,3,30,15,9,4
2006-12,5,30,16,5,6
2007-01,3,30,14,5,8
2007-02,3,34,15,7,5
2007-03,3,33,19,8,6
2007-04,4,36,14,8,7
2007-05,4,30,21,7,7
2007-06,2,32,12,6,5
2007-07,3,30,12,8,5
2007-08,3,32,12,7,7
2007-09,4,36,17,8,7
2007-10,4,36,21,7,8
2007-11,4,29,20,8,6
2007-12,4,28,17,7,7
2008-01,3,34,15,7,7
2008-02,3,31,17,8,7
2008-03,4,33,15,8,7
2008-04,7,35,21,8,6
2008-05,4,28,14,8,6
2008-06,4,33,12,8,7
2008-07,4,33,13,9,10
2008-08,2,34,17,7,7
2008-09,3,35,18,7,7
2008-10,5,37,21,7,8
2008-11,5,33,17,8,7
2008-12,4,31,17,10,6
2009-01,4,34,16,8,8
2009-02,4,32,19,8,7
2009-03,5,35,18,10,6
2009-04,6,35,20,9,7
2009-05,4,35,17,10,7
2009-06,4,34,14,9,8
2009-07,4,39,14,8,9
2009-08,3,36,14,9,6
2009-09,4,36,19,9,8
2009-10,5,37,19,8,8
2009-11,7,38,20,9,9
2009-12,5,36,17,8,9
2010-01,3,41,18,10,8
2010-02,6,39,20,9,8
2010-03,5,39,24,11,9
2010-04,8,34,24,8,7
2010-05,7,36,22,8,7
2010-06,6,36,18,10,7
2010-07,6,38,14,9,8
2010-08,5,36,15,9,7
2010-09,6,38,18,7,8
2010-10,7,35,24,7,10
2010-11,6,35,21,9,10
2010-12,7,34,19,9,9
2011-01,5,40,17,9,8
2011-02,4,39,21,10,12
2011-03,7,42,23,9,10
2011-04,6,39,23,10,10
2011-05,6,41,24,8,9
2011-06,6,40,18,11,8
2011-07,5,41,16,9,10
2011-08,4,40,20,10,13
2011-09,6,44,24,9,8
2011-10,5,41,29,9,9
2011-11,6,45,27,9,10
2011-12,7,39,23,8,10
2012-01,6,51,20,8,10
2012-02,6,51,20,9,9
2012-03,8,50,22,10,9
2012-04,7,49,20,10,12
2012-05,7,49,19,10,10
2012-06,6,47,17,10,9
2012-07,6,49,16,10,10
2012-08,5,50,17,10,11
2012-09,5,52,18,9,11
2012-10,8,52,21,10,11
2012-11,7,45,21,10,9
2012-12,8,51,20,10,9
2013-01,6,49,19,10,10
2013-02,9,51,21,10,9
2013-03,7,54,21,10,11
2013-04,9,55,23,11,11
2013-05,9,53,22,10,10
2013-06,7,48,18,10,11
2013-07,5,51,16,9,11
2013-08,5,54,15,9,10
2013-09,7,55,19,11,11
2013-10,8,53,23,10,11
2013-11,9,51,21,10,10
2013-12,8,49,19,10,10
2014-01,7,63,20,11,9
2014-02,7,52,23,11,10
2014-03,9,55,23,9,11
2014-04,10,56,22,11,12
2014-05,9,57,18,11,12
2014-06,8,50,19,11,12
2014-07,7,52,16,12,11
2014-08,6,53,16,11,11
2014-09,7,58,19,10,12
2014-10,9,56,21,11,11
2014-11,10,56,20,11,17
2014-12,8,52,18,11,12
2015-01,9,55,18,10,11
2015-02,10,56,20,12,12
2015-03,11,63,21,10,13
2015-04,12,61,21,12,15
2015-05,11,57,20,11,13
2015-06,9,56,16,10,11
2015-07,8,58,15,10,13
2015-08,7,60,17,11,12
2015-09,8,63,18,10,11
2015-10,10,61,23,11,13
2015-11,12,63,23,12,25
2015-12,11,61,19,11,13
2016-01,9,65,20,12,12
2016-02,9,60,22,11,16
2016-03,10,63,22,10,13
2016-04,12,64,24,11,13
2016-05,10,62,21,11,15
2016-06,11,61,18,11,15
2016-07,9,64,15,10,14
2016-08,9,65,19,10,14
2016-09,10,63,21,11,14
2016-10,13,66,23,11,14
2016-11,11,64,21,11,13
2016-12,13,63,20,10,14
2017-01,11,71,21,10,13
2017-02,10,69,23,11,18
2017-03,12,66,25,10,15
2017-04,13,69,26,11,17
2017-05,13,66,25,11,13
2017-06,10,68,20,11,14
2017-07,10,68,16,11,15
2017-08,9,63,17,10,14
2017-09,9,64,19,10,13
2017-10,11,71,22,11,14
2017-11,11,71,23,10,18
2017-12,11,60,20,10,16
2018-01,9,69,21,11,16
2018-02,11,72,24,11,16
2018-03,12,72,24,11,17
2018-04,12,81,24,12,15
2018-05,11,73,23,11,15
2018-06,11,69,19,10,16
2018-07,9,75,16,11,18
2018-08,10,74,17,11,17
2018-09,10,75,21,11,17
2018-10,12,78,25,11,17
2018-11,14,74,24,11,16
2018-12,10,71,21,11,16
2019-01,11,80,23,11,18
2019-02,11,78,25,11,17
2019-03,13,84,26,12,20
2019-04,15,78,25,12,17
2019-05,13,73,23,11,23
2019-06,13,69,20,11,19
2019-07,10,75,19,11,18
2019-08,11,69,20,10,17
2019-09,10,78,24,11,18
2019-10,13,80,28,11,19
2019-11,12,72,26,11,19
2019-12,11,68,23,10,18
2020-01,13,80,27,11,20
2020-02,15,81,29,11,21
2020-03,14,85,20,10,17
2020-04,14,81,22,12,15
2020-05,13,79,21,13,17
2020-06,12,79,23,12,20
2020-07,10,85,20,12,19
2020-08,11,80,23,11,21
2020-09,10,88,26,12,27
2020-10,12,79,28,12,21
2020-11,11,75,25,11,19
2020-12,11,80,26,10,17
2021-01,11,84,26,11,17
2021-02,11,81,31,13,20
2021-03,12,88,30,12,20
2021-04,12,92,32,12,22
2021-05,11,77,31,12,19
2021-06,11,76,29,11,20
2021-07,11,71,29,12,19
2021-08,10,80,30,11,22
2021-09,10,81,31,10,21
2021-10,11,77,34,12,22
2021-11,12,77,35,12,22
2021-12,11,73,32,11,18
2022-01,12,83,39,12,21
2022-02,12,90,40,12,21
2022-03,13,96,43,13,22
2022-04,14,90,42,14,22
2022-05,14,86,36,13,21
2022-06,12,84,39,12,20
2022-07,10,81,36,13,22
2022-08,10,82,40,13,23
2022-09,11,80,37,12,22
2022-10,12,85,44,13,22
2022-11,12,79,43,12,22
2022-12,12,75,44,13,22
2023-01,11,90,48,13,23
2023-02,13,85,50,13,39
2023-03,13,95,50,14,29
2023-04,12,80,48,12,26
2023-05,11,80,50,13,25
2023-06,11,76,47,12,23
2023-07,10,74,44,12,25
2023-08,10,73,45,12,23
2023-09,11,76,47,12,22
2023-10,11,79,47,13,24
2023-11,11,74,48,12,25
2023-12,11,72,47,12,25
2024-01,11,79,45,12,26
2024-02,12,79,56,13,39
2024-03,12,74,49,12,26
2024-04,12,77,50,14,26
2024-05,12,71,49,13,24
2024-06,11,77,45,13,25
2024-07,9,82,45,12,29
2024-08,10,72,47,11,24
2024-09,10,84,51,11,25
2024-10,11,78,52,13,23
2024-11,12,72,50,12,25
2024-12,10,72,48,12,27
2025-01,11,77,52,12,29
2025-02,12,80,59,14,28
2025-03,12,100,59,14,29
