Category: All categories

Month,PTSD: (New Mexico),Anxiety: (New Mexico),ADHD: (New Mexico),Aggressive: (New Mexico),Dementia: (New Mexico)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,50,50,0,0
2004-12,0,0,0,0,0
2005-01,0,40,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,40,0,0,0
2005-07,0,62,35,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,37,0,0,0
2005-11,0,59,0,0,0
2005-12,0,37,0,0,0
2006-01,25,34,27,0,0
2006-02,0,0,0,0,0
2006-03,0,45,26,24,0
2006-04,0,32,34,0,0
2006-05,0,36,0,0,0
2006-06,0,35,0,0,0
2006-07,0,28,0,0,0
2006-08,0,32,0,0,0
2006-09,0,0,0,0,0
2006-10,0,31,0,0,0
2006-11,0,34,0,0,0
2006-12,0,35,18,0,0
2007-01,0,29,0,0,0
2007-02,0,28,19,0,0
2007-03,0,18,0,0,0
2007-04,0,24,22,0,20
2007-05,0,28,16,0,0
2007-06,0,21,0,0,0
2007-07,20,25,0,0,0
2007-08,0,33,0,0,0
2007-09,0,39,23,0,0
2007-10,14,44,25,15,16
2007-11,17,25,24,0,13
2007-12,0,30,28,0,0
2008-01,0,29,27,0,0
2008-02,0,36,15,0,0
2008-03,13,30,18,0,0
2008-04,0,33,23,0,14
2008-05,0,33,0,0,0
2008-06,0,35,0,0,0
2008-07,0,32,17,0,0
2008-08,0,32,15,0,0
2008-09,0,43,20,0,0
2008-10,11,33,17,0,0
2008-11,13,35,19,0,22
2008-12,16,31,0,0,0
2009-01,15,36,17,0,16
2009-02,19,34,22,0,13
2009-03,0,44,19,0,16
2009-04,17,48,16,0,0
2009-05,0,25,0,14,0
2009-06,0,45,14,0,14
2009-07,0,25,0,0,21
2009-08,0,43,14,0,0
2009-09,14,40,19,0,15
2009-10,12,34,17,0,0
2009-11,17,40,18,0,0
2009-12,12,40,19,17,0
2010-01,14,40,18,0,0
2010-02,12,46,23,15,0
2010-03,18,44,25,0,14
2010-04,18,39,26,0,15
2010-05,16,30,18,14,0
2010-06,15,42,22,0,19
2010-07,25,42,18,0,18
2010-08,15,47,26,0,15
2010-09,16,55,20,0,18
2010-10,18,43,30,0,0
2010-11,20,47,19,19,16
2010-12,14,43,20,17,0
2011-01,12,40,20,10,17
2011-02,11,43,22,11,16
2011-03,14,45,20,9,14
2011-04,15,42,25,11,14
2011-05,13,37,16,8,9
2011-06,12,49,17,9,12
2011-07,15,43,21,6,17
2011-08,15,50,21,12,21
2011-09,6,52,26,11,12
2011-10,16,45,32,11,13
2011-11,16,46,23,6,15
2011-12,17,45,24,7,11
2012-01,19,52,23,7,12
2012-02,18,52,23,14,15
2012-03,18,48,22,11,13
2012-04,24,48,18,12,12
2012-05,12,46,21,10,10
2012-06,12,48,12,9,16
2012-07,17,47,12,14,15
2012-08,15,56,20,13,12
2012-09,19,56,19,10,16
2012-10,15,63,29,14,12
2012-11,23,54,19,11,15
2012-12,13,45,16,11,14
2013-01,11,53,18,9,11
2013-02,19,48,20,9,16
2013-03,17,51,28,12,14
2013-04,17,53,24,12,18
2013-05,18,52,21,13,11
2013-06,15,53,17,11,14
2013-07,15,60,15,9,14
2013-08,21,50,23,12,12
2013-09,17,56,29,12,15
2013-10,19,56,28,13,12
2013-11,15,54,21,9,15
2013-12,17,55,20,8,13
2014-01,17,64,14,9,14
2014-02,15,52,20,12,12
2014-03,18,54,21,10,15
2014-04,21,57,20,12,15
2014-05,17,55,19,14,15
2014-06,16,56,18,8,17
2014-07,21,71,16,12,14
2014-08,17,66,19,14,13
2014-09,20,54,22,8,15
2014-10,17,59,17,12,14
2014-11,21,56,25,12,26
2014-12,17,55,18,11,16
2015-01,18,67,17,9,13
2015-02,19,67,20,12,16
2015-03,19,61,21,16,18
2015-04,23,66,20,14,13
2015-05,15,63,14,12,15
2015-06,21,58,18,14,18
2015-07,23,63,16,11,14
2015-08,13,67,19,9,17
2015-09,18,77,19,11,12
2015-10,23,71,28,10,12
2015-11,21,71,22,15,29
2015-12,16,58,17,11,16
2016-01,18,65,19,12,12
2016-02,19,71,21,13,23
2016-03,20,73,22,11,17
2016-04,19,72,20,15,18
2016-05,22,67,16,11,16
2016-06,19,70,16,12,15
2016-07,22,77,18,11,16
2016-08,18,63,19,10,14
2016-09,23,82,23,13,18
2016-10,25,85,20,13,16
2016-11,24,70,17,11,15
2016-12,23,69,16,13,18
2017-01,19,75,20,10,15
2017-02,21,77,24,12,21
2017-03,20,83,22,15,18
2017-04,26,84,23,14,22
2017-05,23,82,24,15,17
2017-06,19,73,22,13,19
2017-07,19,80,17,12,17
2017-08,17,78,21,17,16
2017-09,20,73,21,13,18
2017-10,18,76,23,11,19
2017-11,24,77,19,13,19
2017-12,18,75,17,11,17
2018-01,19,76,22,9,20
2018-02,21,83,19,12,22
2018-03,21,80,20,10,19
2018-04,21,87,21,16,17
2018-05,20,78,19,13,19
2018-06,20,77,16,11,19
2018-07,20,92,15,14,20
2018-08,17,92,15,13,20
2018-09,17,78,21,12,22
2018-10,22,94,20,12,20
2018-11,17,81,20,11,19
2018-12,17,74,20,14,14
2019-01,16,76,20,12,17
2019-02,19,85,20,13,19
2019-03,21,93,20,11,20
2019-04,22,81,21,15,19
2019-05,22,81,17,12,22
2019-06,20,81,20,14,24
2019-07,18,79,19,12,24
2019-08,18,80,19,12,21
2019-09,19,83,25,11,20
2019-10,19,90,26,12,23
2019-11,21,83,24,12,21
2019-12,19,71,21,12,25
2020-01,20,79,23,13,22
2020-02,24,84,25,15,20
2020-03,18,76,20,12,19
2020-04,15,82,19,12,16
2020-05,16,83,22,13,18
2020-06,18,88,24,15,25
2020-07,20,89,21,15,22
2020-08,18,84,24,15,21
2020-09,17,86,27,12,26
2020-10,16,85,28,14,20
2020-11,17,82,22,12,22
2020-12,15,82,26,14,19
2021-01,15,91,26,14,18
2021-02,19,92,37,14,21
2021-03,19,89,29,12,23
2021-04,20,90,32,15,25
2021-05,18,88,36,14,22
2021-06,17,87,33,14,25
2021-07,18,93,34,14,22
2021-08,18,86,39,12,21
2021-09,16,89,36,14,20
2021-10,18,91,39,13,25
2021-11,17,84,38,13,23
2021-12,15,82,36,12,18
2022-01,18,86,42,15,23
2022-02,21,94,42,17,24
2022-03,18,92,44,16,26
2022-04,19,95,44,14,27
2022-05,17,84,36,16,24
2022-06,18,90,41,15,25
2022-07,18,90,37,13,28
2022-08,18,95,41,15,27
2022-09,18,94,49,15,23
2022-10,19,89,43,16,28
2022-11,18,83,43,14,28
2022-12,17,84,46,13,28
2023-01,17,92,50,16,28
2023-02,22,91,51,15,39
2023-03,20,94,52,15,36
2023-04,19,93,53,16,26
2023-05,17,93,49,15,29
2023-06,19,89,46,15,31
2023-07,17,89,47,18,29
2023-08,17,91,48,14,30
2023-09,17,90,53,15,27
2023-10,18,90,54,15,30
2023-11,17,90,48,15,33
2023-12,17,84,49,17,30
2024-01,17,89,47,16,29
2024-02,18,96,51,15,34
2024-03,19,79,47,16,31
2024-04,19,86,54,16,31
2024-05,19,76,47,18,28
2024-06,18,83,50,15,29
2024-07,18,97,52,17,34
2024-08,16,82,53,13,31
2024-09,17,91,51,16,28
2024-10,19,98,56,16,28
2024-11,16,79,47,15,29
2024-12,17,81,51,15,31
2025-01,18,81,54,19,36
2025-02,17,100,61,17,33
2025-03,18,96,55,17,32
