Category: All categories

Month,PTSD: (New York),Anxiety: (New York),ADHD: (New York),Aggressive: (New York),Dementia: (New York)
2004-01,0,38,18,5,3
2004-02,0,33,18,8,3
2004-03,0,40,25,8,7
2004-04,5,40,23,12,7
2004-05,4,37,17,9,8
2004-06,4,36,16,10,7
2004-07,3,40,15,9,9
2004-08,0,35,15,9,5
2004-09,4,39,18,6,7
2004-10,4,37,21,7,6
2004-11,4,40,24,8,7
2004-12,4,36,23,6,7
2005-01,3,38,18,5,6
2005-02,4,36,23,8,8
2005-03,4,39,22,8,7
2005-04,5,40,20,8,9
2005-05,8,41,21,8,8
2005-06,4,38,14,10,7
2005-07,4,38,13,6,7
2005-08,3,35,12,8,7
2005-09,5,39,16,6,7
2005-10,5,39,18,8,10
2005-11,5,37,20,8,10
2005-12,4,36,15,8,8
2006-01,3,36,15,8,8
2006-02,3,36,18,6,8
2006-03,4,39,24,8,7
2006-04,4,40,16,9,7
2006-05,4,33,19,8,7
2006-06,3,34,14,7,6
2006-07,3,30,13,7,6
2006-08,3,33,12,7,7
2006-09,4,35,18,5,8
2006-10,5,35,17,7,7
2006-11,4,35,18,7,7
2006-12,4,30,15,8,6
2007-01,3,34,14,6,6
2007-02,4,31,15,7,8
2007-03,5,35,17,8,8
2007-04,4,35,17,8,7
2007-05,5,32,17,9,10
2007-06,3,32,12,10,6
2007-07,4,33,12,9,7
2007-08,3,31,13,7,7
2007-09,4,35,17,8,8
2007-10,5,36,21,9,7
2007-11,6,35,20,9,8
2007-12,5,29,16,8,8
2008-01,4,36,15,9,7
2008-02,5,37,17,7,7
2008-03,6,36,18,8,8
2008-04,5,36,19,9,8
2008-05,5,35,18,10,8
2008-06,4,33,15,9,7
2008-07,5,34,13,10,12
2008-08,3,35,15,7,7
2008-09,4,37,18,7,9
2008-10,5,36,21,8,8
2008-11,6,36,19,9,8
2008-12,6,36,17,9,9
2009-01,5,34,15,9,8
2009-02,5,36,18,9,8
2009-03,6,38,18,10,8
2009-04,7,41,21,9,8
2009-05,6,39,17,9,9
2009-06,5,36,14,10,8
2009-07,4,39,15,10,8
2009-08,4,37,13,10,9
2009-09,5,40,17,11,8
2009-10,7,40,19,10,9
2009-11,7,41,19,11,10
2009-12,6,39,18,11,9
2010-01,5,41,16,9,8
2010-02,6,41,18,10,9
2010-03,7,43,24,10,9
2010-04,7,40,26,11,10
2010-05,8,41,25,10,9
2010-06,6,41,17,9,9
2010-07,6,39,15,9,9
2010-08,5,38,16,11,9
2010-09,6,44,19,10,9
2010-10,8,43,22,9,9
2010-11,9,43,22,11,11
2010-12,7,38,18,10,9
2011-01,6,40,18,9,8
2011-02,7,42,18,9,10
2011-03,6,45,22,9,9
2011-04,7,43,21,9,9
