Category: All categories

Month,PTSD: (North Carolina),Anxiety: (North Carolina),ADHD: (North Carolina),Aggressive: (North Carolina),Dementia: (North Carolina)
2004-01,0,36,24,0,0
2004-02,0,37,21,0,0
2004-03,0,23,37,18,0
2004-04,0,33,25,0,10
2004-05,0,28,26,9,0
2004-06,0,24,13,11,0
2004-07,0,36,23,0,0
2004-08,0,39,16,7,0
2004-09,0,35,33,8,0
2004-10,0,28,35,14,8
2004-11,10,38,30,9,11
2004-12,0,22,24,12,0
2005-01,0,42,22,11,0
2005-02,0,23,29,6,11
2005-03,0,34,25,0,7
2005-04,0,32,30,8,10
2005-05,7,28,20,12,8
2005-06,0,32,16,0,9
2005-07,0,30,16,6,7
2005-08,0,37,18,8,11
2005-09,0,38,25,7,8
2005-10,4,31,25,5,0
2005-11,4,33,25,7,6
2005-12,0,30,20,0,6
2006-01,4,37,23,8,11
2006-02,5,34,23,8,5
2006-03,5,38,22,8,7
2006-04,6,38,24,9,12
2006-05,5,34,20,8,8
2006-06,0,41,19,9,10
2006-07,4,39,13,6,6
2006-08,4,32,16,5,9
2006-09,5,35,23,7,9
2006-10,4,32,24,6,7
2006-11,5,30,26,8,6
2006-12,5,28,19,6,7
2007-01,4,31,18,6,7
2007-02,7,35,21,7,6
2007-03,5,35,21,5,8
2007-04,5,37,27,7,8
2007-05,4,32,19,8,6
2007-06,0,32,13,8,7
2007-07,5,30,14,9,8
2007-08,5,29,18,8,8
2007-09,6,38,30,8,7
2007-10,5,35,28,7,10
2007-11,6,33,31,6,9
2007-12,4,30,20,8,7
2008-01,5,31,24,8,10
2008-02,6,33,25,6,7
2008-03,6,33,22,7,8
2008-04,8,35,28,8,10
2008-05,6,28,19,7,9
2008-06,5,30,19,6,10
2008-07,5,35,18,9,13
2008-08,4,33,22,8,9
2008-09,5,35,27,11,10
2008-10,7,33,31,7,10
2008-11,8,31,25,8,8
2008-12,7,33,19,9,9
2009-01,6,31,19,8,9
2009-02,7,35,27,7,8
2009-03,10,33,21,9,9
2009-04,8,35,25,9,10
2009-05,7,35,21,9,11
2009-06,7,36,20,12,10
2009-07,6,33,17,9,11
2009-08,5,37,20,10,8
2009-09,9,38,25,10,10
2009-10,5,39,26,9,9
2009-11,8,38,30,10,9
2009-12,7,36,21,8,10
2010-01,5,37,22,9,9
2010-02,8,38,25,8,10
2010-03,8,39,30,12,9
2010-04,8,39,28,12,11
2010-05,8,39,28,10,9
2010-06,9,39,21,11,9
2010-07,8,35,18,9,10
