Category: All categories

Month,PTSD: (North Dakota),Anxiety: (North Dakota),ADHD: (North Dakota),Aggressive: (North Dakota),Dementia: (North Dakota)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,100,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,64,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,40,0,0,0
2006-01,0,28,0,0,0
2006-02,0,0,0,0,35
2006-03,0,0,0,0,0
2006-04,0,40,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,24,0,0
2006-12,0,0,0,0,0
2007-01,0,30,21,0,0
2007-02,0,26,0,0,0
2007-03,0,19,18,0,0
2007-04,0,22,0,0,0
2007-05,0,36,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,22,0,0,0
2007-09,0,18,0,0,0
2007-10,0,32,0,0,0
2007-11,0,23,20,0,0
2007-12,0,16,0,16,16
2008-01,0,23,0,0,0
2008-02,0,21,0,0,0
2008-03,0,24,0,15,0
2008-04,0,24,21,0,0
2008-05,0,19,0,0,0
2008-06,0,0,0,0,0
2008-07,0,22,0,0,0
2008-08,0,25,0,0,0
2008-09,0,35,0,0,0
2008-10,0,18,18,0,12
2008-11,0,22,18,0,0
2008-12,0,13,0,0,0
2009-01,0,24,18,0,0
2009-02,0,20,0,0,0
2009-03,0,0,0,0,14
2009-04,0,30,15,0,0
2009-05,0,20,0,0,0
2009-06,0,17,0,0,0
2009-07,0,23,0,0,0
2009-08,0,21,0,0,0
2009-09,0,31,18,0,0
2009-10,0,22,0,0,0
2009-11,0,26,20,0,0
2009-12,0,18,18,0,0
2010-01,0,26,17,0,0
2010-02,0,24,0,11,0
2010-03,0,24,10,0,0
2010-04,0,15,17,0,0
2010-05,0,15,18,0,0
2010-06,0,21,0,0,0
2010-07,0,28,0,0,0
2010-08,0,18,0,0,0
2010-09,0,19,15,0,0
2010-10,0,34,18,0,0
2010-11,0,23,10,0,0
2010-12,0,18,0,0,0
2011-01,0,25,12,0,5
2011-02,8,29,13,6,7
2011-03,0,28,16,0,12
2011-04,0,32,11,0,0
2011-05,0,24,9,0,7
2011-06,0,16,8,0,8
2011-07,7,20,7,0,9
2011-08,0,20,12,0,0
2011-09,7,32,13,0,6
2011-10,0,20,17,0,7
2011-11,0,26,11,6,9
2011-12,0,23,16,0,6
2012-01,0,26,14,7,6
2012-02,6,29,14,6,6
2012-03,6,29,13,0,6
2012-04,6,26,16,6,8
2012-05,0,26,13,0,0
2012-06,5,34,10,8,6
2012-07,7,28,12,5,7
2012-08,0,31,10,5,6
2012-09,7,26,13,0,11
2012-10,5,34,20,0,7
2012-11,5,26,12,0,4
2012-12,6,24,9,0,4
2013-01,6,24,9,6,6
2013-02,6,31,17,0,0
2013-03,5,32,11,0,8
2013-04,5,29,15,8,7
2013-05,5,19,11,4,6
2013-06,0,31,7,6,5
2013-07,6,23,9,7,6
2013-08,0,31,8,0,5
2013-09,6,34,14,5,0
2013-10,5,36,15,5,5
2013-11,6,27,13,8,8
2013-12,3,28,13,4,9
2014-01,6,28,9,6,4
2014-02,5,30,12,0,7
2014-03,4,38,11,7,7
2014-04,7,29,13,8,10
2014-05,4,30,12,5,10
2014-06,6,26,5,5,5
2014-07,5,30,7,9,8
2014-08,0,31,8,9,7
2014-09,8,37,13,6,11
2014-10,6,35,16,6,8
2014-11,6,36,14,5,14
2014-12,6,35,15,5,7
2015-01,9,36,10,0,6
2015-02,6,34,13,5,7
2015-03,7,35,12,8,8
2015-04,9,36,14,6,10
2015-05,8,35,10,7,8
2015-06,9,32,7,0,6
2015-07,7,30,7,4,5
2015-08,0,39,9,7,6
2015-09,4,43,10,6,9
2015-10,7,35,10,6,9
2015-11,7,41,15,9,15
2015-12,4,37,13,6,7
2016-01,5,41,12,8,3
2016-02,8,43,17,6,7
2016-03,9,45,13,8,7
2016-04,8,46,13,10,11
2016-05,9,40,11,8,5
2016-06,8,34,10,7,7
2016-07,6,39,5,9,4
2016-08,6,38,9,6,5
2016-09,6,36,15,8,7
2016-10,7,39,13,6,7
2016-11,8,41,13,5,10
2016-12,7,38,10,9,6
2017-01,8,47,14,7,7
2017-02,9,53,10,7,10
2017-03,7,44,12,8,7
2017-04,6,46,12,9,8
2017-05,7,43,11,8,7
2017-06,5,39,9,6,7
2017-07,3,41,8,8,8
2017-08,6,43,9,6,7
2017-09,6,40,12,6,7
2017-10,8,43,12,5,9
2017-11,8,43,14,7,11
2017-12,7,45,14,8,10
2018-01,8,46,12,9,8
2018-02,6,46,9,8,9
2018-03,9,47,14,7,10
2018-04,6,50,12,8,9
2018-05,7,41,11,5,9
2018-06,7,37,7,6,9
2018-07,5,45,12,8,7
2018-08,4,45,10,7,11
2018-09,8,50,10,6,11
2018-10,9,46,12,8,8
2018-11,8,46,13,8,7
2018-12,7,49,9,7,8
2019-01,6,47,13,9,8
2019-02,9,45,15,9,5
2019-03,8,48,15,7,8
2019-04,11,51,12,9,8
2019-05,8,42,15,7,10
2019-06,7,44,12,7,8
2019-07,5,42,9,8,9
2019-08,6,45,10,5,10
2019-09,7,47,14,8,8
2019-10,8,50,17,6,9
2019-11,8,46,13,6,11
2019-12,8,45,18,9,13
2020-01,8,47,14,7,9
2020-02,9,53,16,10,15
2020-03,8,45,11,7,10
2020-04,6,43,12,9,9
2020-05,9,45,12,8,10
2020-06,8,42,13,9,10
2020-07,8,48,13,6,9
2020-08,5,45,14,8,10
2020-09,6,48,19,7,12
2020-10,8,50,18,7,10
2020-11,5,47,13,8,10
2020-12,6,51,16,7,11
2021-01,7,56,21,6,9
2021-02,8,50,24,8,11
2021-03,7,53,20,9,11
2021-04,11,52,21,6,12
2021-05,8,49,21,9,8
2021-06,9,42,21,10,12
2021-07,8,45,20,7,11
2021-08,7,45,23,8,12
2021-09,10,51,24,7,12
2021-10,9,50,22,7,13
2021-11,10,49,28,11,11
2021-12,8,46,20,5,10
2022-01,9,55,21,8,12
2022-02,9,54,27,10,12
2022-03,11,57,27,9,14
2022-04,10,48,25,7,12
2022-05,9,48,24,10,15
2022-06,7,46,21,7,13
2022-07,10,42,24,6,11
2022-08,8,49,25,8,13
2022-09,8,48,30,8,12
2022-10,10,50,29,10,12
2022-11,8,43,30,7,11
2022-12,6,45,28,7,10
2023-01,8,50,32,7,15
2023-02,10,53,38,9,17
2023-03,10,51,35,9,16
2023-04,8,46,34,8,15
2023-05,8,44,32,8,13
2023-06,10,44,26,7,12
2023-07,8,42,25,8,14
2023-08,8,43,33,8,13
2023-09,7,47,30,10,14
2023-10,9,50,32,8,14
2023-11,8,47,31,11,17
2023-12,5,45,28,9,14
2024-01,7,45,31,10,15
2024-02,7,49,37,7,18
2024-03,6,46,32,8,13
2024-04,9,50,27,8,14
2024-05,7,41,26,8,14
2024-06,7,46,25,9,15
2024-07,6,48,28,7,19
2024-08,6,45,29,9,12
2024-09,9,51,31,8,11
2024-10,9,52,37,8,13
2024-11,6,44,29,9,13
2024-12,9,41,31,7,14
2025-01,7,47,34,8,12
2025-02,10,49,33,7,13
2025-03,8,58,39,8,17
