Category: All categories

Month,PTSD: (Ohio),Anxiety: (Ohio),ADHD: (Ohio),Aggressive: (Ohio),Dementia: (Ohio)
2004-01,0,31,18,0,0
2004-02,0,23,31,10,7
2004-03,0,30,19,13,0
2004-04,0,30,22,0,0
2004-05,0,30,20,10,6
2004-06,0,31,19,0,0
2004-07,0,29,20,6,0
2004-08,0,25,15,9,8
2004-09,0,36,29,9,7
2004-10,0,37,24,10,8
2004-11,0,32,26,8,7
2004-12,0,28,21,0,6
2005-01,0,33,21,7,9
2005-02,0,35,22,0,12
2005-03,0,30,21,5,7
2005-04,6,39,24,5,9
2005-05,4,35,22,10,8
2005-06,0,28,13,0,10
2005-07,0,35,17,0,9
2005-08,0,38,17,6,7
2005-09,0,40,22,5,10
2005-10,4,30,21,8,12
2005-11,0,30,20,8,7
2005-12,0,27,19,7,7
2006-01,0,32,19,7,6
2006-02,4,37,22,8,9
2006-03,4,33,20,5,7
2006-04,6,31,20,8,10
2006-05,0,31,17,7,8
2006-06,3,26,14,6,7
2006-07,3,32,11,6,4
2006-08,3,28,15,6,7
2006-09,3,34,22,7,8
2006-10,3,33,20,6,7
2006-11,4,36,19,8,8
2006-12,5,27,15,7,5
2007-01,4,31,17,6,7
2007-02,4,29,16,6,8
2007-03,4,31,18,6,7
2007-04,4,27,19,7,8
2007-05,3,29,16,8,8
2007-06,3,29,13,7,8
2007-07,4,28,14,6,9
2007-08,3,30,15,6,8
2007-09,3,34,20,7,8
2007-10,5,34,22,7,8
2007-11,5,31,21,7,8
2007-12,4,27,16,4,6
2008-01,3,30,19,6,8
2008-02,5,32,22,6,7
2008-03,5,33,17,7,9
2008-04,5,35,23,8,9
2008-05,4,30,17,8,8
2008-06,4,27,13,7,9
2008-07,4,32,19,8,9
2008-08,4,30,19,9,8
2008-09,4,38,23,8,8
2008-10,4,35,25,7,10
2008-11,6,36,26,8,9
2008-12,5,33,17,8,10
2009-01,3,35,17,7,9
2009-02,5,36,21,7,8
2009-03,5,33,22,10,9
2009-04,6,37,21,9,9
2009-05,6,33,19,10,8
2009-06,3,35,15,10,9
2009-07,4,32,15,9,9
2009-08,5,36,16,10,9
2009-09,4,36,20,11,9
2009-10,6,39,25,9,9
2009-11,8,40,27,9,10
2009-12,5,35,20,8,9
2010-01,7,37,19,9,9
2010-02,6,36,23,10,8
2010-03,6,35,26,10,9
2010-04,7,41,24,10,9
2010-05,6,37,24,8,7
2010-06,5,39,18,8,9
2010-07,7,36,17,10,11
2010-08,5,36,19,10,10
2010-09,5,41,27,10,10
2010-10,7,37,27,9,11
2010-11,8,38,25,8,14
2010-12,6,34,19,9,9
2011-01,6,38,20,8,10
2011-02,7,39,21,8,11
2011-03,8,41,25,9,10
2011-04,8,39,25,9,10
2011-05,7,37,21,9,10
2011-06,6,39,19,9,10
2011-07,6,38,17,8,12
2011-08,5,44,24,10,17
2011-09,6,46,29,9,10
2011-10,7,44,31,9,11
2011-11,8,44,27,10,11
2011-12,6,35,23,9,10
2012-01,7,50,24,8,12
2012-02,8,50,22,8,10
2012-03,10,47,21,10,10
2012-04,9,46,21,10,13
2012-05,8,45,18,10,11
2012-06,6,45,16,9,10
2012-07,6,45,16,10,11
2012-08,6,50,17,9,11
2012-09,8,48,21,10,11
2012-10,8,51,23,9,12
2012-11,9,48,24,9,11
2012-12,7,47,21,10,10
2013-01,7,49,20,9,11
2013-02,9,52,25,11,12
2013-03,8,48,24,9,12
2013-04,9,52,24,10,13
2013-05,9,48,21,9,11
2013-06,7,45,17,10,11
2013-07,6,48,17,9,11
2013-08,7,51,16,10,10
2013-09,8,52,23,10,12
2013-10,8,52,24,9,11
2013-11,10,49,23,10,12
2013-12,7,47,19,8,10
2014-01,7,52,19,10,12
2014-02,9,52,24,10,12
2014-03,9,54,23,10,13
2014-04,12,52,23,11,13
2014-05,10,51,19,11,13
2014-06,8,51,18,10,15
2014-07,9,53,17,11,14
2014-08,8,59,18,10,13
2014-09,9,58,22,11,13
2014-10,10,55,25,12,14
2014-11,11,53,24,10,19
2014-12,9,54,19,10,12
2015-01,10,55,18,10,12
2015-02,10,56,20,11,13
2015-03,12,60,23,11,15
2015-04,14,63,22,12,15
2015-05,12,55,18,10,12
2015-06,9,57,17,11,13
2015-07,11,65,17,11,15
2015-08,9,64,19,9,14
2015-09,11,61,21,11,13
2015-10,11,69,24,10,14
2015-11,12,65,22,11,26
2015-12,11,59,18,11,13
2016-01,10,58,18,10,11
2016-02,10,63,23,11,19
2016-03,11,68,22,11,15
2016-04,12,66,23,11,16
2016-05,11,58,19,11,16
2016-06,11,62,17,10,15
2016-07,10,61,15,9,14
2016-08,9,56,18,10,14
2016-09,10,66,22,10,14
2016-10,12,66,24,11,16
2016-11,11,59,22,10,14
2016-12,11,61,18,10,16
2017-01,11,71,20,10,16
2017-02,11,69,24,11,18
2017-03,11,74,25,11,17
2017-04,14,70,25,12,19
2017-05,11,68,23,10,16
2017-06,11,62,18,10,16
2017-07,10,65,17,11,16
2017-08,9,74,19,10,15
2017-09,10,71,22,10,15
2017-10,12,76,25,10,16
2017-11,12,71,25,10,19
2017-12,10,66,20,11,17
2018-01,10,80,20,11,16
2018-02,12,80,25,11,17
2018-03,11,83,24,12,19
2018-04,11,84,25,11,18
2018-05,10,71,21,12,17
2018-06,10,72,17,11,18
2018-07,11,79,19,12,19
2018-08,10,79,20,11,17
2018-09,11,81,25,11,18
2018-10,14,87,26,12,19
2018-11,13,82,24,11,18
2018-12,11,79,21,10,18
2019-01,12,87,22,10,19
2019-02,14,91,25,12,20
2019-03,14,91,23,10,19
2019-04,16,86,25,11,21
2019-05,13,81,24,11,22
2019-06,14,77,20,11,21
2019-07,13,85,19,10,20
2019-08,12,84,21,11,19
2019-09,12,89,28,11,20
2019-10,15,86,29,12,20
2019-11,14,81,26,11,19
2019-12,13,75,22,10,20
2020-01,14,86,27,11,24
2020-02,16,84,28,11,23
2020-03,14,81,20,11,20
2020-04,14,76,20,12,16
2020-05,12,74,20,12,16
2020-06,13,83,22,12,20
2020-07,14,83,21,12,21
2020-08,12,87,23,11,22
2020-09,13,85,28,12,28
2020-10,13,88,30,12,21
2020-11,12,78,25,12,20
2020-12,13,81,26,11,17
2021-01,12,86,28,12,18
2021-02,13,89,33,12,20
2021-03,13,90,34,12,22
2021-04,14,89,33,13,25
2021-05,12,83,33,13,21
2021-06,15,85,32,12,23
2021-07,14,85,35,13,21
2021-08,11,84,35,11,21
2021-09,13,90,37,12,20
2021-10,14,90,40,11,22
2021-11,14,85,39,11,21
2021-12,13,79,35,11,21
2022-01,13,85,44,12,22
2022-02,15,95,45,14,24
2022-03,15,96,41,14,25
2022-04,16,95,48,15,25
2022-05,15,81,39,13,22
2022-06,14,83,37,14,24
2022-07,13,89,38,14,24
2022-08,13,88,44,13,24
2022-09,13,87,49,14,23
2022-10,13,84,44,13,23
2022-11,14,83,44,13,25
2022-12,13,82,50,12,24
2023-01,13,90,50,13,24
2023-02,16,100,53,14,37
2023-03,15,93,52,14,29
2023-04,14,88,54,14,29
2023-05,14,83,50,14,27
2023-06,13,82,47,14,28
2023-07,12,84,45,14,28
2023-08,12,84,50,14,26
