Category: All categories

Month,PTSD: (Oklahoma),Anxiety: (Oklahoma),ADHD: (Oklahoma),Aggressive: (Oklahoma),Dementia: (Oklahoma)
2004-01,0,0,0,0,0
2004-02,0,42,0,0,0
2004-03,0,0,0,0,0
2004-04,0,34,0,0,0
2004-05,0,33,0,0,0
2004-06,0,30,0,0,0
2004-07,0,0,0,0,0
2004-08,0,37,0,0,0
2004-09,0,46,0,0,0
2004-10,0,34,0,0,0
2004-11,0,0,0,0,0
2004-12,0,32,0,0,0
2005-01,22,23,0,0,0
2005-02,0,41,20,0,0
2005-03,0,34,33,0,0
2005-04,0,29,0,0,0
2005-05,0,24,23,0,0
2005-06,0,31,19,0,0
2005-07,0,32,0,0,0
2005-08,0,27,0,0,0
2005-09,0,0,19,0,0
2005-10,0,45,21,0,0
2005-11,0,40,24,0,14
2005-12,0,24,0,0,0
2006-01,0,14,16,0,0
2006-02,0,27,0,0,0
2006-03,0,22,19,0,0
2006-04,0,28,26,0,0
2006-05,0,28,13,0,13
2006-06,0,24,15,0,0
2006-07,0,24,0,0,0
2006-08,0,31,17,0,0
2006-09,0,30,18,0,0
2006-10,0,27,20,0,0
2006-11,0,33,19,0,0
2006-12,0,20,17,0,0
2007-01,0,27,11,11,0
2007-02,0,34,19,0,0
2007-03,0,26,20,0,0
2007-04,11,33,15,0,11
2007-05,0,30,24,0,8
2007-06,0,25,12,0,0
2007-07,8,31,15,7,15
2007-08,0,38,20,0,0
2007-09,7,36,27,10,9
2007-10,7,34,25,0,0
2007-11,7,30,23,0,12
2007-12,0,25,12,0,7
2008-01,6,30,19,7,8
2008-02,9,36,21,0,10
2008-03,7,35,18,0,9
2008-04,0,25,24,8,10
2008-05,10,31,18,8,11
2008-06,8,34,13,12,0
2008-07,0,34,16,10,11
2008-08,0,27,19,9,8
2008-09,7,34,23,8,0
2008-10,6,34,21,10,9
2008-11,0,34,21,0,6
2008-12,7,32,11,9,9
2009-01,0,25,18,8,7
2009-02,6,30,18,0,9
2009-03,9,36,18,7,9
2009-04,0,34,24,12,11
2009-05,5,32,16,7,5
2009-06,7,32,14,11,9
2009-07,6,36,15,7,11
2009-08,5,40,13,9,9
2009-09,5,36,22,10,13
2009-10,10,33,24,9,11
2009-11,8,39,17,5,7
2009-12,7,27,14,8,5
2010-01,0,38,17,6,7
2010-02,8,33,22,10,7
2010-03,8,39,19,7,9
2010-04,8,39,31,8,14
2010-05,8,31,23,9,5
2010-06,5,35,17,8,8
2010-07,8,37,14,9,13
2010-08,8,43,17,12,13
2010-09,9,39,21,8,8
2010-10,9,44,23,12,9
2010-11,8,34,24,10,10
2010-12,0,33,27,5,11
2011-01,10,37,18,9,10
2011-02,8,39,18,5,11
2011-03,8,41,24,9,10
2011-04,9,43,23,9,12
2011-05,6,36,20,10,9
2011-06,7,40,17,8,8
2011-07,9,45,21,7,11
2011-08,9,45,27,8,18
2011-09,8,43,29,9,10
2011-10,9,42,30,9,11
2011-11,8,42,24,9,10
2011-12,10,39,18,10,9
2012-01,8,46,21,8,11
2012-02,10,49,20,7,10
2012-03,12,49,22,9,12
2012-04,10,43,23,11,12
2012-05,8,42,18,7,8
2012-06,7,42,18,9,11
2012-07,9,43,16,10,14
2012-08,9,45,25,9,10
2012-09,10,46,23,11,11
2012-10,10,47,24,8,13
2012-11,10,49,20,10,11
2012-12,8,45,20,8,10
2013-01,8,45,19,11,13
2013-02,12,47,22,8,12
2013-03,10,50,23,11,13
2013-04,10,47,23,10,12
2013-05,10,46,20,10,10
2013-06,10,47,16,11,12
2013-07,9,51,17,11,11
2013-08,8,51,18,10,10
2013-09,9,58,24,10,11
2013-10,9,48,24,10,11
2013-11,11,45,21,10,9
2013-12,11,47,16,9,10
2014-01,11,52,22,11,11
2014-02,10,52,23,10,13
2014-03,10,51,22,11,12
2014-04,13,51,23,12,11
2014-05,11,50,22,10,11
2014-06,11,48,17,10,11
2014-07,10,54,21,10,17
2014-08,9,56,18,12,10
2014-09,9,55,23,10,11
2014-10,10,53,23,12,13
2014-11,13,55,20,11,18
2014-12,9,43,17,10,12
2015-01,10,55,20,10,13
2015-02,10,52,21,12,13
2015-03,12,56,19,12,12
2015-04,9,55,20,12,13
2015-05,12,51,16,10,11
2015-06,10,50,15,11,12
2015-07,13,58,17,13,15
2015-08,10,64,20,11,15
2015-09,14,66,26,11,14
2015-10,15,60,24,11,13
2015-11,13,63,25,10,30
2015-12,14,58,20,11,13
2016-01,13,63,20,11,12
2016-02,13,63,23,11,17
2016-03,15,67,22,12,14
2016-04,14,67,24,12,15
2016-05,12,64,20,11,14
2016-06,14,63,19,12,17
2016-07,13,67,18,12,14
2016-08,11,67,22,9,13
2016-09,12,69,27,13,17
2016-10,15,73,27,11,17
2016-11,13,68,21,11,14
2016-12,13,65,21,11,13
2017-01,12,72,21,10,14
2017-02,15,75,26,11,17
2017-03,13,78,21,12,17
2017-04,17,75,26,13,18
2017-05,16,69,26,13,16
2017-06,16,73,18,13,14
2017-07,14,76,17,11,18
2017-08,11,69,21,12,15
2017-09,13,73,24,11,16
2017-10,13,79,25,10,15
2017-11,16,76,25,10,18
