Category: All categories

Month,PTSD: (Alaska),Anxiety: (Alaska),ADHD: (Alaska),Aggressive: (Alaska),Dementia: (Alaska)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,66,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,51,0,0,0
2005-12,0,0,0,0,0
2006-01,0,47,0,0,0
2006-02,0,0,0,0,0
2006-03,33,39,33,0,0
2006-04,0,0,37,0,0
2006-05,0,36,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,38,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,31,0,0,0
2007-02,0,0,26,0,0
2007-03,0,24,0,0,0
2007-04,0,26,24,0,0
2007-05,0,23,0,0,0
2007-06,0,27,0,0,0
2007-07,0,24,0,0,0
2007-08,0,28,0,0,0
2007-09,0,0,27,0,0
2007-10,0,33,29,0,0
2007-11,0,0,26,0,0
2007-12,0,21,23,0,0
2008-01,0,0,0,0,0
2008-02,0,27,28,0,0
2008-03,0,27,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,22,0
2008-07,0,21,0,0,0
2008-08,0,18,30,0,0
2008-09,0,24,0,0,0
2008-10,0,37,22,0,0
2008-11,0,44,18,0,0
2008-12,0,31,18,0,0
2009-01,0,22,22,16,0
2009-02,0,21,0,18,0
2009-03,0,30,20,0,0
2009-04,0,31,0,0,0
2009-05,0,18,18,0,0
2009-06,0,41,0,0,0
2009-07,0,42,22,0,0
2009-08,0,33,28,0,0
2009-09,0,30,0,0,0
2009-10,0,31,16,0,0
2009-11,0,36,22,0,0
2009-12,0,23,21,16,0
2010-01,0,31,16,0,0
2010-02,0,30,20,0,0
2010-03,14,34,20,0,0
2010-04,22,25,17,0,0
2010-05,15,24,17,0,21
2010-06,0,28,0,0,0
2010-07,0,26,24,0,0
2010-08,16,31,22,0,0
2010-09,0,34,26,0,0
2010-10,0,29,24,15,0
2010-11,13,42,18,0,13
2010-12,0,34,19,0,0
2011-01,10,31,18,11,11
2011-02,13,40,18,10,10
2011-03,12,39,22,14,0
2011-04,11,48,25,12,0
2011-05,14,38,17,0,0
2011-06,9,33,21,9,0
2011-07,0,37,19,0,0
2011-08,13,36,27,10,10
2011-09,0,40,28,0,8
2011-10,13,34,21,8,11
2011-11,18,33,13,10,0
2011-12,12,31,24,8,13
2012-01,11,35,18,9,0
2012-02,11,39,23,9,8
2012-03,14,43,18,8,7
2012-04,12,42,19,14,7
2012-05,10,45,18,11,14
2012-06,12,50,14,9,13
2012-07,8,40,13,13,12
2012-08,11,38,17,12,12
2012-09,14,39,11,8,12
2012-10,14,38,25,13,12
2012-11,17,36,21,13,10
2012-12,17,45,21,13,9
2013-01,13,45,19,7,10
2013-02,14,37,22,11,13
2013-03,16,44,17,8,8
2013-04,14,45,28,10,12
2013-05,12,50,16,14,7
2013-06,11,41,18,10,8
2013-07,12,55,18,9,9
2013-08,10,44,22,0,10
2013-09,13,59,16,16,12
2013-10,17,54,21,10,9
2013-11,16,41,22,9,10
2013-12,14,51,15,9,10
2014-01,21,49,22,11,16
2014-02,14,52,17,13,8
2014-03,14,58,20,9,10
2014-04,20,57,27,12,12
2014-05,14,49,15,15,13
2014-06,16,47,16,0,11
2014-07,22,45,9,9,0
2014-08,16,40,15,11,13
2014-09,8,47,23,14,10
2014-10,14,49,33,17,11
2014-11,14,52,20,10,19
2014-12,14,59,21,15,0
2015-01,17,54,22,11,8
2015-02,27,59,18,14,12
2015-03,15,54,18,12,9
2015-04,24,56,19,12,16
2015-05,14,48,19,12,14
2015-06,19,42,16,7,20
2015-07,21,65,17,13,10
2015-08,15,56,23,13,14
2015-09,9,57,20,13,8
2015-10,20,64,19,14,18
2015-11,15,68,27,11,29
2015-12,21,58,19,12,12
2016-01,18,63,19,15,15
2016-02,20,70,26,13,14
2016-03,20,74,24,12,8
2016-04,16,64,24,12,14
2016-05,9,61,24,12,9
2016-06,18,55,25,7,13
2016-07,13,66,19,14,15
2016-08,12,51,14,11,12
2016-09,17,69,22,10,15
2016-10,21,68,28,12,17
2016-11,17,71,23,11,15
2016-12,17,70,22,15,11
2017-01,20,91,22,10,13
2017-02,14,72,17,13,20
2017-03,16,80,25,11,13
2017-04,19,67,21,9,20
2017-05,12,74,22,14,19
2017-06,20,63,18,13,12
2017-07,12,64,15,14,14
2017-08,16,66,23,13,18
2017-09,16,64,13,13,15
2017-10,16,76,28,13,17
2017-11,19,77,31,15,18
2017-12,13,77,18,12,13
2018-01,18,77,19,13,14
2018-02,19,80,20,11,17
2018-03,19,77,22,16,18
2018-04,19,80,29,19,21
2018-05,20,72,25,12,11
2018-06,15,68,18,0,12
2018-07,17,75,19,12,16
2018-08,17,82,23,10,15
2018-09,21,79,20,16,20
2018-10,22,89,28,15,17
2018-11,22,86,23,8,17
2018-12,27,94,23,9,22
2019-01,16,86,27,11,11
2019-02,15,80,26,14,15
2019-03,15,83,21,15,23
2019-04,21,80,26,16,21
2019-05,19,70,27,12,26
2019-06,20,68,20,11,24
2019-07,13,86,26,11,22
2019-08,15,75,23,12,21
2019-09,15,88,27,8,21
2019-10,21,82,37,16,17
2019-11,20,77,36,14,26
2019-12,19,80,22,15,22
2020-01,16,82,33,13,22
2020-02,19,92,25,16,21
2020-03,16,79,26,15,18
2020-04,14,70,24,10,18
2020-05,14,67,24,17,18
2020-06,18,86,27,16,17
2020-07,13,87,31,11,24
2020-08,11,73,30,16,19
2020-09,20,90,35,13,27
2020-10,12,77,37,13,19
2020-11,16,82,22,17,22
2020-12,15,88,35,12,20
2021-01,20,92,39,13,20
2021-02,15,94,40,19,18
2021-03,15,84,47,17,19
2021-04,17,88,40,11,20
2021-05,17,89,38,13,17
2021-06,16,91,44,15,22
2021-07,15,71,41,16,19
2021-08,16,74,47,18,15
2021-09,18,94,48,13,23
2021-10,17,98,52,21,22
2021-11,16,84,48,13,21
2021-12,19,84,43,15,21
2022-01,19,100,47,15,18
2022-02,24,96,63,19,24
2022-03,23,98,70,14,23
2022-04,27,99,62,12,28
2022-05,22,84,54,19,18
2022-06,22,76,48,13,25
2022-07,13,82,49,18,28
2022-08,16,84,57,15,22
2022-09,19,87,64,14,22
2022-10,19,87,63,15,25
2022-11,18,81,64,10,24
2022-12,22,85,66,15,25
2023-01,22,88,72,12,21
2023-02,19,92,64,23,39
2023-03,21,87,86,13,31
2023-04,20,90,81,14,30
2023-05,22,76,70,13,26
2023-06,18,81,64,16,26
2023-07,16,78,66,17,23
2023-08,17,71,71,20,28
2023-09,15,81,78,18,24
2023-10,17,90,84,11,25
2023-11,18,79,70,19,25
2023-12,14,80,73,14,27
2024-01,17,72,64,18,33
2024-02,23,85,74,21,27
2024-03,28,91,70,17,30
2024-04,22,88,81,17,25
2024-05,11,73,67,17,26
2024-06,19,70,61,24,23
2024-07,13,80,60,13,33
2024-08,16,69,60,13,29
2024-09,16,86,75,19,30
2024-10,23,91,65,17,29
2024-11,21,88,72,15,25
2024-12,16,84,71,16,29
2025-01,27,90,82,9,25
2025-02,22,93,87,16,29
2025-03,18,99,76,23,34
