Category: All categories

Month,PTSD: (Oregon),Anxiety: (Oregon),ADHD: (Oregon),Aggressive: (Oregon),Dementia: (Oregon)
2004-01,0,41,0,0,0
2004-02,0,35,23,16,0
2004-03,0,40,22,0,0
2004-04,0,36,30,0,0
2004-05,0,32,27,0,0
2004-06,0,32,20,0,15
2004-07,0,32,17,0,0
2004-08,0,38,26,0,0
2004-09,0,20,25,0,0
2004-10,0,37,29,14,20
2004-11,0,27,28,0,0
2004-12,0,28,22,0,0
2005-01,0,29,15,0,12
2005-02,0,31,26,0,0
2005-03,0,38,26,0,10
2005-04,14,41,21,0,0
2005-05,0,32,17,10,10
2005-06,0,22,19,0,0
2005-07,0,32,14,10,0
2005-08,15,30,18,0,10
2005-09,0,33,19,10,9
2005-10,0,41,21,8,10
2005-11,8,45,19,0,7
2005-12,0,26,17,8,16
2006-01,0,33,19,12,11
2006-02,7,40,18,9,12
2006-03,8,35,23,8,6
2006-04,8,37,18,14,8
2006-05,0,35,18,10,9
2006-06,7,29,19,7,15
2006-07,7,34,11,7,8
2006-08,9,34,14,7,10
2006-09,6,43,22,8,6
2006-10,6,35,20,8,7
2006-11,10,32,17,6,9
2006-12,7,30,14,7,8
2007-01,6,37,17,0,7
2007-02,6,39,17,6,11
2007-03,9,42,19,8,8
2007-04,8,39,19,9,10
2007-05,8,37,18,10,8
2007-06,7,25,17,11,10
2007-07,7,34,17,6,8
2007-08,5,34,13,10,10
2007-09,7,31,16,10,5
2007-10,6,37,22,7,7
2007-11,7,31,16,11,9
2007-12,6,28,12,9,9
2008-01,8,41,20,9,7
2008-02,8,37,21,8,9
2008-03,10,40,18,9,9
2008-04,5,35,19,9,10
2008-05,7,33,18,13,12
2008-06,6,31,15,7,7
2008-07,8,32,13,9,10
2008-08,7,31,14,8,11
2008-09,7,40,18,10,11
2008-10,7,35,18,10,7
2008-11,7,33,20,8,11
2008-12,9,34,15,9,8
2009-01,12,38,18,9,10
2009-02,13,35,14,8,10
2009-03,13,41,18,10,8
2009-04,8,39,19,13,11
2009-05,9,37,19,11,10
2009-06,8,43,22,12,9
2009-07,10,36,14,14,12
2009-08,5,39,18,10,7
2009-09,10,47,20,16,11
2009-10,9,44,17,10,10
2009-11,11,42,20,11,9
2009-12,8,37,15,9,10
2010-01,9,46,20,12,10
2010-02,9,44,24,13,11
2010-03,11,39,23,13,10
2010-04,13,43,24,10,9
2010-05,13,38,26,9,8
2010-06,11,36,15,9,10
2010-07,8,40,16,12,14
2010-08,12,37,21,11,10
2010-09,10,42,22,12,10
2010-10,11,43,23,9,8
2010-11,12,43,25,11,12
2010-12,10,41,22,12,7
2011-01,10,42,20,10,11
2011-02,12,44,20,11,12
2011-03,12,44,25,10,11
2011-04,11,41,22,10,12
2011-05,11,42,24,10,11
2011-06,10,40,20,12,11
2011-07,10,43,19,10,12
2011-08,11,43,22,10,15
2011-09,8,46,24,10,10
2011-10,12,43,26,11,12
2011-11,12,45,27,9,11
2011-12,9,42,22,9,9
2012-01,10,47,21,10,10
2012-02,14,52,24,10,12
2012-03,13,48,25,10,13
2012-04,13,44,24,11,12
2012-05,15,46,22,12,11
2012-06,11,44,21,11,13
2012-07,11,47,18,11,9
2012-08,10,43,17,12,12
2012-09,11,49,20,11,11
2012-10,13,52,23,10,12
2012-11,11,47,22,9,13
2012-12,11,46,20,12,11
2013-01,12,48,21,10,12
2013-02,16,55,23,13,13
2013-03,14,51,26,10,13
2013-04,14,49,25,12,16
2013-05,15,50,28,11,13
2013-06,14,50,21,12,14
2013-07,8,28,10,6,8
2013-08,5,28,9,6,7
2013-09,6,27,10,5,6
2013-10,6,26,11,5,6
2013-11,6,25,9,5,6
2013-12,5,24,10,6,6
2014-01,7,33,12,6,7
2014-02,8,31,14,7,8
2014-03,14,56,24,11,13
2014-04,10,39,15,7,8
2014-05,9,36,18,9,11
2014-06,8,36,13,8,10
2014-07,8,37,10,7,8
2014-08,7,35,11,7,9
2014-09,8,37,11,8,9
2014-10,8,30,12,6,7
2014-11,8,30,12,6,12
2014-12,8,30,10,7,7
2015-01,9,34,12,6,9
2015-02,9,35,14,6,9
2015-03,9,35,11,6,8
2015-04,9,34,12,7,8
2015-05,13,45,16,8,10
2015-06,14,59,16,10,18
2015-07,15,58,18,11,13
2015-08,12,66,19,11,15
2015-09,14,68,18,10,14
2015-10,14,67,25,10,14
2015-11,17,67,23,12,34
2015-12,14,63,21,12,14
2016-01,16,66,22,13,15
