Category: All categories

Month,PTSD: (Pennsylvania),Anxiety: (Pennsylvania),ADHD: (Pennsylvania),Aggressive: (Pennsylvania),Dementia: (Pennsylvania)
2004-01,0,26,24,7,8
2004-02,0,33,22,5,6
2004-03,0,33,20,11,9
2004-04,6,36,20,10,0
2004-05,0,34,15,10,8
2004-06,0,33,19,9,6
2004-07,0,34,19,8,6
2004-08,0,36,15,10,5
2004-09,0,41,18,7,9
2004-10,0,35,25,9,8
2004-11,0,37,24,6,5
2004-12,4,31,20,8,8
2005-01,3,35,18,5,10
2005-02,0,28,21,7,8
2005-03,0,31,23,7,8
2005-04,6,33,18,8,8
2005-05,4,26,13,8,7
2005-06,0,34,13,5,8
2005-07,3,40,16,6,6
2005-08,0,36,18,6,7
2005-09,4,36,16,9,8
2005-10,4,35,22,7,9
2005-11,4,38,23,8,7
2005-12,4,28,17,6,7
2006-01,3,33,14,7,6
2006-02,5,30,20,8,8
2006-03,4,31,21,8,8
2006-04,6,36,21,10,6
2006-05,3,35,17,6,9
2006-06,3,32,13,6,7
2006-07,3,32,11,6,7
2006-08,2,32,14,6,8
2006-09,3,35,17,6,5
2006-10,3,33,19,7,7
2006-11,4,32,21,7,8
2006-12,3,29,16,7,6
2007-01,3,33,17,7,7
2007-02,4,30,19,7,6
2007-03,4,32,18,8,6
2007-04,5,35,19,7,9
2007-05,3,30,18,9,7
2007-06,3,30,14,7,7
2007-07,4,30,12,8,9
2007-08,3,29,12,8,8
2007-09,4,36,20,7,7
2007-10,5,35,20,8,8
2007-11,5,30,20,7,9
2007-12,4,26,16,5,8
2008-01,4,32,16,5,7
2008-02,4,32,19,8,9
2008-03,5,33,19,7,9
2008-04,6,35,20,9,9
2008-05,4,31,19,7,8
2008-06,5,31,13,7,9
2008-07,3,30,13,8,12
2008-08,4,35,14,8,8
2008-09,4,36,18,8,7
2008-10,6,36,21,8,8
2008-11,5,31,21,8,8
2008-12,4,29,17,8,8
2009-01,3,34,16,8,9
2009-02,5,33,21,10,9
2009-03,6,36,20,8,8
2009-04,7,34,21,11,10
2009-05,6,32,17,8,9
2009-06,4,33,16,8,8
