Category: All categories

Month,PTSD: (Rhode Island),Anxiety: (Rhode Island),ADHD: (Rhode Island),Aggressive: (Rhode Island),Dementia: (Rhode Island)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,58,0,0,0
2004-05,0,50,0,0,0
2004-06,0,0,0,0,0
2004-07,0,49,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,41,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,32,0,0,0
2005-01,0,0,0,0,0
2005-02,0,29,0,0,0
2005-03,0,32,25,0,0
2005-04,0,0,31,0,0
2005-05,0,40,30,0,0
2005-06,0,29,0,0,0
2005-07,0,28,0,0,0
2005-08,0,28,0,0,0
2005-09,0,37,0,0,0
2005-10,0,28,0,0,0
2005-11,0,46,27,0,0
2005-12,0,41,38,0,0
2006-01,0,35,22,0,0
2006-02,0,31,18,0,0
2006-03,0,34,28,0,17
2006-04,0,35,0,0,17
2006-05,0,43,16,0,0
2006-06,0,38,0,0,0
2006-07,0,32,0,0,0
2006-08,0,35,0,0,0
2006-09,25,39,16,0,0
2006-10,0,22,28,0,0
2006-11,0,33,22,0,0
2006-12,0,42,15,15,0
2007-01,0,35,16,0,0
2007-02,0,34,23,0,13
2007-03,0,26,29,0,16
2007-04,0,31,13,0,0
2007-05,0,42,20,0,0
2007-06,0,35,0,0,0
2007-07,0,25,22,0,0
2007-08,0,21,0,0,0
2007-09,0,37,19,12,12
2007-10,0,35,20,0,0
2007-11,0,40,15,0,0
2007-12,0,27,19,0,0
2008-01,12,41,14,0,0
2008-02,0,40,19,0,0
2008-03,0,49,18,0,15
2008-04,0,36,21,0,10
2008-05,0,25,17,0,0
2008-06,0,38,11,0,12
2008-07,0,33,22,0,0
2008-08,0,40,0,0,0
2008-09,0,35,26,0,0
2008-10,0,37,21,0,0
2008-11,0,24,30,11,0
2008-12,0,46,11,10,9
2009-01,0,36,23,11,0
2009-02,0,37,15,11,0
2009-03,8,33,27,0,13
2009-04,17,43,23,10,8
2009-05,11,45,17,10,16
2009-06,0,44,0,11,0
2009-07,0,46,13,10,12
2009-08,0,34,12,0,0
2009-09,9,39,19,11,0
2009-10,8,46,21,11,9
2009-11,13,43,24,0,15
2009-12,11,39,16,11,0
2010-01,0,50,17,10,0
2010-02,0,47,20,10,9
2010-03,15,53,22,8,0
2010-04,0,48,21,10,14
2010-05,11,55,22,0,14
2010-06,0,48,21,0,9
2010-07,0,48,18,11,13
2010-08,9,44,16,9,0
2010-09,12,42,28,9,11
2010-10,17,53,31,0,11
2010-11,12,50,29,7,13
2010-12,0,46,28,10,8
2011-01,7,40,22,7,12
2011-02,10,46,20,10,6
2011-03,9,46,29,8,9
2011-04,11,43,26,11,11
2011-05,9,50,24,7,12
2011-06,6,45,18,7,8
2011-07,6,41,14,10,7
2011-08,0,37,21,9,14
2011-09,8,46,30,9,11
2011-10,8,47,36,7,12
2011-11,10,44,33,9,11
2011-12,6,58,29,9,11
2012-01,11,57,22,6,9
2012-02,11,63,19,10,10
2012-03,12,54,27,14,10
2012-04,12,63,26,8,14
2012-05,9,53,23,7,12
2012-06,9,50,19,8,11
2012-07,9,51,17,11,15
2012-08,5,51,15,7,9
2012-09,6,62,26,9,12
2012-10,13,55,29,10,13
2012-11,14,54,27,11,11
2012-12,9,51,28,9,13
2013-01,12,54,25,8,11
2013-02,11,51,22,12,10
2013-03,11,64,20,12,12
2013-04,14,63,27,9,13
2013-05,14,57,27,8,12
2013-06,9,50,18,9,11
2013-07,9,52,18,14,7
2013-08,9,55,19,10,11
2013-09,9,59,21,8,13
2013-10,12,64,25,14,11
2013-11,11,57,24,9,12
2013-12,9,48,20,8,8
2014-01,11,56,22,10,12
2014-02,11,49,23,11,15
2014-03,10,57,30,11,11
2014-04,13,58,29,9,13
2014-05,11,56,20,11,15
2014-06,9,62,15,9,12
2014-07,10,62,17,9,14
2014-08,8,56,15,9,11
2014-09,10,60,20,11,11
2014-10,11,66,23,9,13
2014-11,13,64,25,9,22
2014-12,10,59,20,10,13
2015-01,11,62,20,8,14
2015-02,9,63,23,12,12
2015-03,13,69,23,12,12
2015-04,14,61,26,11,13
2015-05,11,60,25,10,11
2015-06,12,55,21,7,13
2015-07,11,64,15,9,9
2015-08,7,71,16,10,15
2015-09,9,69,25,10,14
2015-10,9,74,30,10,13
2015-11,11,68,23,10,26
2015-12,14,66,22,11,16
2016-01,12,63,25,9,13
2016-02,12,69,24,10,20
2016-03,14,72,25,10,15
2016-04,10,73,24,8,15
2016-05,13,72,25,11,17
2016-06,12,66,15,9,14
2016-07,8,62,16,11,12
2016-08,9,69,16,8,15
2016-09,13,67,24,9,12
2016-10,13,76,25,10,12
2016-11,13,75,22,12,18
2016-12,17,70,21,10,14
2017-01,11,74,20,9,15
2017-02,15,75,28,10,16
2017-03,17,74,24,9,15
2017-04,15,80,26,12,20
2017-05,15,72,30,9,18
2017-06,10,68,21,11,16
2017-07,10,71,17,11,13
2017-08,12,69,21,10,14
2017-09,11,77,22,10,17
2017-10,13,82,26,10,18
2017-11,11,77,24,11,20
2017-12,14,75,26,9,18
2018-01,11,78,24,12,17
2018-02,14,85,25,14,17
2018-03,15,76,23,9,18
2018-04,12,82,26,9,19
2018-05,15,74,24,10,18
2018-06,10,77,24,11,22
2018-07,14,89,21,13,19
2018-08,12,83,19,10,15
2018-09,12,88,30,10,16
2018-10,18,93,25,10,20
2018-11,15,80,25,9,17
2018-12,12,81,21,10,16
2019-01,14,81,25,11,19
2019-02,12,93,25,10,19
2019-03,12,89,26,11,21
2019-04,17,86,24,13,20
2019-05,15,81,23,11,26
2019-06,16,80,24,9,18
2019-07,14,80,22,13,18
2019-08,14,78,20,10,19
2019-09,14,88,27,9,22
2019-10,15,77,28,11,20
2019-11,14,80,25,11,19
2019-12,13,79,22,10,20
2020-01,15,80,26,10,22
2020-02,17,80,26,11,24
2020-03,16,79,24,9,19
2020-04,14,75,24,11,15
2020-05,14,77,22,11,14
2020-06,16,77,25,12,20
2020-07,15,77,23,11,19
2020-08,12,81,26,11,22
2020-09,13,83,30,8,27
2020-10,12,81,29,11,20
2020-11,13,73,27,12,21
2020-12,10,81,31,13,15
2021-01,12,81,32,9,20
2021-02,12,88,33,9,21
2021-03,14,82,35,12,21
2021-04,12,92,33,11,21
2021-05,12,85,34,9,22
2021-06,13,81,29,12,21
2021-07,13,86,32,14,16
2021-08,14,79,36,13,23
2021-09,11,91,34,11,23
2021-10,15,87,35,11,27
2021-11,14,97,38,10,25
2021-12,12,85,39,10,23
2022-01,13,83,41,12,21
2022-02,13,90,41,16,21
2022-03,11,99,49,12,26
2022-04,16,94,45,13,26
2022-05,14,85,40,12,25
2022-06,14,85,41,14,24
2022-07,11,77,39,10,25
2022-08,10,79,43,11,25
2022-09,13,84,45,9,24
2022-10,15,79,45,13,25
2022-11,17,79,48,12,23
2022-12,12,80,45,16,25
2023-01,15,86,52,12,26
2023-02,16,92,52,13,40
2023-03,16,100,58,16,35
2023-04,15,84,49,12,31
2023-05,13,83,59,15,37
2023-06,15,76,46,13,27
2023-07,10,74,50,9,27
2023-08,12,78,47,13,27
2023-09,14,82,45,12,25
2023-10,12,82,55,11,25
2023-11,14,84,56,13,29
2023-12,13,78,49,13,27
2024-01,11,89,49,12,28
2024-02,12,87,56,13,37
2024-03,16,84,56,11,30
2024-04,15,90,53,12,27
2024-05,16,77,55,13,29
2024-06,12,78,47,12,27
2024-07,11,86,47,12,31
2024-08,14,81,49,13,30
2024-09,12,86,51,12,23
2024-10,11,80,52,13,25
2024-11,13,78,53,11,32
2024-12,12,75,56,13,38
2025-01,12,90,54,11,31
2025-02,14,90,59,12,34
2025-03,15,98,58,12,30
