Category: All categories

Month,PTSD: (South Carolina),Anxiety: (South Carolina),ADHD: (South Carolina),Aggressive: (South Carolina),Dementia: (South Carolina)
2004-01,0,36,0,0,0
2004-02,0,28,0,0,0
2004-03,0,0,0,0,0
2004-04,0,39,43,0,0
2004-05,0,34,0,0,0
2004-06,0,0,0,0,0
2004-07,0,37,0,0,0
2004-08,0,30,0,0,0
2004-09,0,48,28,0,0
2004-10,0,52,27,0,0
2004-11,0,46,0,0,0
2004-12,0,0,0,0,0
2005-01,0,33,24,0,0
2005-02,0,37,38,0,0
2005-03,0,30,19,0,0
2005-04,0,35,41,0,0
2005-05,0,22,20,20,0
2005-06,0,34,24,0,0
2005-07,0,36,18,0,0
2005-08,0,32,17,0,0
2005-09,0,33,25,0,0
2005-10,0,39,47,0,0
2005-11,0,28,29,0,0
2005-12,0,19,17,0,0
2006-01,0,38,17,0,0
2006-02,0,41,29,12,0
2006-03,0,41,19,0,10
2006-04,0,32,29,0,0
2006-05,0,32,22,0,0
2006-06,0,38,28,0,15
2006-07,0,23,13,0,0
2006-08,0,28,20,0,0
2006-09,0,40,17,0,0
2006-10,0,37,27,9,0
2006-11,9,34,22,9,0
2006-12,0,26,26,0,0
2007-01,0,29,18,0,8
2007-02,0,35,15,0,10
2007-03,7,29,20,0,0
2007-04,0,37,16,0,10
2007-05,0,21,11,8,9
2007-06,8,28,11,7,7
2007-07,11,26,13,8,0
2007-08,0,30,21,0,7
2007-09,0,37,25,7,9
2007-10,0,36,31,7,10
2007-11,0,29,29,7,14
2007-12,0,25,15,8,9
2008-01,0,38,19,6,8
2008-02,0,32,19,0,8
2008-03,0,26,21,10,12
2008-04,7,26,24,11,9
2008-05,6,29,16,9,0
2008-06,7,26,19,9,7
2008-07,0,33,16,7,13
2008-08,0,31,24,6,12
2008-09,0,37,18,7,11
2008-10,7,37,25,7,6
2008-11,8,33,22,8,11
2008-12,7,31,17,8,10
2009-01,7,31,17,8,0
2009-02,12,36,27,11,9
2009-03,8,37,24,11,7
2009-04,5,35,25,12,8
2009-05,12,25,19,8,10
2009-06,0,33,17,9,10
2009-07,8,37,16,10,10
2009-08,0,35,21,11,10
2009-09,9,41,25,9,12
2009-10,10,37,28,13,8
2009-11,9,35,27,9,9
2009-12,10,37,21,7,10
2010-01,6,39,20,11,8
2010-02,6,43,25,11,10
2010-03,7,42,27,10,10
2010-04,11,47,30,9,12
2010-05,5,29,15,12,8
2010-06,0,32,22,11,12
2010-07,8,33,17,16,10
2010-08,8,44,27,12,10
2010-09,7,50,30,10,12
2010-10,10,44,30,11,10
2010-11,11,44,27,9,15
2010-12,10,33,28,12,9
2011-01,8,39,20,11,10
2011-02,9,40,26,10,13
2011-03,10,39,30,11,12
2011-04,11,44,25,11,14
2011-05,8,41,24,9,11
2011-06,8,43,20,10,12
2011-07,9,42,21,11,11
2011-08,6,41,29,11,21
2011-09,9,43,35,11,13
2011-10,9,45,36,11,13
2011-11,12,44,31,11,14
2011-12,8,36,22,9,11
2012-01,10,46,24,10,10
2012-02,9,46,24,11,14
2012-03,9,41,24,12,14
2012-04,11,49,22,11,15
2012-05,6,45,19,12,14
2012-06,9,44,16,11,11
2012-07,9,41,20,10,13
2012-08,8,46,19,10,13
2012-09,10,47,25,12,13
2012-10,11,51,29,10,14
2012-11,9,45,25,11,10
2012-12,10,45,26,10,12
2013-01,8,48,19,11,13
2013-02,10,48,27,12,12
2013-03,12,47,26,10,12
2013-04,11,50,26,13,14
2013-05,12,46,23,12,12
2013-06,9,47,21,12,12
2013-07,9,48,19,11,15
2013-08,9,50,22,11,11
2013-09,11,53,30,11,12
2013-10,12,52,31,12,14
2013-11,13,50,25,11,13
2013-12,12,44,20,10,11
2014-01,10,51,20,12,13
2014-02,10,52,27,11,12
2014-03,11,51,29,12,14
2014-04,13,49,25,11,15
2014-05,12,50,22,12,13
2014-06,11,46,19,10,14
2014-07,12,56,21,11,15
2014-08,9,53,18,11,13
2014-09,11,52,28,11,14
2014-10,12,57,25,11,15
2014-11,14,49,22,11,22
2014-12,13,48,19,12,14
2015-01,11,50,22,11,15
2015-02,12,49,24,13,16
2015-03,14,58,27,12,14
2015-04,17,56,24,12,16
2015-05,11,53,23,11,14
2015-06,12,56,17,12,13
2015-07,13,66,20,9,11
2015-08,11,67,22,11,14
2015-09,13,63,25,11,14
2015-10,14,63,25,10,16
2015-11,15,62,24,11,29
2015-12,14,59,21,11,13
2016-01,12,59,20,11,14
2016-02,12,65,23,11,18
2016-03,14,64,24,14,15
2016-04,16,72,24,14,18
2016-05,12,61,20,13,19
2016-06,13,63,18,13,19
2016-07,14,62,17,11,16
2016-08,13,65,20,11,15
2016-09,13,65,25,12,14
2016-10,16,69,23,12,17
2016-11,13,63,23,11,17
2016-12,16,63,20,12,15
2017-01,13,72,22,12,15
2017-02,12,68,24,13,18
2017-03,14,72,25,12,20
2017-04,16,72,24,13,19
2017-05,14,71,25,11,17
2017-06,11,65,21,12,19
2017-07,14,69,19,12,17
2017-08,12,71,21,10,16
2017-09,12,66,20,12,15
2017-10,13,76,23,12,16
2017-11,16,71,24,12,18
2017-12,12,65,20,10,19
2018-01,13,73,20,10,18
2018-02,14,74,24,14,19
2018-03,15,74,25,13,20
2018-04,14,79,23,14,21
2018-05,12,72,21,13,20
2018-06,14,76,19,12,18
2018-07,13,80,18,13,19
2018-08,14,83,21,13,18
2018-09,12,79,23,11,19
2018-10,16,79,25,13,19
2018-11,17,76,24,11,20
2018-12,12,74,21,12,20
2019-01,13,80,24,11,20
2019-02,13,79,26,13,20
2019-03,14,85,26,13,20
2019-04,17,78,25,14,19
2019-05,16,75,21,12,23
2019-06,16,76,19,12,24
2019-07,15,82,19,13,24
2019-08,13,84,23,10,19
2019-09,14,73,27,12,21
2019-10,14,82,27,11,23
2019-11,16,76,26,12,20
2019-12,14,72,22,11,24
2020-01,14,80,25,12,24
2020-02,16,79,25,12,24
2020-03,15,73,23,13,22
2020-04,14,75,20,12,18
2020-05,14,72,19,13,18
2020-06,14,76,20,13,21
