Category: All categories

Month,PTSD: (South Dakota),Anxiety: (South Dakota),ADHD: (South Dakota),Aggressive: (South Dakota),Dementia: (South Dakota)
2004-01,0,0,0,0,0
2004-02,0,86,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,99,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,100,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,44,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,30,30,0,0
2006-04,0,33,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,31,0,0,36
2006-09,0,32,0,0,0
2006-10,0,0,0,0,0
2006-11,0,30,0,0,0
2006-12,0,35,0,0,0
2007-01,0,24,21,0,0
2007-02,24,24,0,0,0
2007-03,0,35,0,0,0
2007-04,0,27,30,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,31,0,0,0
2007-09,0,25,0,0,0
2007-10,0,32,0,0,0
2007-11,0,20,0,0,0
2007-12,0,17,21,0,0
2008-01,0,26,29,0,0
2008-02,0,23,22,0,0
2008-03,0,36,0,0,0
2008-04,14,27,17,0,0
2008-05,0,0,17,0,0
2008-06,0,22,0,0,0
2008-07,0,26,0,0,0
2008-08,0,22,0,0,0
2008-09,0,27,28,0,0
2008-10,0,38,17,0,0
2008-11,0,29,0,0,0
2008-12,0,14,22,0,0
2009-01,0,22,0,0,0
2009-02,0,20,0,0,0
2009-03,0,29,21,0,0
2009-04,0,28,13,0,0
2009-05,0,26,0,0,0
2009-06,0,31,18,0,0
2009-07,0,25,15,0,0
2009-08,0,22,0,0,0
2009-09,0,28,15,0,0
2009-10,0,23,24,0,0
2009-11,0,18,21,0,0
2009-12,0,30,19,0,0
2010-01,0,24,11,0,0
2010-02,0,34,23,0,11
2010-03,12,30,24,0,0
2010-04,0,32,23,0,10
2010-05,0,20,26,0,0
2010-06,0,37,0,0,0
2010-07,0,27,0,0,0
2010-08,0,37,0,0,18
2010-09,0,35,13,0,14
2010-10,0,33,17,10,14
2010-11,0,27,22,0,12
2010-12,0,25,13,0,0
2011-01,9,30,18,0,8
2011-02,8,35,8,8,9
2011-03,9,33,21,0,14
2011-04,8,31,29,9,16
2011-05,0,31,12,0,0
2011-06,0,29,21,0,0
2011-07,0,32,11,0,12
2011-08,0,21,16,0,10
2011-09,0,30,18,0,9
2011-10,8,37,24,0,13
2011-11,12,33,26,0,13
2011-12,0,22,26,0,9
2012-01,9,39,22,0,7
2012-02,8,39,17,0,9
2012-03,10,33,13,0,12
2012-04,0,34,21,0,18
2012-05,13,32,15,9,9
2012-06,0,26,15,0,0
2012-07,0,43,0,0,9
2012-08,10,35,15,0,7
2012-09,0,37,19,8,8
2012-10,6,38,18,6,8
2012-11,7,43,17,10,15
2012-12,0,31,20,9,9
2013-01,8,37,17,0,8
2013-02,7,36,20,7,9
2013-03,6,33,16,6,13
2013-04,10,51,20,8,12
2013-05,6,39,15,0,8
2013-06,8,32,16,7,8
2013-07,0,34,13,10,6
2013-08,0,34,16,7,9
2013-09,6,38,17,11,11
2013-10,10,32,19,11,11
2013-11,11,35,19,6,13
2013-12,11,34,18,9,0
2014-01,8,41,13,8,7
2014-02,6,39,19,8,10
2014-03,11,40,26,5,9
2014-04,7,40,21,7,6
2014-05,8,39,18,7,14
2014-06,9,36,14,8,14
2014-07,6,29,12,11,15
2014-08,6,40,11,0,10
2014-09,12,45,18,6,9
2014-10,11,50,17,9,14
2014-11,17,40,20,9,14
2014-12,7,45,15,8,9
2015-01,14,45,20,6,12
2015-02,11,51,17,7,13
2015-03,10,46,17,9,15
2015-04,11,52,20,11,13
2015-05,9,43,21,8,12
2015-06,6,44,15,11,14
2015-07,13,55,10,10,14
2015-08,9,50,12,9,11
2015-09,9,53,20,9,18
2015-10,7,47,21,10,15
2015-11,15,42,19,8,21
2015-12,10,56,18,5,9
2016-01,8,51,15,7,8
2016-02,11,51,24,4,13
2016-03,8,55,14,6,13
2016-04,6,52,18,11,11
2016-05,11,52,15,11,11
2016-06,9,44,10,10,14
2016-07,5,50,11,9,14
2016-08,0,48,17,7,11
2016-09,9,51,18,7,13
2016-10,11,55,18,7,16
2016-11,13,49,15,6,12
2016-12,9,52,20,7,9
2017-01,9,49,18,8,11
2017-02,7,53,25,8,12
2017-03,11,59,20,8,10
2017-04,12,55,19,8,19
2017-05,7,58,18,8,14
2017-06,9,41,17,10,12
2017-07,7,54,9,10,14
2017-08,7,47,15,8,11
2017-09,9,48,14,10,12
2017-10,10,58,17,10,13
2017-11,17,52,21,10,15
2017-12,10,57,17,10,12
2018-01,10,61,17,8,14
2018-02,10,56,19,10,14
2018-03,11,60,19,8,15
2018-04,13,63,25,11,12
2018-05,8,54,18,9,13
2018-06,7,60,15,10,15
2018-07,10,62,16,9,14
2018-08,7,58,13,6,10
2018-09,8,61,19,8,14
2018-10,14,63,24,10,16
2018-11,13,63,20,10,16
2018-12,11,63,17,7,17
2019-01,9,58,18,8,17
2019-02,11,62,22,8,10
2019-03,12,65,16,8,12
2019-04,8,66,22,10,13
2019-05,11,59,13,9,21
2019-06,12,52,17,10,16
2019-07,9,58,13,9,14
2019-08,9,59,19,10,15
2019-09,11,67,18,7,16
2019-10,14,68,26,9,16
2019-11,11,63,19,10,17
2019-12,10,55,18,8,15
2020-01,12,60,21,10,17
2020-02,16,66,26,9,23
2020-03,9,61,14,8,13
2020-04,9,56,15,11,10
2020-05,7,59,14,7,14
2020-06,11,53,16,10,13
2020-07,10,50,17,8,18
2020-08,7,60,18,9,17
2020-09,10,66,26,12,21
2020-10,9,62,27,6,16
2020-11,10,59,24,8,15
2020-12,10,60,22,10,19
2021-01,11,66,25,7,13
2021-02,11,59,28,10,16
2021-03,7,70,26,11,13
2021-04,11,71,27,13,19
2021-05,12,63,22,12,16
2021-06,9,56,25,11,15
2021-07,9,57,29,9,15
2021-08,9,69,33,7,14
2021-09,8,67,30,9,16
2021-10,11,65,34,10,17
2021-11,11,62,34,9,15
2021-12,9,57,31,10,15
2022-01,9,69,35,10,12
2022-02,14,68,32,10,17
2022-03,9,70,38,12,20
2022-04,12,66,38,11,19
2022-05,13,63,34,9,17
2022-06,10,58,32,9,14
2022-07,10,59,31,10,15
2022-08,8,60,36,10,15
2022-09,10,62,39,12,15
2022-10,12,66,37,8,16
2022-11,11,65,38,10,16
2022-12,10,55,31,8,12
2023-01,11,61,38,11,15
2023-02,11,70,47,11,23
2023-03,13,68,42,13,18
2023-04,12,69,42,12,20
2023-05,12,60,40,12,18
2023-06,12,51,35,12,19
2023-07,7,55,38,10,14
2023-08,9,56,32,10,19
2023-09,9,65,37,11,14
2023-10,10,63,39,12,22
2023-11,8,63,44,11,17
2023-12,11,60,37,11,22
2024-01,7,66,38,11,18
2024-02,10,64,46,11,21
2024-03,8,56,42,13,18
2024-04,11,66,43,14,24
2024-05,10,55,40,13,21
2024-06,10,60,37,11,18
2024-07,11,59,37,11,25
2024-08,9,60,36,11,22
2024-09,9,57,45,13,19
2024-10,13,66,42,12,22
2024-11,10,58,42,11,18
2024-12,10,51,44,8,20
2025-01,12,63,43,10,20
2025-02,10,61,45,13,22
2025-03,11,78,44,11,22
