Category: All categories

Month,PTSD: (Texas),Anxiety: (Texas),ADHD: (Texas),Aggressive: (Texas),Dementia: (Texas)
2004-01,0,34,24,7,6
2004-02,0,37,27,10,5
2004-03,0,36,32,13,5
2004-04,7,33,27,8,7
2004-05,0,28,20,5,6
2004-06,0,34,15,8,4
2004-07,0,40,20,6,9
2004-08,4,34,17,8,8
2004-09,0,34,27,8,8
2004-10,6,35,23,8,7
2004-11,4,33,24,10,9
2004-12,4,34,21,7,7
2005-01,4,36,23,8,8
2005-02,4,33,24,7,7
2005-03,5,30,24,7,10
2005-04,6,34,20,8,10
2005-05,4,31,19,7,7
2005-06,4,36,17,8,8
2005-07,2,36,16,9,7
2005-08,5,36,15,9,6
2005-09,4,30,20,7,7
2005-10,7,33,22,9,9
2005-11,3,31,22,8,7
2005-12,3,26,14,7,6
2006-01,4,28,16,7,8
2006-02,3,27,22,7,10
2006-03,5,34,22,8,7
2006-04,5,33,21,8,9
2006-05,3,29,14,7,9
2006-06,6,31,15,8,6
2006-07,4,30,14,8,7
2006-08,4,31,18,8,7
2006-09,4,30,20,7,6
2006-10,3,31,24,7,7
2006-11,4,30,18,8,9
2006-12,3,26,14,7,7
2007-01,4,30,16,8,7
2007-02,4,29,18,7,5
2007-03,5,29,16,8,6
2007-04,6,31,19,7,9
2007-05,4,27,15,9,7
2007-06,4,27,12,9,8
2007-07,4,30,13,9,6
2007-08,5,31,18,7,8
2007-09,4,32,22,8,7
2007-10,6,30,23,7,8
2007-11,6,29,22,9,8
2007-12,5,25,18,8,8
2008-01,4,32,17,7,8
2008-02,5,31,23,7,7
2008-03,6,30,19,8,9
2008-04,5,31,20,8,10
2008-05,5,30,17,7,8
2008-06,6,31,15,8,8
2008-07,6,35,15,8,13
2008-08,4,29,19,8,8
2008-09,5,33,22,9,8
2008-10,6,34,24,7,9
2008-11,7,29,22,9,9
2008-12,6,28,19,9,8
2009-01,5,31,17,9,9
2009-02,6,34,21,7,8
2009-03,7,34,19,10,8
2009-04,8,35,21,10,9
2009-05,6,32,18,10,9
2009-06,5,34,17,9,9
2009-07,6,35,16,11,8
2009-08,6,36,16,9,9
2009-09,6,36,23,11,10
2009-10,7,38,23,11,9
2009-11,9,36,23,11,11
2009-12,6,35,18,11,10
2010-01,7,35,19,9,10
2010-02,7,41,22,10,9
2010-03,7,36,27,11,10
2010-04,8,40,28,11,10
2010-05,7,36,23,10,9
2010-06,6,35,18,10,9
2010-07,8,36,16,8,9
2010-08,7,35,16,8,8
2010-09,7,37,23,8,9
2010-10,6,33,22,9,10
2010-11,9,36,21,8,11
2010-12,7,32,17,9,8
2011-01,6,37,20,9,8
2011-02,7,37,20,9,10
