Category: All categories

Month,PTSD: (Utah),Anxiety: (Utah),ADHD: (Utah),Aggressive: (Utah),Dementia: (Utah)
2004-01,0,0,0,0,0
2004-02,0,0,32,0,0
2004-03,0,38,0,0,0
2004-04,0,26,28,0,0
2004-05,0,29,0,0,0
2004-06,0,36,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,56,25,0,0
2004-10,0,27,0,0,0
2004-11,0,29,0,0,0
2004-12,0,23,23,0,0
2005-01,0,29,23,0,0
2005-02,0,36,45,21,0
2005-03,0,39,17,0,0
2005-04,0,48,20,0,0
2005-05,0,28,22,0,0
2005-06,0,35,25,0,0
2005-07,0,33,0,0,0
2005-08,0,37,0,0,0
2005-09,0,32,16,0,0
2005-10,0,42,29,0,0
2005-11,0,46,23,0,0
2005-12,0,36,18,0,0
2006-01,0,34,21,0,0
2006-02,0,24,14,0,0
2006-03,0,30,16,0,0
2006-04,0,35,14,0,0
2006-05,0,27,10,0,0
2006-06,0,28,12,0,0
2006-07,0,34,18,0,0
2006-08,0,27,28,0,0
2006-09,0,35,20,10,0
2006-10,0,14,17,0,0
2006-11,0,28,18,12,10
2006-12,0,27,15,0,0
2007-01,0,26,0,0,0
2007-02,7,30,16,0,8
2007-03,0,29,15,7,0
2007-04,7,31,21,8,0
2007-05,0,29,18,0,0
2007-06,0,24,13,0,0
2007-07,0,29,11,9,0
2007-08,0,32,17,7,0
2007-09,6,29,15,6,0
2007-10,7,32,20,6,0
2007-11,7,31,17,8,0
2007-12,0,18,11,0,7
2008-01,0,36,17,7,6
2008-02,0,33,18,6,0
2008-03,0,32,16,0,0
2008-04,6,33,16,12,6
2008-05,0,25,13,7,0
2008-06,7,24,14,0,7
2008-07,0,27,12,0,9
2008-08,0,35,10,8,0
2008-09,0,33,18,9,7
2008-10,5,25,17,7,5
2008-11,0,21,21,7,0
2008-12,7,28,19,9,0
2009-01,0,29,17,8,9
2009-02,0,34,19,8,6
2009-03,8,30,19,8,9
2009-04,8,38,21,9,0
2009-05,0,28,18,11,0
2009-06,0,35,20,7,8
2009-07,0,41,12,10,6
2009-08,0,33,14,8,8
2009-09,6,37,23,12,0
2009-10,5,37,20,6,8
2009-11,7,40,21,9,10
2009-12,0,33,18,8,9
2010-01,0,35,19,11,7
2010-02,7,39,21,13,7
2010-03,5,34,24,10,6
2010-04,10,34,23,11,5
2010-05,0,34,17,9,6
2010-06,7,44,15,6,0
2010-07,7,37,11,8,7
2010-08,0,40,19,13,6
2010-09,7,44,26,7,7
2010-10,8,43,22,8,10
2010-11,12,39,22,10,0
2010-12,6,29,14,6,12
2011-01,4,40,17,9,7
2011-02,8,42,24,8,8
2011-03,6,35,21,8,6
2011-04,9,44,17,7,7
2011-05,6,35,20,8,7
2011-06,9,42,14,9,6
2011-07,9,40,22,9,7
2011-08,6,45,21,10,8
2011-09,7,41,23,7,7
2011-10,8,37,23,9,6
2011-11,9,43,21,7,7
2011-12,7,35,15,8,6
2012-01,7,37,20,9,6
2012-02,7,42,19,9,9
2012-03,7,41,18,10,6
