Category: All categories

Month,PTSD: (Vermont),Anxiety: (Vermont),ADHD: (Vermont),Aggressive: (Vermont),Dementia: (Vermont)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,48,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,34,38,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,50,0,0,0
2005-08,0,51,0,0,0
2005-09,0,46,0,0,0
2005-10,0,40,31,0,0
2005-11,0,32,30,0,0
2005-12,0,48,0,0,0
2006-01,0,35,0,0,0
2006-02,0,31,0,0,0
2006-03,0,47,24,0,0
2006-04,0,0,0,0,0
2006-05,0,38,0,0,0
2006-06,0,40,28,0,0
2006-07,0,52,0,0,0
2006-08,0,36,0,0,0
2006-09,0,27,38,0,0
2006-10,0,36,0,0,0
2006-11,0,0,27,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,29,0,0,0
2007-03,0,30,0,0,0
2007-04,0,37,0,0,0
2007-05,0,39,32,0,26
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,31,25,0,0
2007-10,0,30,23,0,0
2007-11,26,28,0,0,0
2007-12,0,28,0,0,0
2008-01,0,24,23,0,0
2008-02,0,33,22,0,0
2008-03,0,20,33,0,0
2008-04,0,41,23,0,0
2008-05,0,48,24,0,22
2008-06,0,0,0,0,0
2008-07,0,36,0,0,0
2008-08,0,0,0,0,0
2008-09,20,51,0,0,0
2008-10,0,46,24,0,0
2008-11,0,56,0,0,0
2008-12,0,38,0,0,0
2009-01,22,37,0,0,0
2009-02,0,40,24,0,0
2009-03,0,35,24,20,0
2009-04,0,39,21,0,0
2009-05,0,33,31,0,0
2009-06,0,34,0,0,0
2009-07,0,45,0,0,0
2009-08,0,43,0,0,0
2009-09,0,37,0,0,0
2009-10,0,42,23,0,0
2009-11,10,37,15,0,0
2009-12,0,19,19,0,0
2010-01,7,35,15,0,0
2010-02,0,33,15,9,9
2010-03,0,41,15,8,7
2010-04,9,36,16,0,6
2010-05,0,32,9,8,6
2010-06,0,37,14,9,7
2010-07,6,41,10,6,8
2010-08,0,35,11,6,0
2010-09,0,33,19,7,0
2010-10,6,42,12,5,0
2010-11,0,36,13,10,9
2010-12,10,25,14,0,0
2011-01,0,33,22,10,10
2011-02,12,39,23,0,0
2011-03,12,45,25,0,8
2011-04,21,57,24,11,9
2011-05,0,36,33,9,0
2011-06,9,34,17,0,9
2011-07,9,38,12,0,9
2011-08,0,41,17,9,15
2011-09,12,45,21,0,12
2011-10,9,46,24,0,9
2011-11,18,45,25,11,10
2011-12,14,37,25,9,8
2012-01,8,50,21,0,10
2012-02,10,44,19,7,11
2012-03,16,51,26,7,9
2012-04,16,37,27,8,12
2012-05,11,43,21,10,11
2012-06,12,33,15,15,17
2012-07,9,47,20,8,12
2012-08,12,32,21,0,12
2012-09,0,54,23,0,10
2012-10,13,45,22,11,12
2012-11,10,48,29,10,12
2012-12,14,45,24,9,9
2013-01,11,52,20,11,12
2013-02,12,49,21,11,0
2013-03,10,53,21,7,9
2013-04,13,44,26,8,11
2013-05,11,37,19,14,12
2013-06,8,50,14,0,17
2013-07,11,43,15,0,13
2013-08,7,49,17,8,13
2013-09,16,49,23,6,12
2013-10,11,49,27,7,15
2013-11,13,54,22,8,13
2013-12,8,45,21,9,10
2014-01,12,51,19,6,8
2014-02,13,45,28,9,11
2014-03,15,55,28,10,13
2014-04,16,50,25,11,13
2014-05,15,42,20,11,14
2014-06,16,57,16,8,15
2014-07,11,53,7,0,14
2014-08,8,48,14,11,16
2014-09,11,61,25,8,10
2014-10,14,59,28,13,18
2014-11,17,51,30,11,17
2014-12,13,54,15,9,17
2015-01,8,49,22,8,13
2015-02,11,54,18,11,13
2015-03,16,64,23,11,13
2015-04,18,59,25,13,15
2015-05,22,53,18,8,13
2015-06,14,51,15,9,15
2015-07,15,54,21,9,14
2015-08,12,63,14,14,17
2015-09,15,67,19,13,9
2015-10,13,62,22,10,14
2015-11,18,60,25,9,26
2015-12,14,64,24,10,10
2016-01,12,71,18,11,11
2016-02,10,61,20,6,11
2016-03,15,63,22,8,17
2016-04,17,67,27,12,18
2016-05,20,60,24,8,14
2016-06,19,63,22,12,11
2016-07,17,54,15,10,15
2016-08,12,66,15,9,17
2016-09,14,71,18,7,11
2016-10,16,63,23,7,15
2016-11,17,70,24,9,14
2016-12,18,74,18,8,13
2017-01,13,77,23,9,17
2017-02,17,70,22,11,18
2017-03,17,67,23,11,15
2017-04,27,69,22,6,15
2017-05,21,78,27,8,17
2017-06,16,69,17,11,13
2017-07,17,74,18,11,19
2017-08,13,65,14,13,17
2017-09,10,80,20,15,11
2017-10,11,81,24,13,17
2017-11,20,68,27,9,16
2017-12,16,68,18,11,18
2018-01,13,79,26,9,17
2018-02,13,80,27,6,16
2018-03,12,98,27,15,18
2018-04,20,81,20,11,17
2018-05,16,73,18,13,18
2018-06,15,82,19,10,13
2018-07,13,73,19,8,16
2018-08,12,79,15,11,17
2018-09,17,73,24,11,15
2018-10,16,89,26,10,18
2018-11,16,88,20,10,14
2018-12,15,74,25,10,21
2019-01,14,88,26,8,17
2019-02,17,93,26,14,21
2019-03,17,81,25,10,20
2019-04,24,92,27,10,22
2019-05,17,76,24,11,31
2019-06,16,66,21,15,21
2019-07,13,85,15,14,22
2019-08,16,78,21,7,20
2019-09,15,84,25,11,21
2019-10,20,86,26,12,17
2019-11,20,92,33,12,20
2019-12,15,81,27,7,20
2020-01,24,76,30,10,24
2020-02,17,81,27,12,23
2020-03,15,76,19,7,16
2020-04,10,74,19,10,14
2020-05,14,74,18,12,13
2020-06,15,68,19,10,22
2020-07,12,83,21,13,16
2020-08,12,74,22,10,28
2020-09,17,84,29,9,28
2020-10,10,88,27,13,18
2020-11,13,92,26,12,20
2020-12,14,80,29,13,18
2021-01,11,84,28,13,21
2021-02,13,90,33,13,19
2021-03,22,86,41,16,17
2021-04,17,84,35,18,26
2021-05,17,78,32,11,18
2021-06,14,78,29,15,24
2021-07,16,84,37,13,23
2021-08,11,83,40,9,27
2021-09,13,93,44,15,25
2021-10,16,100,42,16,23
2021-11,16,86,45,10,27
2021-12,10,77,38,13,32
2022-01,13,80,45,8,19
2022-02,14,89,46,10,22
2022-03,16,95,60,16,22
2022-04,15,90,51,11,26
2022-05,19,86,44,12,23
2022-06,17,65,48,16,26
2022-07,17,82,39,12,24
2022-08,16,83,45,11,24
2022-09,17,83,47,12,26
2022-10,17,82,58,15,25
2022-11,14,74,57,12,26
2022-12,15,79,52,15,25
2023-01,17,88,56,9,24
2023-02,24,91,56,13,39
2023-03,17,93,71,14,34
2023-04,15,87,57,12,28
2023-05,14,83,62,14,28
2023-06,20,75,50,16,35
2023-07,18,69,49,14,26
2023-08,13,73,48,15,29
2023-09,15,79,59,12,27
2023-10,20,88,63,17,25
2023-11,19,82,55,12,35
2023-12,15,81,49,9,26
2024-01,16,83,56,13,25
2024-02,16,81,61,14,31
2024-03,16,86,66,16,31
2024-04,16,78,60,14,27
2024-05,15,72,53,13,30
2024-06,14,73,56,10,34
2024-07,12,71,48,9,33
2024-08,14,78,58,13,29
2024-09,15,81,61,13,28
2024-10,15,87,65,16,31
2024-11,13,87,67,14,27
2024-12,18,74,66,9,34
2025-01,15,87,62,13,28
2025-02,12,77,68,7,33
2025-03,15,90,69,15,31
