Category: All categories

Month,PTSD: (Virginia),Anxiety: (Virginia),ADHD: (Virginia),Aggressive: (Virginia),Dementia: (Virginia)
2004-01,0,36,21,8,8
2004-02,0,34,19,9,0
2004-03,0,38,27,0,0
2004-04,0,38,22,7,0
2004-05,0,37,18,0,8
2004-06,0,35,19,10,7
2004-07,0,33,17,7,0
2004-08,0,34,17,7,0
2004-09,0,44,24,8,6
2004-10,0,36,24,7,9
2004-11,6,31,32,9,11
2004-12,0,31,22,5,6
2005-01,7,31,20,7,8
2005-02,0,36,21,0,10
2005-03,6,33,21,6,8
2005-04,6,32,25,7,9
2005-05,0,32,24,6,9
2005-06,4,36,24,7,7
2005-07,0,29,19,7,7
2005-08,0,37,14,10,10
2005-09,6,35,18,10,8
2005-10,4,35,21,9,7
2005-11,7,33,23,12,3
2005-12,4,29,22,10,8
2006-01,6,34,20,8,7
2006-02,4,32,26,8,9
2006-03,7,32,25,8,8
2006-04,5,34,19,8,9
2006-05,7,33,21,8,6
2006-06,5,32,14,7,6
2006-07,5,34,15,6,7
2006-08,6,31,18,8,9
2006-09,6,32,22,6,6
2006-10,6,33,23,7,9
2006-11,8,33,20,9,7
2006-12,7,31,16,6,7
2007-01,5,31,19,6,8
2007-02,4,31,21,7,6
2007-03,6,29,24,10,7
2007-04,6,27,21,8,9
2007-05,6,31,21,9,8
2007-06,8,32,13,11,8
2007-07,6,28,13,7,9
2007-08,4,31,17,7,6
2007-09,7,33,20,6,6
2007-10,7,31,22,8,9
2007-11,7,30,19,8,9
2007-12,5,25,13,9,7
2008-01,6,30,19,7,7
2008-02,5,29,17,7,7
2008-03,6,28,20,7,8
2008-04,6,25,17,7,9
2008-05,5,25,14,7,6
2008-06,5,24,11,6,6
2008-07,4,21,11,6,9
2008-08,4,22,13,6,6
2008-09,4,26,14,5,5
2008-10,4,23,16,6,5
2008-11,5,23,15,6,5
2008-12,5,21,12,6,6
2009-01,4,22,11,6,5
2009-02,5,22,14,7,5
2009-03,4,21,13,6,5
2009-04,5,20,13,5,6
2009-05,4,19,10,6,5
2009-06,3,20,9,5,5
2009-07,3,18,8,6,5
2009-08,3,20,8,6,4
2009-09,3,19,12,5,5
2009-10,4,20,12,5,5
2009-11,5,19,11,6,5
2009-12,4,20,10,5,4
2010-01,3,22,9,6,5
2010-02,4,20,11,5,5
2010-03,4,20,12,6,5
2010-04,4,20,13,5,5
2010-05,3,20,11,5,4
2010-06,3,19,9,4,4
2010-07,4,21,9,5,4
2010-08,3,20,9,5,4
2010-09,4,22,11,5,5
2010-10,4,22,11,5,5
2010-11,4,22,12,5,5
2010-12,4,21,10,5,5
2011-01,7,38,20,10,10
2011-02,8,39,24,8,11
2011-03,9,42,28,11,12
2011-04,10,42,24,11,10
2011-05,9,40,24,9,9
2011-06,9,39,20,10,8
2011-07,7,38,22,11,13
2011-08,8,43,23,11,15
2011-09,9,47,28,10,10
2011-10,8,49,31,12,10
2011-11,12,45,32,10,11
2011-12,10,43,27,10,10
2012-01,9,54,25,11,11
2012-02,9,53,26,11,12
2012-03,12,50,25,10,11
2012-04,11,47,25,12,12
2012-05,9,48,22,12,12
2012-06,9,45,20,10,10
2012-07,10,49,18,11,11
2012-08,9,48,23,11,11
2012-09,9,54,24,11,12
2012-10,11,49,26,11,12
2012-11,11,49,25,11,11
2012-12,11,51,24,12,10
2013-01,9,51,24,11,11
2013-02,13,54,25,11,11
2013-03,11,51,23,12,11
2013-04,13,56,25,12,13
2013-05,12,52,24,11,11
2013-06,11,48,20,12,12
2013-07,9,54,19,12,11
2013-08,9,55,19,11,11
2013-09,10,55,25,11,11
2013-10,10,53,25,11,12
2013-11,12,53,25,12,11
2013-12,10,51,22,11,11
2014-01,10,54,22,11,11
2014-02,11,56,25,11,13
2014-03,12,57,26,12,13
2014-04,11,48,24,12,10
2014-05,9,48,20,11,12
2014-06,9,44,18,11,12
2014-07,7,37,12,9,8
2014-08,6,42,12,7,8
2014-09,6,41,16,8,9
2014-10,7,36,16,7,8
2014-11,7,33,15,7,11
2014-12,6,31,12,7,7
2015-01,6,30,11,6,7
2015-02,6,29,11,6,7
2015-03,6,32,11,6,7
2015-04,7,32,12,7,7
2015-05,6,29,11,6,7
2015-06,7,32,11,7,7
2015-07,13,60,20,12,13
2015-08,12,66,20,12,15
2015-09,13,69,22,12,14
2015-10,14,66,26,12,15
2015-11,15,63,26,13,28
2015-12,15,66,22,13,15
2016-01,13,71,22,11,15
2016-02,14,71,26,11,17
2016-03,14,69,26,12,15
2016-04,16,66,27,13,16
2016-05,14,69,24,13,16
2016-06,15,70,19,12,18
2016-07,13,61,19,12,16
2016-08,11,68,20,11,15
2016-09,13,69,25,12,16
2016-10,16,66,26,12,15
2016-11,14,61,24,11,15
2016-12,14,62,23,11,15
2017-01,12,63,23,12,14
2017-02,15,75,27,12,19
2017-03,14,70,28,12,18
2017-04,13,71,28,13,19
2017-05,14,67,29,12,16
2017-06,12,70,22,11,15
2017-07,13,67,21,13,15
2017-08,12,73,20,11,15
2017-09,13,70,24,11,14
2017-10,13,72,29,11,18
2017-11,14,70,28,12,20
2017-12,13,65,25,12,18
2018-01,13,70,25,12,19
2018-02,14,76,29,12,19
2018-03,14,77,30,12,19
2018-04,14,82,29,13,20
2018-05,14,70,26,13,18
2018-06,13,79,21,13,19
2018-07,13,80,22,13,21
2018-08,13,77,23,12,19
2018-09,14,82,26,11,19
2018-10,17,83,29,12,21
2018-11,17,80,29,12,20
2018-12,14,77,26,12,19
2019-01,14,81,28,13,19
2019-02,16,79,31,12,20
2019-03,17,87,31,13,20
2019-04,18,81,28,14,19
2019-05,16,75,29,12,24
2019-06,18,78,27,12,22
2019-07,14,77,22,13,23
2019-08,14,77,24,12,22
2019-09,14,78,31,13,21
2019-10,17,88,33,12,21
2019-11,16,79,31,11,22
2019-12,15,69,26,12,23
2020-01,16,77,30,12,24
2020-02,18,86,32,13,25
2020-03,17,77,24,11,21
2020-04,15,80,24,14,18
2020-05,15,76,23,14,20
2020-06,16,81,26,13,24
2020-07,16,87,26,13,21
2020-08,15,89,29,12,24
2020-09,15,92,34,12,29
2020-10,14,91,34,13,23
2020-11,14,77,28,13,22
2020-12,14,82,30,12,21
2021-01,15,87,32,13,20
2021-02,15,84,38,14,22
2021-03,16,83,38,14,24
2021-04,15,87,38,14,24
2021-05,15,85,41,15,24
2021-06,17,83,38,13,25
2021-07,15,83,41,13,23
2021-08,15,82,43,13,22
2021-09,13,93,45,14,22
2021-10,15,85,48,13,26
2021-11,15,81,46,14,24
2021-12,15,86,43,13,24
2022-01,13,85,47,14,24
2022-02,17,97,60,15,28
2022-03,16,100,47,16,26
2022-04,17,93,49,16,25
2022-05,18,86,50,14,24
2022-06,16,77,44,15,25
2022-07,15,85,44,15,26
2022-08,15,88,47,14,25
2022-09,15,88,52,15,23
2022-10,17,95,53,15,26
2022-11,15,82,49,12,27
2022-12,15,83,49,14,24
2023-01,16,97,56,15,27
2023-02,17,91,58,16,40
2023-03,17,100,54,16,32
2023-04,16,86,60,15,29
2023-05,16,85,55,15,28
2023-06,16,76,50,15,30
2023-07,15,78,55,15,27
2023-08,14,79,53,14,27
2023-09,15,78,54,13,28
2023-10,16,82,55,14,26
2023-11,14,73,55,13,29
2023-12,13,69,48,13,29
2024-01,15,80,57,15,32
2024-02,17,82,61,14,39
2024-03,14,76,51,14,33
2024-04,17,82,62,14,31
2024-05,15,76,53,14,28
2024-06,15,84,55,14,34
2024-07,14,86,54,15,37
2024-08,16,80,56,15,32
2024-09,14,80,61,14,30
2024-10,17,87,64,15,34
2024-11,14,79,57,14,32
2024-12,16,81,62,13,35
2025-01,16,80,59,14,33
2025-02,17,87,61,15,33
2025-03,16,96,66,16,35
