Category: All categories

Month,PTSD: (Washington),Anxiety: (Washington),ADHD: (Washington),Aggressive: (Washington),Dementia: (Washington)
2004-01,0,32,22,9,0
2004-02,0,32,23,0,7
2004-03,0,36,25,13,0
2004-04,0,33,25,11,11
2004-05,7,36,23,10,7
2004-06,0,32,10,11,8
2004-07,0,30,11,11,7
2004-08,7,32,15,9,10
2004-09,0,34,21,11,0
2004-10,0,36,24,9,9
2004-11,6,36,31,0,7
2004-12,0,29,20,5,8
2005-01,5,36,22,6,13
2005-02,6,38,25,11,8
2005-03,0,32,23,7,7
2005-04,6,41,20,8,7
2005-05,9,36,20,8,8
2005-06,6,31,22,11,7
2005-07,7,37,17,9,5
2005-08,7,34,13,7,9
2005-09,7,31,20,6,8
2005-10,5,33,17,6,10
2005-11,9,32,27,7,7
2005-12,4,27,13,10,5
2006-01,5,32,20,6,10
2006-02,9,41,25,10,8
2006-03,4,31,24,8,7
2006-04,10,34,20,11,11
2006-05,6,30,18,11,9
2006-06,5,28,14,9,5
2006-07,6,30,13,7,8
2006-08,6,28,13,9,8
2006-09,5,28,18,9,7
2006-10,7,26,20,8,10
2006-11,5,33,17,7,7
2006-12,4,29,15,6,11
2007-01,5,32,15,6,9
2007-02,7,27,18,5,7
2007-03,9,28,18,8,8
2007-04,6,31,18,8,7
2007-05,6,30,16,8,8
2007-06,4,30,15,11,8
2007-07,7,27,13,8,8
2007-08,6,27,14,8,9
2007-09,7,35,18,8,5
2007-10,7,34,21,8,8
2007-11,7,34,18,8,9
2007-12,6,28,13,5,8
2008-01,6,35,17,7,9
2008-02,5,28,18,9,9
2008-03,7,32,19,9,10
2008-04,7,30,20,9,10
2008-05,10,30,18,9,9
2008-06,6,31,15,10,8
2008-07,5,33,11,8,9
2008-08,5,34,15,10,8
2008-09,6,32,15,9,10
2008-10,7,38,21,8,7
2008-11,8,33,22,10,9
2008-12,7,33,15,11,8
2009-01,6,34,17,7,9
2009-02,10,33,18,11,9
2009-03,9,35,18,8,9
2009-04,8,36,20,11,9
2009-05,8,32,16,10,8
2009-06,7,32,15,10,9
2009-07,7,37,14,12,10
2009-08,7,37,14,13,11
2009-09,6,37,15,12,9
2009-10,8,43,20,11,10
2009-11,9,42,21,10,9
2009-12,7,34,16,11,11
2010-01,10,42,22,13,12
2010-02,9,42,20,12,10
2010-03,8,43,26,13,10
2010-04,8,41,23,12,10
2010-05,9,36,24,10,10
2010-06,8,38,17,10,9
2010-07,9,38,15,11,9
2010-08,10,38,16,11,10
2010-09,11,40,20,11,10
2010-10,9,40,22,10,9
2010-11,10,41,20,13,10
2010-12,8,38,19,12,8
2011-01,9,44,20,9,9
2011-02,12,40,23,9,11
2011-03,9,44,23,10,11
2011-04,13,45,21,10,11
2011-05,10,44,23,11,10
2011-06,9,41,18,11,9
2011-07,9,39,18,10,9
2011-08,9,41,23,10,14
2011-09,10,45,25,10,10
2011-10,10,44,28,11,9
2011-11,10,43,25,10,10
2011-12,9,39,19,11,10
2012-01,10,47,21,10,11
2012-02,12,50,20,12,12
2012-03,13,48,20,11,10
2012-04,12,51,19,12,12
2012-05,12,46,20,10,11
2012-06,12,42,18,11,11
2012-07,11,47,15,12,11
2012-08,11,49,16,12,11
2012-09,10,50,19,11,11
2012-10,12,50,23,11,12
2012-11,10,47,22,10,11
2012-12,11,45,19,10,11
2013-01,11,50,22,11,13
2013-02,13,52,22,12,11
2013-03,13,55,21,11,12
2013-04,12,52,22,12,12
2013-05,14,54,22,12,12
2013-06,13,53,19,11,12
2013-07,11,53,16,12,13
2013-08,11,53,18,12,10
