Category: All categories

Month,PTSD: (Arizona),Anxiety: (Arizona),ADHD: (Arizona),Aggressive: (Arizona),Dementia: (Arizona)
2004-01,0,32,25,0,14
2004-02,0,24,19,0,0
2004-03,0,34,24,0,0
2004-04,0,40,25,0,0
2004-05,0,29,24,0,0
2004-06,0,31,0,0,13
2004-07,0,36,14,0,0
2004-08,0,36,18,0,0
2004-09,0,32,20,0,10
2004-10,0,33,26,0,0
2004-11,0,32,18,0,0
2004-12,0,33,26,0,0
2005-01,0,30,16,0,0
2005-02,0,28,21,9,10
2005-03,0,31,19,0,8
2005-04,0,23,16,0,0
2005-05,0,35,24,0,8
2005-06,0,26,9,10,8
2005-07,0,34,16,9,0
2005-08,0,37,16,14,0
2005-09,0,29,15,0,0
2005-10,8,39,19,12,0
2005-11,0,36,22,9,10
2005-12,6,26,16,10,7
2006-01,0,32,14,7,7
2006-02,0,33,24,6,9
2006-03,0,30,18,6,7
2006-04,0,29,24,9,8
2006-05,6,30,15,6,7
2006-06,6,29,10,6,9
2006-07,0,31,12,11,7
2006-08,6,28,15,7,5
2006-09,0,33,16,4,8
2006-10,4,29,20,5,7
2006-11,0,27,20,4,6
2006-12,5,25,13,5,9
2007-01,4,31,14,6,5
2007-02,0,27,18,0,8
2007-03,0,26,16,6,6
2007-04,6,29,16,8,8
2007-05,7,29,15,8,6
2007-06,3,25,13,6,8
2007-07,3,31,11,7,8
2007-08,3,29,13,7,7
2007-09,3,33,21,5,9
2007-10,5,33,18,7,9
2007-11,5,32,22,6,8
2007-12,5,28,11,7,4
2008-01,5,33,17,7,8
2008-02,5,32,19,9,8
2008-03,5,29,13,10,8
2008-04,6,34,22,9,11
2008-05,7,35,18,8,10
2008-06,5,32,11,9,8
2008-07,6,33,15,8,8
2008-08,4,34,16,10,7
2008-09,6,31,20,9,6
2008-10,6,37,20,9,6
2008-11,7,32,17,9,8
2008-12,6,33,13,5,6
2009-01,4,28,19,8,6
2009-02,9,37,19,7,8
2009-03,7,33,15,11,10
2009-04,8,36,18,10,8
2009-05,8,35,18,7,6
2009-06,7,35,16,10,8
2009-07,7,40,14,12,8
2009-08,6,45,19,9,10
2009-09,7,40,21,9,9
2009-10,7,41,22,12,10
2009-11,10,37,22,10,9
2009-12,6,38,19,8,12
2010-01,7,38,17,9,10
2010-02,9,38,21,8,10
2010-03,7,38,20,13,11
2010-04,8,39,23,12,9
2010-05,8,43,22,8,10
2010-06,7,42,16,10,11
2010-07,9,44,15,11,7
2010-08,8,39,19,10,8
2010-09,8,37,25,8,9
2010-10,10,41,25,11,11
2010-11,10,38,22,8,13
2010-12,8,37,20,10,10
2011-01,7,37,18,9,10
2011-02,9,40,21,10,11
2011-03,9,41,20,10,10
2011-04,9,38,24,8,11
2011-05,7,41,20,10,10
2011-06,8,39,17,9,9
2011-07,7,44,17,8,11
2011-08,7,43,26,9,13
2011-09,7,44,30,9,11
2011-10,8,42,30,10,11
2011-11,11,43,25,11,11
2011-12,8,39,23,9,11
2012-01,9,48,21,10,11
2012-02,9,48,19,11,10
2012-03,11,44,17,10,9
2012-04,11,46,19,11,12
2012-05,9,47,19,10,11
2012-06,10,48,17,11,10
2012-07,10,47,16,10,10
2012-08,9,51,20,10,10
2012-09,10,52,22,11,10
2012-10,12,52,24,12,11
2012-11,11,49,20,11,12
2012-12,10,42,18,9,10
2013-01,9,46,18,11,12
2013-02,13,51,18,12,11
2013-03,11,46,18,10,11
2013-04,11,51,22,11,12
2013-05,11,52,20,10,10
2013-06,10,52,18,10,10
2013-07,9,58,18,12,11
2013-08,9,52,19,11,12
2013-09,11,52,22,12,12
2013-10,11,53,23,11,11
2013-11,12,50,21,12,11
2013-12,9,45,20,11,12
2014-01,10,55,19,11,12
2014-02,12,54,22,11,11
2014-03,11,55,22,12,13
2014-04,14,54,23,12,12
2014-05,11,53,18,11,12
2014-06,12,56,16,12,15
2014-07,13,59,18,12,14
2014-08,11,59,19,12,11
2014-09,12,60,23,12,12
2014-10,13,62,26,11,13
2014-11,17,53,21,12,21
2014-12,13,56,19,11,14
2015-01,14,60,18,11,14
2015-02,14,63,23,13,16
2015-03,14,61,20,12,14
2015-04,16,63,21,12,15
2015-05,14,61,20,12,14
2015-06,14,63,17,13,14
2015-07,12,64,16,12,15
2015-08,12,72,19,12,14
2015-09,14,71,21,12,16
2015-10,14,70,23,13,13
2015-11,16,68,23,13,26
2015-12,14,63,20,15,13
2016-01,12,65,18,13,14
2016-02,13,69,20,12,18
2016-03,14,69,21,13,14
2016-04,15,75,20,13,16
2016-05,14,68,18,13,17
2016-06,15,70,16,14,18
2016-07,14,76,16,12,16
2016-08,12,71,20,12,15
2016-09,13,79,22,13,15
2016-10,17,79,22,12,16
2016-11,14,69,20,12,15
2016-12,16,70,19,11,15
2017-01,13,72,18,12,15
2017-02,13,75,23,12,19
2017-03,13,77,21,13,18
2017-04,15,82,24,13,19
2017-05,15,90,25,13,18
2017-06,14,75,20,12,16
2017-07,13,83,18,12,16
2017-08,13,70,22,13,16
2017-09,14,83,23,15,16
2017-10,14,78,22,12,16
2017-11,16,80,22,14,20
2017-12,13,68,20,12,18
2018-01,13,76,19,12,17
2018-02,14,79,22,13,17
2018-03,15,77,23,14,20
2018-04,16,87,22,14,18
2018-05,16,82,22,14,19
2018-06,14,91,19,14,18
2018-07,14,86,19,13,20
2018-08,14,87,24,14,19
2018-09,13,89,23,12,18
2018-10,16,81,21,11,20
2018-11,15,80,22,12,17
2018-12,13,78,20,13,18
2019-01,13,86,22,12,19
2019-02,14,89,24,14,17
2019-03,15,80,22,13,20
2019-04,16,85,26,14,20
2019-05,16,88,25,14,22
2019-06,17,97,23,14,20
2019-07,15,89,19,13,21
2019-08,13,88,27,13,19
2019-09,16,84,30,14,20
2019-10,16,92,28,12,21
2019-11,18,83,26,13,19
2019-12,12,77,24,12,20
2020-01,15,83,25,13,24
2020-02,17,83,30,13,24
2020-03,14,70,21,12,19
2020-04,14,73,23,14,17
2020-05,15,81,22,14,20
2020-06,15,83,25,14,23
2020-07,14,92,25,13,22
2020-08,13,89,29,12,22
2020-09,14,87,34,13,29
2020-10,15,83,31,13,22
2020-11,12,77,28,12,22
2020-12,13,83,32,12,18
2021-01,13,83,31,13,18
2021-02,15,90,35,15,21
2021-03,14,85,37,14,23
2021-04,16,86,37,15,24
2021-05,15,89,40,14,24
2021-06,16,95,37,13,24
2021-07,15,96,39,15,23
2021-08,15,94,45,13,19
2021-09,16,100,46,14,23
2021-10,15,86,43,15,25
2021-11,15,89,43,13,22
2021-12,13,80,39,13,21
2022-01,13,90,43,13,23
2022-02,14,88,50,15,25
2022-03,14,96,51,16,27
2022-04,16,91,51,16,25
2022-05,16,83,45,15,23
2022-06,15,78,45,15,26
2022-07,14,86,47,15,25
2022-08,14,88,53,16,24
2022-09,15,85,54,15,23
2022-10,16,82,53,15,25
2022-11,15,78,50,14,24
2022-12,14,76,51,14,23
2023-01,14,84,53,14,26
2023-02,17,87,57,16,43
2023-03,16,85,59,15,31
2023-04,16,88,61,16,32
2023-05,15,79,63,15,29
2023-06,16,86,56,16,29
2023-07,16,87,55,15,28
2023-08,15,84,59,15,27
2023-09,15,86,67,17,27
2023-10,14,78,57,14,30
2023-11,14,85,56,15,31
2023-12,14,72,51,15,30
2024-01,13,84,55,16,31
2024-02,15,89,55,17,37
2024-03,15,75,55,15,32
2024-04,16,79,59,17,31
2024-05,15,81,55,15,27
2024-06,14,87,54,15,30
2024-07,14,88,52,15,30
2024-08,14,90,60,14,29
2024-09,14,86,64,16,26
2024-10,14,91,58,14,29
2024-11,15,82,57,15,28
2024-12,13,77,55,14,30
2025-01,14,81,60,14,31
2025-02,15,83,62,16,32
2025-03,15,94,59,16,31
