Category: All categories

Month,PTSD: (West Virginia),Anxiety: (West Virginia),ADHD: (West Virginia),Aggressive: (West Virginia),Dementia: (West Virginia)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,100,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,60,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,40,0,0,0
2005-10,0,44,34,0,0
2005-11,0,34,34,0,0
2005-12,0,41,0,0,0
2006-01,0,36,0,0,0
2006-02,0,47,39,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,27,0,0,0
2006-06,0,35,0,0,0
2006-07,0,30,0,0,0
2006-08,0,35,0,0,0
2006-09,0,0,42,0,0
2006-10,0,31,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,29,27,0,0
2007-02,0,30,29,0,0
2007-03,0,28,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,34,0,0,0
2007-07,0,0,0,0,0
2007-08,0,31,26,0,0
2007-09,0,0,40,0,0
2007-10,0,28,0,25,0
2007-11,0,0,40,0,0
2007-12,0,0,22,0,0
2008-01,0,0,20,0,0
2008-02,0,22,21,0,0
2008-03,0,20,19,0,0
2008-04,0,43,47,0,0
2008-05,0,35,0,0,0
2008-06,0,37,0,0,0
2008-07,0,27,0,0,0
2008-08,0,31,0,0,0
2008-09,0,29,0,0,0
2008-10,0,31,31,0,0
2008-11,0,32,24,0,17
2008-12,0,37,28,0,0
2009-01,19,35,0,0,0
2009-02,0,33,0,0,19
2009-03,0,28,0,0,0
2009-04,0,31,17,0,0
2009-05,0,34,23,0,0
2009-06,0,22,19,0,0
2009-07,0,38,0,0,0
2009-08,0,40,0,0,0
2009-09,0,30,30,0,0
2009-10,0,37,37,0,0
2009-11,0,36,24,0,0
2009-12,0,22,26,0,0
2010-01,0,40,16,0,0
2010-02,0,32,0,0,0
2010-03,0,21,34,0,14
2010-04,0,31,16,0,0
2010-05,0,24,18,0,0
2010-06,0,0,0,0,0
2010-07,0,36,21,0,23
2010-08,0,35,18,0,0
2010-09,0,33,22,0,0
2010-10,0,30,24,0,0
2010-11,0,38,25,0,0
2010-12,0,31,19,0,0
2011-01,8,29,16,6,9
2011-02,8,38,19,6,11
2011-03,7,35,22,6,15
2011-04,6,42,23,6,10
2011-05,6,34,22,9,10
2011-06,9,33,15,9,10
2011-07,8,41,18,7,9
2011-08,7,37,22,6,16
2011-09,8,43,32,6,11
2011-10,5,42,25,6,10
2011-11,8,41,26,10,11
2011-12,9,29,24,7,13
2012-01,8,46,19,7,11
2012-02,9,44,25,9,10
2012-03,8,40,22,11,7
2012-04,10,49,22,11,10
2012-05,8,35,13,10,11
2012-06,6,37,9,8,12
2012-07,8,44,16,8,13
2012-08,11,43,19,9,14
2012-09,9,41,21,6,13
2012-10,14,42,28,7,11
2012-11,12,47,19,6,10
2012-12,9,43,20,7,13
2013-01,9,44,12,8,10
2013-02,8,43,26,9,10
2013-03,10,43,18,10,13
2013-04,9,53,22,10,11
2013-05,9,45,14,7,12
2013-06,11,49,17,6,11
2013-07,11,54,17,9,10
2013-08,8,54,18,7,13
2013-09,10,48,20,11,12
2013-10,10,49,24,10,10
2013-11,8,48,22,9,9
2013-12,11,46,19,10,12
2014-01,6,48,18,10,12
2014-02,8,47,21,10,11
2014-03,7,49,18,9,10
2014-04,12,50,23,8,11
2014-05,9,53,20,9,13
2014-06,13,47,19,8,10
2014-07,10,54,17,12,13
2014-08,5,61,18,10,9
2014-09,14,52,23,13,12
2014-10,12,58,24,9,14
2014-11,11,59,19,8,22
2014-12,8,57,17,9,14
2015-01,14,56,17,10,16
2015-02,15,59,21,8,11
2015-03,12,58,25,11,13
2015-04,10,58,24,12,13
2015-05,10,51,18,10,9
2015-06,10,59,14,10,14
2015-07,16,62,20,9,13
2015-08,10,66,17,7,15
2015-09,13,70,25,6,14
2015-10,13,62,22,8,14
2015-11,14,68,25,9,22
2015-12,10,62,18,10,15
2016-01,9,71,20,10,11
2016-02,10,66,17,9,15
2016-03,10,67,17,9,14
2016-04,15,75,21,11,16
2016-05,14,60,19,8,15
2016-06,12,59,15,10,13
2016-07,10,66,17,8,14
2016-08,9,70,20,8,14
2016-09,10,73,24,9,15
2016-10,19,68,22,9,12
2016-11,13,61,17,6,15
2016-12,14,65,17,11,13
2017-01,11,75,22,10,12
2017-02,10,72,23,11,16
2017-03,12,73,25,9,17
2017-04,15,68,23,10,20
2017-05,14,67,20,8,16
2017-06,13,65,15,13,15
2017-07,11,71,17,8,19
2017-08,10,79,21,11,15
2017-09,12,67,20,5,13
2017-10,12,74,23,11,19
2017-11,13,68,19,7,22
2017-12,14,66,17,10,18
2018-01,11,72,19,10,16
2018-02,12,76,18,10,18
2018-03,11,76,22,10,18
2018-04,10,73,29,8,16
2018-05,11,70,17,11,19
2018-06,13,74,18,10,16
2018-07,11,74,15,10,21
2018-08,11,84,18,9,17
2018-09,12,76,23,10,18
2018-10,15,78,27,10,16
2018-11,12,78,25,9,18
2018-12,11,72,21,11,17
2019-01,13,76,20,10,16
2019-02,12,89,21,10,19
2019-03,9,80,25,8,21
2019-04,14,82,24,12,18
2019-05,17,74,21,8,23
2019-06,16,77,20,10,23
2019-07,15,78,18,11,23
2019-08,11,84,21,8,23
2019-09,11,80,27,11,17
2019-10,14,73,29,9,20
2019-11,16,74,26,9,22
2019-12,13,67,21,10,23
2020-01,15,76,24,11,24
2020-02,13,72,23,10,22
2020-03,14,68,21,9,22
2020-04,13,68,17,9,16
2020-05,10,67,18,11,17
2020-06,13,69,19,10,21
2020-07,15,77,19,9,21
2020-08,13,74,22,11,22
2020-09,12,78,27,12,28
2020-10,14,76,28,11,22
2020-11,13,72,23,10,24
2020-12,10,70,25,10,18
2021-01,9,79,23,10,20
2021-02,13,79,26,11,19
2021-03,13,74,33,13,22
2021-04,15,80,36,12,23
2021-05,12,78,31,10,18
2021-06,16,74,32,14,22
2021-07,13,77,34,10,24
2021-08,12,80,31,11,21
2021-09,11,90,34,12,19
2021-10,13,77,39,10,21
2021-11,14,80,39,13,20
2021-12,15,75,34,11,22
2022-01,13,92,38,11,22
2022-02,15,96,40,13,20
2022-03,17,91,43,14,25
2022-04,16,92,45,13,26
2022-05,17,79,37,13,23
2022-06,15,75,40,13,22
2022-07,16,82,35,14,28
2022-08,12,82,40,13,23
2022-09,13,83,45,11,22
2022-10,15,86,46,13,25
2022-11,15,78,44,15,24
2022-12,13,78,38,14,23
2023-01,13,90,49,11,29
2023-02,16,93,53,15,36
2023-03,16,92,50,13,32
2023-04,17,90,52,16,29
2023-05,16,81,50,13,24
2023-06,15,75,41,14,26
2023-07,14,75,46,11,28
2023-08,14,87,47,15,24
2023-09,13,86,48,12,25
2023-10,14,81,52,14,26
2023-11,16,78,43,14,28
2023-12,11,72,41,13,27
2024-01,15,72,52,13,30
2024-02,16,75,53,14,34
2024-03,11,78,49,12,29
2024-04,12,72,45,14,30
2024-05,14,69,49,16,31
2024-06,16,81,42,17,26
2024-07,14,78,43,14,30
2024-08,13,77,50,14,28
2024-09,13,80,55,13,29
2024-10,13,80,55,15,27
2024-11,12,68,48,13,21
2024-12,12,79,46,12,31
2025-01,14,80,52,13,30
2025-02,16,84,57,14,33
2025-03,15,98,58,15,32
