Category: All categories

Month,PTSD: (Wisconsin),Anxiety: (Wisconsin),ADHD: (Wisconsin),Aggressive: (Wisconsin),Dementia: (Wisconsin)
2004-01,0,39,24,17,0
2004-02,0,39,29,0,0
2004-03,0,40,22,0,0
2004-04,0,35,32,0,0
2004-05,0,27,16,13,0
2004-06,0,38,14,14,0
2004-07,0,40,14,12,11
2004-08,0,41,11,12,11
2004-09,0,37,20,0,0
2004-10,0,42,26,0,0
2004-11,0,43,28,0,0
2004-12,0,29,24,0,9
2005-01,0,36,25,0,0
2005-02,0,33,18,12,15
2005-03,0,30,21,14,9
2005-04,0,39,18,0,0
2005-05,7,36,21,8,0
2005-06,0,39,11,13,0
2005-07,0,38,19,14,0
2005-08,0,37,12,8,7
2005-09,0,36,20,8,0
2005-10,0,35,21,6,11
2005-11,8,34,17,12,9
2005-12,0,29,19,0,12
2006-01,0,35,21,8,8
2006-02,0,37,23,8,10
2006-03,0,37,21,8,6
2006-04,0,41,20,11,9
2006-05,0,33,18,7,9
2006-06,0,33,13,9,10
2006-07,0,33,14,6,8
2006-08,0,35,16,8,7
2006-09,5,38,12,6,9
2006-10,5,38,18,8,5
2006-11,6,40,18,6,11
2006-12,5,37,16,6,0
2007-01,4,28,18,8,8
2007-02,0,29,23,8,9
2007-03,8,32,19,8,8
2007-04,0,33,14,9,7
2007-05,8,34,17,9,9
2007-06,4,33,13,8,10
2007-07,0,31,15,8,9
2007-08,4,23,14,6,8
2007-09,0,33,20,6,10
2007-10,6,37,26,7,10
2007-11,5,38,22,9,7
2007-12,6,30,19,7,11
2008-01,4,37,18,7,8
2008-02,5,37,20,5,8
2008-03,3,35,18,5,10
2008-04,5,36,25,7,11
2008-05,8,34,20,8,10
2008-06,0,34,10,7,9
2008-07,4,35,12,10,14
2008-08,0,32,12,7,7
2008-09,3,42,17,10,10
2008-10,4,35,22,9,12
2008-11,7,35,18,10,9
2008-12,4,37,20,6,10
2009-01,4,36,15,10,8
2009-02,5,36,19,9,10
