Category: All categories

Month,PTSD: (Wyoming),Anxiety: (Wyoming),ADHD: (Wyoming),Aggressive: (Wyoming),Dementia: (Wyoming)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,67,92,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,100,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,41,0,0,0
2007-02,0,88,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,35,0,0
2007-08,0,0,0,0,0
2007-09,0,0,31,0,0
2007-10,0,28,0,0,0
2007-11,0,0,0,0,0
2007-12,0,28,0,0,0
2008-01,0,0,0,0,0
2008-02,0,32,0,0,0
2008-03,0,26,0,0,0
2008-04,0,31,22,0,0
2008-05,0,26,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,27
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,27,0,0,0
2008-12,0,0,0,0,0
2009-01,0,21,0,0,0
2009-02,0,0,29,0,0
2009-03,0,27,0,0,21
2009-04,0,44,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,29,26,0,0
2009-10,0,30,0,0,0
2009-11,0,24,0,0,0
2009-12,0,0,24,0,0
2010-01,0,33,0,0,0
2010-02,0,39,23,0,0
2010-03,0,33,32,0,0
2010-04,0,33,0,0,0
2010-05,0,37,0,0,0
2010-06,0,0,0,0,0
2010-07,0,35,0,0,40
2010-08,0,31,0,0,0
2010-09,0,21,0,0,0
2010-10,0,18,0,0,0
2010-11,0,30,15,0,0
2010-12,0,20,13,0,0
2011-01,0,36,0,0,0
2011-02,0,28,19,0,15
2011-03,0,30,19,0,0
2011-04,0,21,19,0,0
2011-05,0,28,19,0,0
2011-06,17,26,0,0,0
2011-07,0,30,0,0,0
2011-08,0,30,14,0,15
2011-09,0,30,29,0,0
2011-10,0,29,29,0,0
2011-11,0,24,20,0,0
2011-12,0,33,15,0,18
2012-01,0,35,15,0,0
2012-02,0,24,21,0,0
2012-03,0,34,0,13,0
2012-04,0,22,17,0,0
2012-05,0,30,19,0,15
2012-06,0,33,0,0,0
2012-07,0,32,12,0,0
2012-08,16,36,17,0,0
2012-09,0,46,16,0,17
2012-10,10,42,27,11,0
2012-11,0,26,15,10,0
2012-12,0,29,13,0,12
2013-01,0,39,22,0,0
2013-02,0,42,15,9,0
2013-03,0,34,21,0,14
2013-04,0,38,15,12,11
2013-05,0,38,10,10,12
2013-06,0,36,17,11,11
2013-07,13,34,10,9,0
2013-08,0,40,12,0,11
2013-09,0,38,13,0,10
2013-10,9,35,20,13,0
2013-11,12,44,0,11,0
2013-12,0,30,14,0,9
2014-01,0,39,10,0,7
2014-02,12,44,15,10,0
2014-03,9,44,21,11,10
2014-04,0,34,20,0,10
2014-05,13,45,0,9,10
2014-06,13,44,12,11,12
2014-07,0,36,12,13,12
2014-08,0,45,14,11,0
2014-09,0,45,13,13,12
2014-10,0,46,20,0,18
2014-11,0,50,19,14,12
2014-12,14,51,21,0,0
2015-01,10,47,21,0,8
2015-02,17,49,17,13,14
2015-03,10,43,21,15,9
2015-04,14,49,16,11,12
2015-05,8,37,10,11,12
2015-06,11,35,12,9,11
2015-07,13,47,16,13,11
2015-08,8,44,15,15,0
2015-09,11,44,17,7,16
2015-10,10,47,13,11,14
2015-11,9,42,21,0,17
2015-12,13,45,24,0,11
2016-01,8,55,14,9,10
2016-02,14,58,16,9,13
2016-03,0,56,20,6,14
2016-04,11,54,12,7,7
2016-05,12,53,17,12,9
2016-06,8,43,17,8,16
2016-07,12,44,14,9,7
2016-08,9,47,14,8,13
2016-09,10,46,15,7,10
2016-10,12,50,18,12,13
2016-11,13,51,12,12,11
2016-12,10,52,16,11,11
2017-01,13,53,16,11,12
2017-02,14,51,20,10,12
2017-03,13,45,18,9,11
2017-04,14,63,20,8,17
2017-05,12,53,21,0,8
2017-06,7,44,12,16,9
2017-07,0,45,10,8,14
2017-08,7,57,14,0,10
2017-09,10,48,12,8,8
2017-10,9,58,14,5,13
2017-11,14,52,24,13,19
2017-12,9,50,16,11,12
2018-01,12,59,15,11,15
2018-02,12,54,22,10,18
2018-03,17,65,16,6,13
2018-04,17,60,15,10,16
2018-05,12,57,16,11,15
2018-06,12,50,8,8,11
2018-07,10,50,11,7,17
2018-08,10,56,15,13,10
2018-09,10,53,16,12,15
2018-10,16,64,19,9,13
2018-11,13,66,16,6,10
2018-12,13,55,13,10,15
2019-01,12,61,17,9,13
2019-02,6,66,15,7,14
2019-03,13,61,18,8,15
2019-04,16,69,22,13,20
2019-05,10,57,18,8,18
2019-06,14,59,10,10,18
2019-07,11,58,12,9,15
2019-08,11,63,14,7,13
2019-09,13,56,19,13,21
2019-10,13,62,24,9,17
2019-11,14,62,27,9,13
2019-12,14,48,30,11,14
2020-01,13,63,20,14,25
2020-02,14,60,23,11,14
2020-03,11,55,18,8,14
2020-04,11,49,16,9,14
2020-05,10,60,18,5,17
2020-06,11,63,15,9,15
2020-07,8,53,13,13,12
2020-08,12,69,19,9,15
2020-09,13,64,27,8,19
2020-10,13,58,25,10,16
2020-11,12,58,19,9,14
2020-12,9,62,20,12,17
2021-01,7,58,22,10,14
2021-02,10,69,29,8,20
2021-03,15,59,29,19,16
2021-04,17,59,31,14,14
2021-05,7,63,30,8,16
2021-06,17,53,25,0,15
2021-07,6,65,26,9,14
2021-08,8,60,36,9,16
2021-09,10,64,29,10,19
2021-10,13,66,34,8,14
2021-11,15,67,31,12,17
2021-12,14,52,25,12,20
2022-01,11,67,37,10,16
2022-02,13,65,38,13,17
2022-03,13,66,36,10,20
2022-04,15,70,32,10,13
2022-05,10,65,37,9,17
2022-06,8,56,32,15,19
2022-07,11,61,29,13,17
2022-08,11,52,33,12,15
2022-09,11,54,47,12,23
2022-10,8,66,38,10,21
2022-11,15,63,42,9,17
2022-12,11,55,37,9,17
2023-01,10,61,45,11,18
2023-02,15,62,42,15,26
2023-03,13,63,39,11,22
2023-04,11,72,52,10,19
2023-05,13,55,42,14,23
2023-06,13,63,40,12,19
2023-07,12,58,34,10,21
2023-08,7,62,39,9,17
2023-09,8,56,42,9,18
2023-10,15,63,42,9,22
2023-11,10,67,44,14,21
2023-12,10,61,36,10,20
2024-01,10,70,40,8,24
2024-02,12,71,48,10,21
2024-03,10,48,36,11,20
2024-04,16,55,51,8,21
2024-05,12,54,41,14,20
2024-06,12,60,43,15,18
2024-07,8,54,36,12,24
2024-08,13,64,40,11,17
2024-09,10,71,46,12,20
2024-10,12,68,42,13,19
2024-11,13,65,40,6,24
2024-12,10,70,49,11,21
2025-01,12,72,43,12,20
2025-02,14,68,46,10,26
2025-03,12,71,46,12,24
