Category: All categories

Month,PTSD: (Arkansas),Anxiety: (Arkansas),ADHD: (Arkansas),Aggressive: (Arkansas),Dementia: (Arkansas)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,72,0,0,0
2004-12,0,70,0,0,0
2005-01,0,0,51,0,0
2005-02,42,40,49,0,0
2005-03,0,0,0,0,0
2005-04,0,47,0,0,0
2005-05,0,34,0,0,0
2005-06,0,0,0,0,0
2005-07,0,40,0,0,0
2005-08,0,39,0,0,0
2005-09,0,42,0,0,0
2005-10,0,25,25,0,0
2005-11,0,48,0,0,0
2005-12,0,44,0,0,0
2006-01,0,33,0,0,0
2006-02,0,44,22,0,0
2006-03,0,30,36,0,0
2006-04,0,26,22,0,0
2006-05,0,29,23,0,0
2006-06,0,30,0,0,0
2006-07,0,26,0,0,0
2006-08,0,45,23,0,0
2006-09,0,40,25,0,24
2006-10,0,39,24,0,0
2006-11,0,31,36,0,0
2006-12,0,32,19,0,0
2007-01,0,34,17,0,0
2007-02,0,57,0,0,0
2007-03,0,28,21,0,0
2007-04,0,27,30,0,0
2007-05,0,32,23,0,0
2007-06,0,36,18,0,15
2007-07,0,25,20,0,0
2007-08,0,28,22,0,12
2007-09,0,36,33,0,11
2007-10,0,31,27,0,12
2007-11,0,32,22,0,0
2007-12,0,30,18,0,0
2008-01,0,36,18,13,0
2008-02,0,48,32,12,11
2008-03,0,23,24,0,0
2008-04,0,35,34,0,0
2008-05,0,21,16,0,0
2008-06,0,28,33,0,0
2008-07,0,31,13,0,12
2008-08,10,29,24,0,11
2008-09,0,31,21,0,0
2008-10,9,32,28,0,0
2008-11,0,32,19,0,0
2008-12,0,31,20,0,0
2009-01,0,32,16,0,0
2009-02,10,37,29,0,10
2009-03,8,41,16,0,0
2009-04,0,33,29,9,9
2009-05,0,28,18,0,0
2009-06,0,34,0,0,0
2009-07,0,31,0,0,12
2009-08,0,39,14,0,0
2009-09,0,43,23,13,0
2009-10,0,37,22,0,13
2009-11,9,33,21,10,13
2009-12,0,34,19,0,0
2010-01,0,27,16,15,11
2010-02,0,34,21,9,11
2010-03,0,48,27,12,11
2010-04,0,39,33,0,11
2010-05,0,27,22,16,14
2010-06,9,34,20,0,11
2010-07,0,29,19,0,14
2010-08,9,46,19,13,0
2010-09,10,51,29,10,14
2010-10,10,40,24,11,16
2010-11,15,45,25,11,18
2010-12,0,31,23,8,8
2011-01,7,36,20,9,12
2011-02,8,36,26,8,8
2011-03,11,38,23,12,14
2011-04,8,38,27,8,11
2011-05,9,36,20,7,8
2011-06,6,39,22,9,9
2011-07,6,33,23,9,14
2011-08,7,39,24,10,20
2011-09,9,40,27,9,12
2011-10,7,46,29,10,9
2011-11,9,41,27,7,11
2011-12,5,34,25,7,13
2012-01,6,44,25,11,14
2012-02,10,49,26,10,12
2012-03,13,48,25,8,15
2012-04,9,50,27,9,16
2012-05,7,49,26,8,10
2012-06,10,42,22,11,9
2012-07,10,50,20,8,15
2012-08,11,55,23,11,12
2012-09,12,53,27,7,11
2012-10,11,47,26,11,16
2012-11,13,44,25,9,12
2012-12,8,34,23,8,10
2013-01,10,43,19,10,10
2013-02,12,41,23,9,17
2013-03,11,46,24,10,15
2013-04,13,55,30,10,16
2013-05,9,46,19,10,12
2013-06,11,51,17,10,10
2013-07,8,52,16,11,11
2013-08,9,54,21,12,14
2013-09,11,57,25,9,13
2013-10,10,54,26,12,13
2013-11,15,51,23,9,15
2013-12,10,49,19,10,10
2014-01,10,52,24,11,12
2014-02,10,52,26,10,14
2014-03,13,50,28,8,15
2014-04,13,50,30,11,16
2014-05,11,52,26,10,15
2014-06,12,49,17,11,15
2014-07,13,60,15,10,15
2014-08,11,61,18,12,13
2014-09,12,59,27,10,15
2014-10,16,63,27,9,15
2014-11,15,59,25,11,21
2014-12,17,61,23,10,16
2015-01,11,62,21,10,18
2015-02,15,56,23,14,15
2015-03,17,68,22,12,14
2015-04,16,61,26,12,18
2015-05,11,61,19,11,16
2015-06,11,66,18,10,17
2015-07,12,65,18,13,17
2015-08,10,61,23,10,19
2015-09,14,70,24,9,14
2015-10,15,66,28,12,15
2015-11,14,65,22,10,27
2015-12,14,66,22,9,13
2016-01,12,61,21,11,15
2016-02,12,65,21,10,17
2016-03,14,65,19,10,17
2016-04,14,69,23,10,16
2016-05,13,68,19,10,15
2016-06,15,58,18,13,16
2016-07,12,61,19,10,14
2016-08,10,63,21,10,18
2016-09,14,67,24,10,18
2016-10,16,69,25,9,14
2016-11,18,67,24,11,15
2016-12,16,62,20,10,15
2017-01,13,72,22,9,14
2017-02,12,68,25,12,21
2017-03,13,70,22,11,17
2017-04,16,67,27,11,21
2017-05,16,70,24,10,17
2017-06,15,70,18,12,20
2017-07,13,69,17,11,18
2017-08,13,77,21,10,18
2017-09,14,74,25,10,15
2017-10,15,77,24,12,16
2017-11,19,74,22,12,21
2017-12,14,62,21,11,20
2018-01,14,78,18,12,18
2018-02,12,80,23,12,16
2018-03,15,74,22,13,21
2018-04,15,82,25,13,17
2018-05,15,70,22,14,17
2018-06,16,81,21,12,16
2018-07,14,87,19,13,20
2018-08,14,83,24,11,20
2018-09,12,76,26,13,19
2018-10,14,79,28,12,20
2018-11,17,80,24,12,18
2018-12,12,83,23,11,18
2019-01,13,77,21,10,21
2019-02,15,85,26,13,21
2019-03,15,84,23,12,18
2019-04,17,79,26,14,22
2019-05,15,74,21,10,20
2019-06,16,78,21,13,22
2019-07,19,82,21,13,24
2019-08,16,82,25,13,22
2019-09,17,79,29,13,22
2019-10,16,81,32,12,24
2019-11,18,77,27,11,23
2019-12,12,66,24,11,23
2020-01,16,79,25,11,26
2020-02,20,85,27,13,24
2020-03,16,77,22,11,21
2020-04,15,74,20,14,18
2020-05,15,75,20,14,18
2020-06,18,76,24,12,21
2020-07,21,81,23,12,23
2020-08,18,85,25,11,23
2020-09,16,83,30,14,28
2020-10,15,80,29,13,23
2020-11,17,82,26,14,21
2020-12,15,76,28,12,21
2021-01,15,86,30,12,20
2021-02,19,91,33,15,21
2021-03,18,87,35,13,22
2021-04,19,88,36,13,26
2021-05,16,78,32,14,22
2021-06,18,81,33,13,23
2021-07,17,79,35,14,20
2021-08,15,90,38,14,21
2021-09,17,88,42,13,21
2021-10,14,85,44,15,24
2021-11,18,86,44,13,22
2021-12,17,79,38,12,26
2022-01,15,82,37,13,24
2022-02,18,94,47,16,24
2022-03,17,97,51,14,26
2022-04,20,97,47,16,27
2022-05,17,81,42,15,24
2022-06,16,84,38,14,27
2022-07,18,86,43,14,27
2022-08,17,92,46,13,27
2022-09,17,91,52,13,24
2022-10,16,84,54,16,28
2022-11,20,86,46,15,26
2022-12,14,82,46,13,28
2023-01,17,89,52,14,25
2023-02,16,87,57,14,36
2023-03,17,97,58,16,32
2023-04,16,92,58,15,30
2023-05,15,86,59,17,28
2023-06,17,83,46,16,30
2023-07,17,87,49,14,27
2023-08,15,89,57,13,26
2023-09,17,86,56,13,29
2023-10,15,88,55,15,27
2023-11,16,88,52,16,29
2023-12,13,75,47,12,29
2024-01,14,84,52,15,30
2024-02,17,91,60,15,34
2024-03,14,76,50,16,33
2024-04,17,89,51,15,28
2024-05,16,80,51,14,28
2024-06,14,85,49,14,29
2024-07,14,94,53,14,32
2024-08,15,88,60,15,27
2024-09,15,91,57,15,27
2024-10,17,97,62,15,30
2024-11,16,84,55,14,31
2024-12,14,78,54,12,30
2025-01,15,93,54,17,31
2025-02,16,92,65,17,32
2025-03,16,100,61,17,34
