Category: All categories

Month,PTSD: (California),Anxiety: (California),ADHD: (California),Aggressive: (California),Dementia: (California)
2004-01,3,30,15,6,5
2004-02,4,27,16,8,7
2004-03,2,30,14,9,6
2004-04,4,33,18,7,7
2004-05,4,28,17,7,6
2004-06,4,30,14,6,8
2004-07,4,30,12,7,8
2004-08,3,31,15,6,7
2004-09,3,35,16,6,7
2004-10,4,33,19,8,8
2004-11,4,28,17,8,6
2004-12,5,29,15,6,6
2005-01,3,30,16,4,4
2005-02,5,32,18,6,6
2005-03,4,29,15,7,8
2005-04,4,34,16,7,10
2005-05,4,28,17,7,6
2005-06,4,28,15,8,7
2005-07,3,28,13,7,6
2005-08,4,29,10,7,7
2005-09,3,29,16,6,6
2005-10,5,29,17,7,7
2005-11,5,30,17,7,6
2005-12,4,27,13,6,7
2006-01,3,29,13,8,7
2006-02,5,28,16,7,7
2006-03,4,28,16,7,8
2006-04,5,28,14,7,8
2006-05,5,29,14,7,8
2006-06,4,24,12,7,7
2006-07,4,26,11,7,7
2006-08,4,25,12,6,6
2006-09,3,28,14,7,6
2006-10,4,30,14,6,7
2006-11,5,27,15,7,8
2006-12,4,26,12,6,7
2007-01,4,28,12,6,7
2007-02,3,29,14,8,8
2007-03,5,28,15,6,7
2007-04,5,29,14,8,7
2007-05,5,28,14,6,8
2007-06,4,26,12,7,8
2007-07,4,26,10,7,7
2007-08,4,26,13,7,8
2007-09,5,28,15,6,7
2007-10,5,28,15,7,7
2007-11,5,26,15,6,8
2007-12,4,23,12,6,6
2008-01,4,26,11,6,7
2008-02,4,27,13,7,7
2008-03,5,28,13,7,9
2008-04,6,27,14,7,7
2008-05,6,26,13,7,6
2008-06,5,27,11,7,8
2008-07,4,26,10,7,10
2008-08,4,27,13,6,8
2008-09,4,27,13,6,7
2008-10,5,27,15,7,6
2008-11,5,26,13,7,7
2008-12,5,25,12,7,7
2009-01,5,25,11,7,7
2009-02,5,27,13,7,7
2009-03,5,27,12,7,7
2009-04,6,26,12,7,7
2009-05,5,27,12,7,7
2009-06,4,27,10,7,7
2009-07,4,26,10,7,7
2009-08,4,25,10,7,6
2009-09,4,26,12,7,6
2009-10,5,26,13,7,7
2009-11,5,24,13,7,7
2009-12,4,23,12,7,6
2010-01,4,25,11,6,6
2010-02,5,25,12,7,6
2010-03,5,23,14,6,7
2010-04,5,26,15,7,6
2010-05,5,24,15,7,7
2010-06,4,24,11,6,6
2010-07,5,23,9,6,6
2010-08,4,22,10,6,5
2010-09,5,23,12,6,6
2010-10,5,24,13,5,6
2010-11,5,23,12,6,7
2010-12,5,23,12,6,6
2011-01,6,37,16,9,9
2011-02,7,35,18,8,10
2011-03,8,40,20,9,9
2011-04,8,38,19,10,9
2011-05,8,36,19,9,9
2011-06,7,34,16,9,9
2011-07,6,36,15,9,9
2011-08,6,41,18,9,14
2011-09,7,42,18,9,9
2011-10,7,40,23,9,9
2011-11,9,38,21,9,10
2011-12,7,35,19,9,9
2012-01,7,47,19,9,9
2012-02,8,49,18,10,10
2012-03,10,47,20,10,10
2012-04,9,46,18,10,11
2012-05,9,47,19,10,11
2012-06,8,45,16,10,10
2012-07,7,47,15,10,10
2012-08,7,47,16,10,10
2012-09,8,50,19,10,10
2012-10,9,51,19,10,10
2012-11,9,48,20,10,10
2012-12,8,44,17,9,10
2013-01,7,49,19,10,10
2013-02,10,48,18,10,10
2013-03,10,47,19,11,10
2013-04,9,50,19,11,11
2013-05,11,53,21,11,11
2013-06,9,50,17,11,11
2013-07,8,52,17,11,11
2013-08,8,53,16,10,11
2013-09,9,53,20,10,12
2013-10,9,54,21,11,10
2013-11,10,50,18,10,10
2013-12,8,47,17,10,11
2014-01,8,54,17,11,11
2014-02,10,53,21,11,12
2014-03,10,55,21,11,11
2014-04,11,54,19,12,11
2014-05,11,54,20,13,13
2014-06,9,52,17,11,13
2014-07,9,56,16,12,12
2014-08,9,56,16,11,12
2014-09,9,54,18,11,12
2014-10,11,56,20,11,12
2014-11,12,55,21,11,18
2014-12,10,52,17,10,12
2015-01,11,57,18,11,13
2015-02,12,60,19,12,14
2015-03,13,62,19,12,13
2015-04,12,61,19,11,12
2015-05,13,59,20,11,13
2015-06,11,57,16,11,13
2015-07,11,61,16,11,13
2015-08,10,62,16,11,13
2015-09,11,63,19,12,12
2015-10,12,64,20,11,13
2015-11,13,58,18,11,23
2015-12,11,61,18,11,12
2016-01,11,63,17,11,13
2016-02,12,65,18,12,15
2016-03,12,70,18,12,13
2016-04,12,71,19,12,14
2016-05,14,69,19,12,16
2016-06,12,66,17,12,14
2016-07,11,67,14,11,15
2016-08,10,67,16,11,14
2016-09,11,74,20,12,13
2016-10,13,73,20,11,14
2016-11,12,67,19,11,13
2016-12,17,66,15,11,14
2017-01,11,73,17,11,13
2017-02,11,71,19,11,18
2017-03,14,76,23,12,16
2017-04,13,78,24,12,16
2017-05,14,79,25,12,15
2017-06,12,73,18,13,15
2017-07,11,71,17,13,15
2017-08,11,75,17,12,14
2017-09,12,73,19,12,13
2017-10,12,76,22,12,14
2017-11,14,76,20,12,16
2017-12,12,72,18,11,17
2018-01,11,77,17,12,15
2018-02,13,78,21,11,16
2018-03,13,87,23,12,16
2018-04,15,83,21,13,15
2018-05,13,85,21,13,16
2018-06,11,81,17,11,16
2018-07,12,85,16,13,17
2018-08,11,86,18,12,17
2018-09,11,85,22,12,16
2018-10,14,89,24,13,16
2018-11,16,81,21,13,16
2018-12,12,83,19,12,16
2019-01,12,85,20,12,16
2019-02,13,86,21,12,16
2019-03,14,89,24,13,17
2019-04,15,84,23,13,18
