Category: All categories

Month,PTSD: (Colorado),Anxiety: (Colorado),ADHD: (Colorado),Aggressive: (Colorado),Dementia: (Colorado)
2004-01,0,31,30,0,0
2004-02,15,34,29,0,0
2004-03,0,38,17,0,0
2004-04,0,35,20,0,13
2004-05,0,32,24,0,11
2004-06,0,30,13,16,19
2004-07,0,38,16,0,0
2004-08,0,33,17,0,0
2004-09,0,41,10,0,0
2004-10,0,38,20,12,0
2004-11,0,41,21,0,14
2004-12,0,33,15,10,0
2005-01,0,30,23,9,0
2005-02,0,39,25,0,0
2005-03,0,34,21,13,0
2005-04,9,37,24,0,0
2005-05,0,31,15,9,12
2005-06,0,29,17,12,9
2005-07,0,32,13,0,13
2005-08,7,31,14,0,0
2005-09,0,34,18,8,0
2005-10,0,36,24,7,0
2005-11,0,35,18,8,0
2005-12,7,26,15,8,6
2006-01,0,31,13,0,0
2006-02,0,29,19,6,0
2006-03,5,31,17,10,7
2006-04,0,32,20,9,5
2006-05,0,32,14,9,5
2006-06,0,24,10,8,0
2006-07,0,24,15,0,5
2006-08,0,32,13,10,7
2006-09,0,30,20,7,8
2006-10,0,33,18,9,8
2006-11,5,28,16,7,8
2006-12,5,27,16,4,0
2007-01,5,32,9,9,5
2007-02,5,30,14,7,5
2007-03,6,29,16,10,4
2007-04,4,36,16,7,9
2007-05,6,27,14,7,6
2007-06,7,27,10,7,7
2007-07,8,27,9,8,7
2007-08,3,29,12,9,7
2007-09,6,35,18,8,7
2007-10,4,33,16,6,8
2007-11,5,34,20,9,7
2007-12,5,29,14,4,8
2008-01,5,32,13,6,8
2008-02,6,30,18,8,7
2008-03,6,34,16,9,9
2008-04,6,33,12,7,9
2008-05,7,27,15,7,7
2008-06,7,34,11,7,7
2008-07,8,35,14,9,13
2008-08,6,35,17,8,9
2008-09,7,39,20,7,10
2008-10,9,32,22,8,10
2008-11,9,36,18,9,11
2008-12,8,31,17,8,10
2009-01,6,29,16,8,8
2009-02,7,36,21,7,9
2009-03,6,37,18,10,8
