Category: All categories

Month,PTSD: (Connecticut),Anxiety: (Connecticut),ADHD: (Connecticut),Aggressive: (Connecticut),Dementia: (Connecticut)
2004-01,0,28,20,0,0
2004-02,0,41,0,0,0
2004-03,0,38,0,0,0
2004-04,0,35,29,0,0
2004-05,0,34,28,14,0
2004-06,0,37,19,0,0
2004-07,0,33,17,0,0
2004-08,0,28,19,0,0
2004-09,0,32,18,0,0
2004-10,0,13,19,0,0
2004-11,0,33,15,0,0
2004-12,0,32,13,14,0
2005-01,0,34,13,0,0
2005-02,0,36,30,0,0
2005-03,9,44,19,0,0
2005-04,0,49,26,0,0
2005-05,0,26,20,0,9
2005-06,0,24,18,9,11
2005-07,0,29,11,0,0
2005-08,0,25,14,0,0
2005-09,0,39,13,0,0
2005-10,0,32,23,7,8
2005-11,9,37,18,10,11
2005-12,0,30,11,0,9
2006-01,0,32,12,0,7
2006-02,8,31,20,0,7
2006-03,0,33,26,8,0
2006-04,7,40,19,12,13
2006-05,6,34,14,11,7
2006-06,0,29,17,0,0
2006-07,0,29,13,0,10
2006-08,0,30,13,0,11
2006-09,0,30,19,8,6
2006-10,6,30,25,6,6
2006-11,6,33,15,9,6
2006-12,5,28,16,7,10
2007-01,5,37,18,0,7
2007-02,0,41,17,8,6
2007-03,0,35,16,6,6
2007-04,5,32,16,8,6
2007-05,5,28,13,6,5
2007-06,5,29,12,9,6
2007-07,4,30,10,9,7
2007-08,5,28,11,7,6
2007-09,5,36,17,9,6
2007-10,8,37,21,10,8
2007-11,5,34,21,6,8
2007-12,6,31,14,4,6
2008-01,0,34,17,6,8
2008-02,5,35,18,6,9
2008-03,10,37,18,7,9
2008-04,8,40,17,11,11
2008-05,6,33,19,7,7
2008-06,6,32,12,5,8
2008-07,6,33,10,5,10
2008-08,4,28,15,6,9
2008-09,5,36,16,6,8
2008-10,3,40,23,7,11
2008-11,7,33,18,9,6
2008-12,7,32,14,9,6
2009-01,6,35,18,9,10
2009-02,5,35,17,6,9
2009-03,6,37,13,7,9
2009-04,6,37,20,9,9
2009-05,7,35,21,9,9
2009-06,7,36,12,8,9
2009-07,5,38,13,10,8
2009-08,4,33,16,9,11
2009-09,4,37,15,10,9
2009-10,5,37,24,7,7
2009-11,7,41,18,6,8
2009-12,5,36,22,9,8
2010-01,6,39,18,9,6
2010-02,6,46,18,9,7
2010-03,7,43,24,9,8
2010-04,7,44,26,8,9
2010-05,10,38,24,9,8
2010-06,6,36,20,7,9
2010-07,6,37,13,9,9
2010-08,6,38,14,11,12
2010-09,7,39,19,11,11
2010-10,8,44,26,9,11
2010-11,9,40,22,11,13
2010-12,7,36,17,9,9
2011-01,5,39,19,7,10
2011-02,7,34,21,9,10
2011-03,8,43,26,9,11
2011-04,8,41,21,11,12
2011-05,7,43,21,9,10
2011-06,6,39,19,8,9
2011-07,5,43,17,9,10
2011-08,6,42,19,8,15
2011-09,8,44,25,9,11
2011-10,7,45,31,10,12
2011-11,10,44,25,9,12
2011-12,9,42,24,8,9
2012-01,7,48,20,8,10
2012-02,9,48,23,8,10
2012-03,10,48,23,8,12
2012-04,9,45,22,8,11
2012-05,12,45,21,8,12
2012-06,9,43,14,8,11
2012-07,8,47,15,9,10
2012-08,7,44,14,7,12
2012-09,7,50,19,9,12
2012-10,10,45,22,9,13
2012-11,10,47,20,8,11
2012-12,6,36,13,7,7
2013-01,6,46,16,8,8
2013-02,10,48,21,11,12
2013-03,9,47,23,10,13
2013-04,12,55,25,11,14
2013-05,9,48,20,9,13
2013-06,11,48,17,9,13
2013-07,6,48,15,9,10
2013-08,7,53,17,9,13
2013-09,8,54,21,8,12
2013-10,9,50,25,11,12
2013-11,12,46,21,10,13
2013-12,11,45,20,8,12
2014-01,10,56,19,9,12
2014-02,10,54,22,7,13
2014-03,11,57,24,8,12
2014-04,13,59,24,12,14
2014-05,10,42,18,9,12
2014-06,9,45,18,8,13
2014-07,9,55,16,9,13
2014-08,9,52,15,11,13
2014-09,11,55,21,9,14
2014-10,12,54,27,9,15
2014-11,14,56,22,10,19
2014-12,11,54,20,11,12
2015-01,11,54,21,11,14
2015-02,13,58,20,10,15
2015-03,13,60,23,10,17
2015-04,14,58,24,8,18
2015-05,14,58,20,10,15
2015-06,12,53,20,10,14
2015-07,10,57,16,10,16
2015-08,10,57,19,10,16
2015-09,12,63,22,11,14
2015-10,11,62,26,10,15
2015-11,14,62,24,9,26
2015-12,15,62,23,9,14
2016-01,13,63,21,8,15
2016-02,13,64,21,10,17
2016-03,15,67,23,10,15
2016-04,14,74,23,11,16
2016-05,12,73,23,9,17
2016-06,13,58,19,10,16
2016-07,11,62,16,10,14
2016-08,10,69,19,10,17
2016-09,13,68,22,11,14
2016-10,15,68,23,9,16
2016-11,14,69,22,10,17
2016-12,16,67,22,10,15
2017-01,14,74,23,10,14
2017-02,13,69,22,10,19
2017-03,15,77,25,10,18
2017-04,15,74,26,10,17
2017-05,14,73,24,10,17
2017-06,13,69,19,10,16
2017-07,13,71,18,9,17
2017-08,11,71,17,9,15
2017-09,12,71,22,9,17
2017-10,14,78,25,9,15
2017-11,15,74,24,9,20
2017-12,14,72,21,10,17
2018-01,12,75,22,9,17
2018-02,15,82,23,12,18
2018-03,16,78,23,9,19
2018-04,18,85,23,11,19
2018-05,14,75,21,11,17
2018-06,15,77,21,9,18
2018-07,10,78,18,11,21
2018-08,12,82,19,10,17
2018-09,14,83,20,11,17
2018-10,15,82,26,11,18
2018-11,17,81,24,11,19
2018-12,13,80,22,10,19
2019-01,13,86,24,10,18
2019-02,15,84,27,10,19
2019-03,15,87,24,11,22
2019-04,17,81,25,10,20
2019-05,17,81,27,10,25
2019-06,15,77,21,10,21
2019-07,13,80,20,10,22
2019-08,13,86,20,10,21
2019-09,14,81,25,9,22
2019-10,16,86,29,11,20
2019-11,17,84,29,10,21
2019-12,15,76,22,10,20
2020-01,15,81,26,10,22
2020-02,18,82,28,11,24
2020-03,16,80,22,9,19
2020-04,16,83,21,10,16
2020-05,14,76,21,11,17
2020-06,14,77,22,12,21
2020-07,13,85,20,12,21
2020-08,10,84,24,12,21
2020-09,13,92,27,12,29
2020-10,13,82,28,10,20
2020-11,13,82,23,10,21
2020-12,13,84,26,10,17
2021-01,12,85,27,13,19
2021-02,15,89,30,11,20
2021-03,14,92,34,12,22
2021-04,13,88,35,13,23
2021-05,13,87,31,12,22
2021-06,13,82,29,12,22
2021-07,12,84,30,11,22
2021-08,10,85,28,10,19
2021-09,13,91,32,11,22
2021-10,14,87,38,10,23
2021-11,14,78,38,10,23
2021-12,12,80,33,11,21
2022-01,13,92,36,12,22
2022-02,15,96,40,12,22
2022-03,16,100,44,12,25
2022-04,17,90,44,12,24
2022-05,16,81,41,13,22
2022-06,15,80,36,12,21
2022-07,11,87,37,11,22
2022-08,12,83,40,11,23
2022-09,12,81,44,11,23
2022-10,14,84,47,10,25
2022-11,14,80,48,12,24
2022-12,13,80,44,11,22
2023-01,15,86,49,12,26
2023-02,15,89,53,13,41
2023-03,15,89,55,12,31
2023-04,14,87,53,11,29
2023-05,15,80,53,12,26
2023-06,13,80,45,11,25
2023-07,12,78,43,11,25
2023-08,12,84,46,11,26
2023-09,11,81,49,12,25
2023-10,16,83,53,13,27
2023-11,14,85,53,12,25
2023-12,13,78,49,12,27
2024-01,12,81,49,12,25
2024-02,15,85,54,13,36
2024-03,13,86,55,12,29
2024-04,13,82,54,11,28
2024-05,15,80,52,11,26
2024-06,14,84,46,12,29
2024-07,12,83,42,10,31
2024-08,11,82,49,13,30
2024-09,13,87,55,12,25
2024-10,13,88,58,12,25
2024-11,13,84,55,12,28
2024-12,11,75,55,11,30
2025-01,12,85,57,11,29
2025-02,12,87,60,13,30
2025-03,14,98,59,13,32
